suggested_alternatives,other_outcomes,success_reason,success_level,name,slug,id,color,project_status
There were no alternatives developed because the conflict was based on two scenarios: with the wall or without the wall. ,Demolition of the spatial segregation object,"There was a point of victory in this conflict when the residents demolished the wall, at the same time the news of potential eviction makes it an unresolved conflict, in which we must assume that the wall may not be the last conflict this community has to face. ",Yes,Stopped,roma-families-break-down-the-wall-of-shame-that-kept-them-separated-from-the-rest-of-the-citizens-in-beja-portugal,6.0,#46a546,
Retraction of the project and utilization of the area for the recreational tourism purposes,,"This case is the first example of anti-HPP campaign and after winning all the lawsuits against this case, all other projects have to prepare environmental impact assessment report. Small scale hydroelectrical projects like this which have been exempted before have to present an EIA report. ",Yes,Under construction,yuvarlakcay-water-movement-turkey,4.0,#ff7f50,
"Opponents are suggesting a renovation of the current railway station, including creation of some new railways, but respecting the cultural heritage of the Hauptbahnhof terminus and the natural heritage of the adjacent Schlossgarten (Palace Park). This alternative project is known as Kopfbahnhof 21 (or K 21).",,"Basically, all the lobbying, campaigning work as well as the protests and demonstrations had two outcomes: the Green Party taking over the regional Government and the celebration of a referendum. With regard to the former, the mentioned party firstly opposing the new station, used the movement as a platform to reach the power and once there continued with the implementation of the project; regarding the latter, some refer to the referendum as a 'trap' because it can be considered the final step in order to legitimate Stuttgart 21. All in all, the opposition had highly significant incidence in the politics of the region but eventually, nothing seemed to change with regard to the project.",Not sure,Under construction,stuttgart-21-project-germany,4.0,#ff7f50,
,,"There were series of conflicts and protests along with the smelting and coking plant, from land expropriation to water pollution, and then lead poisoning to people's health, the local residents had to send their children to other places for education and move out from their original residential area due to pollution.  The project resumed several months later after the temporal suspension, and there were different kinds of injustices among the villages (like Dongling Village and the other villages in Changqing Township), as well as among different age groups and generation groups, local and migrant groups, etc.",No,In operation,dongling-lead-and-zinc-smelting-co-fengxiang-shaanxi-china,5.0,#ee2c2c,
"The main alternative proposals that have been brought forward have been as follows:_x000D_
1. For the project be cancelled and moved to a non - populated area, at least 300 - 500 kilometres away from people [8]_x000D_
2.  For the local government to enact legislation that would ban the entry of dangerous waste into the region from other areas_x000D_
3. To convert the facility into something that would actually economically benefit the area [8]",,"This does not appear to an environmental justice success because despite ongoing mobilisation and proposals for alternative solutions, the plans have not altered. Additionally, because this is part of a larger Federal project it is unlikely that any concessions will be made especially because there have been similar protests in other regions where the project is taking place.",No,"Planned (decision to go ahead eg EIA undertaken, etc)",construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,3.0,#ffc40d,
"The problem is what might happen when the mining in the area comes to an end, as there are no guarantees or funds in trust to ensure that the area will be properly restored.","The mining company has failed to honour its original undertakings in terms of worker benefits (housing, medical etc.) and failed to deliver the environmental protection and restoration that was promised. 
",The impacted community has limited resources and most community members who are aware of the problems feel intimidated by the public relations propaganda power of the mining company and by the political support and protection the mining company receives.,No,In operation,richards-bay-minerals-dune-mining-south-africa,5.0,#ee2c2c,
,,"Prior to clearing, the land was used for grazing, firewood collection, and dry cereal cropping. Local people were not informed nor received prior compensation. In addition, according to Article 15.1, the company has priority access to water in case of drought over subsistence farmers in the area. Protests and sit-ins in the region continue.",No,In operation,nsukala-sugar-plantation-and-refinery-in-cercle-de-segou-mali,5.0,#ee2c2c,
"Las siguientes son las alternativas propuestas por los habitantes del 
municipio:
1. El respeto al derecho al trabajo y al territorio en el municipio. 
Exigimos continuar con nuestra tradición de PEQUEÑA MINERIA y el respeto a nuestros trabajos dignos. Que se tenga en cuenta que la tradición de 
explotación minera lleva más de 500 años en el municipio y es propia de nuestras culturas, territorios e identidades.
2. Que el Estado declare la caducidad de los títulos de la compañía extranjera sobre las minas abandonadas por ella por más de seis meses, 
como ordena el Código de Minas;
3. Suspender los amparos administrativos que ha interpuesto la compañía 
contra los pequeños mineros que trabajan en las minas abandonadas como único medio de supervivencia;
4. Suspender los intentos de desalojo de las minas;
5. Prohibir a la compañía cumplir funciones de policía mediante vigilantes armados;
6. El establecimiento de una mesa de concertación donde hagan presencia altos funcionarios del Gobierno Nacional, la Defensoría del Pueblo, la Dirección de Asuntos étnicos del Ministerio del Interior, la empresa, la Asociación de Pequeños Mineros, la Comunidad Indígena y el CRIDEC.
7. Protección para los líderes que se encuentran interviniendo en la 
defensa de los derechos mineros, porque sabemos que existe un riesgo 
latente. Vale la pena recordar el asesinato del párroco en 2011.",,"El conflicto que se presenta en el municipio de Marmato, Caldas no puedo ser considerado un triunfo de Justicia Ambiental, porque el proyecto de explotación a cielo abierto esta en estudio, si bien el Concejo del municipio en la actualización del EOT (Esquema de Ordenamiento Territorial) impide el proyecto de megaminería a cielo abierto, así como también detiene la reubicación de la cabecera del municipio. La empresa y el Gobierno buscan nuevas estrategias para poder llevar a cabo el proyecto a cielo abierto en Marmato. Pero igualmente la actividad minera mediana y pequeña sigue por ser la vocación del municipio. ",No,Proposed (exploration phase),marmato-mines-colombia,2.0,#049cdb,
"1.    Mobil to cleanup  the polluted waters, shoreline and environment in Ibeno
2.    Mobil to immediately replace all its aging and leaking pipelines
3.    Mobil to take responsibility for past and current spills in the community
4.    A comprehensive audit of the environment in Ibeno as a result of the incessant spills
5.    NOSDRA should adequately penalize Mobil for this and other spills in order to halt this impunity and punish bad behaviour
6.    Compensation of the impacted community folks, including fisherfolks whose livelihoods have been ruined",,Fishermen are yet to be compensated and Mobil is due to conduct effective clean-ups. The fishermen are planning to sue Mobil.,No,In operation,oil-spill-of-exxonmobil-in-ibeno-community-nigeria,5.0,#ee2c2c,
"The Comitato Grandi Navi has supported the idea of a Tourist off-shore port at harbour entrance of Lido-San Nicolò. There are several project with this vision, presented respectively by: De Piccoli [18], that is the project supported by the “Comitato NO Grandi Navi”, because in line with the principle of reversibility contained in the law no. 171/1973; Vittadini, Boato, Giacomini [19]; Caut. The off-shore port project would allow both not to dig new canals into the lagoon, preserving the environmental balance, and avoiding that the ships traffic could be limited by the closure of the MOSE system. The off-shore port would be connected with the city and the Marittima terminal through small/medium size boats. 
Other alternative projects have been presented by other actors, both from the central government and local bodies.
-	Contorta Sant’Angelo canal project, presented by the Port Authority, has been subjected to an Environmental Impact Assessment (EIA) from August 2014. It provides the excavation of a new canal with a width of 180m and a depth of 10.5m. The project also includes the implementation of environmental mitigation measures for the protection of the lagoon beds [17]. This project present risks concerning the modification of the current's speed within the lagoon and the erosion of lagoon beds.
-	“Tangential lagoon project”, proposed by Enrico Zanetti and then developed by the Venice Passenger Terminal (VPT) which presented a preliminary project called “Canale Grande Capacità Sud Giudecca” [20], provides the transit of the big ships in the rear of the Giudecca island trough a new canal  with a width of 160m, depth of 10.5m and a length of about 2km. In this case there would be the same impacts, on environment and on architectural heritage, caused by thecurrent route in Giudecca canal.
-	New touristic terminal at Marghera, presented by the study of Arch. D’Agostino and supported even by the City Council of Venice, involves the construction of a new tourist port near the VEGA building, exploiting the disused industrial areas [21]. With this project the risks is both to overlap the cruise ship traffic with the commercial traffic, and to modify the hydro-morphological balance of the lagoon.",,"Since many years the Comitato NO Grandi Navi and the environmental venetian associations are fighting against the route of the cruise ships into the Venetian Lagoon, denouncing the evident contrast between the transit of the big ships with the preservation law for the lagoon and historic centre of Venice. 
The first objective of the protest has not yet been achieved but the demonstrations put in place by the Comitato and local associations have achieved significant results. For first is the increased level of awareness of citizens and environmental groups on the environmental impacts caused by cruise ships. Further, over the years, the participation in the mobilizations has increased and consequently also the ability to put pressure on local, national and European institutions through demonstrations, popular petitions and appeals to the European Commision and T.A.R. (Regional Administrative Court).
In 2012, the Comitato was able to push through several observations into the P.A.T. of Venice (Art. 35 bis), which should push the city council to seek new design alternative solutions that respect the principles of the lagoon protection.
Finally, with regard to the chosen project (Contorta S’Angelo canal) by the Comitatone as a solution to the transit of the cruise ships into the venetian lagoon, its implementation or not, will pass through the T.A.R. of Veneto Region appeals presented both by the City of Venice and Comitato NO Grandi Navi whose, for different reasons, consider this alternative illegitimate.",Not sure,In operation,cruise-ships-in-venetian-lagoon,5.0,#ee2c2c,
"Alternative plan with public participation, waste classification","The project was moved to Dagang Town, in the new Nansha District, the whole Xinlian'ercun village will be demolished. New EIA reported in Nov, 2012 to start the project in an alternative place."," It was temporary stopped, while the waste is continuously increasing, waste incinerators are the most possible choice for the local government, so they found another place for the construction, even if is not economically efficient as their prioritized one. ",Not sure,Stopped,panyu-waste-incineration-project-guanzhou-china,6.0,#46a546,
,Pollution and depleted environment,"No, the effects of decades of mining have caused significant health effects as well as poverty and loss of cultural/traditional land. The threat of uranium mining continues despite actions by the Navajo Nation to protect their land and people from the effects of uranium mining.",No,Stopped,uranium-mining-in-the-southwest-navajo-nation-usa,6.0,#46a546,
"The opponents of the projects proposed as an alternative to build the national football camp outside of Zagreb, as it was a practice in many other countries. ",The project continues as planned ,"The design solution of the new sport center was selected in the public call in November 2014. Although announced for 2015, the construction work on SRC ""Svetice"" will start after the opening of the new swimming pool in May 2016. ",No,Under construction,sport-and-recreation-center-svetice-croatia,4.0,#ff7f50,
,,"La empresa sigue con su actividad agroindustrial, pese a las denuncias no ha implementado la  tecnología necesaria para reducir la contaminación.",No,In operation,contaminacion-de-industria-porcicola-pronaca-en-tsachilas,5.0,#ee2c2c,
,,"Luego de más de cinco años de procesos judiciales, que mantenía al proyecto en un vaivén de aprobaciones y rechazos por parte de los organismos competentes para conceder o no el permiso de uso de tronaduras a la Minera Invierno, la mina de carbón a cielo abierto más grande en la historia de Chile. El 2019 el Tribunal Ambiental falló en contra de la reclamación que pide que se revoque la RCA que otorga el permiso de uso de tronaduras a la mina y ordenó el cierre de las operaciones de Minera Invierno. ",Yes,Stopped,isla-riesco-coal-extraction-chile,6.0,#46a546,
,,,No,In operation,el-largo-comienzo-de-la-energia-eolica-en-yucatan-el-parque-eolico-dzilam-bravo-el-primero-entre-la-incertidumbre-y-la-injusticia,5.0,#ee2c2c,
"Renewable Energy, New search for a final nuclear storage site following scientific (not political) criteria ",(Immediate) stop of use of nuclear energy,"In July 2013 the German Bundesrat has approved a new law, which determines to investigate alternatives to Gorleben for final nuclear disposal. ",Not sure,In operation,nuclear-storage-facilities-in-gorleben-germany,5.0,#ee2c2c,
Visitors can use natural trails to visit the forest. Big roads inside the rainforest does not make sense and it makes harm to biotic and abiotic factors  ,,"We have informed to UNESCO world heritage head office in Paris and Sri Lankan Country office, Ministry of environment, president of Sri Lanka.  UNESCO has being inquired from Sri Lankan Government about the issue  ",Not sure,In operation,illegal-road-construction-inside-sinharaja-whs-sri-lanka,5.0,#ee2c2c,
,,"La mina continua en operación, causando daños sociales y ambientales. ",No,In operation,unidad-minera-huaron-de-pan-american-silver-pasco-peru,5.0,#ee2c2c,
"Grupos ambientalistas zulianos han planteado la propuesta de los Territorios Energéticamente sustentables (TES) para superar el modelo de generación eléctrica centralizado. Ha sido resaltada numerosas veces la conveniencia y viabilidad de impulsar la energía eólica en la región. El Parque Eólico de la Guajira, ya existente, tendría la capacidad de generar, según Corpoelec, aproximadamente de 8 a 10 mil megavatios (MW) para el occidente del país.
Organizaciones ambientalistas junto con familias wayúu del Socuy/Manuelote impulsan iniciativas sociales, como la reforestación de territorios, con alguna ayuda de instituciones públicas como CANTV, Misión Árbol, IVIC, ICLAM, FIJU, UBV, INCE y el PNUD de la ONU.","A pesar de la modificación del decreto 1.606, el gobierno Nacional mantiene el interés de relanzar el proyecto de extracción de carbón. Indígenas, junto a organizaciones sociales y ambientalistas permanecen movilizados para evitar que se concrete y oficialice la expansión extractiva en esta región. La zona de la Guajira se encuentra militarizada y fuertes tensiones continúan en la zona.","La crisis y los cambios de aire político en el país plantean en 2016 un escenario de mayor favorecimiento del extractivismo, ahora con un perfil más flexible, desregulado y autoritario. En este sentido, las tensiones no parecen cesar desde los poderes constituidos. Las luchas, reivindicaciones y peticiones de los indígenas wayúu siguen siendo desestimadas.",Not sure,"Planned (decision to go ahead eg EIA undertaken, etc)",indigenas-wayuu-del-socuy-defienden-sus-territorios-ante-el-avance-de-proyectos-vinculados-a-la-extraccion-de-carbon-carbozulia,3.0,#ffc40d,
,,The grassroots turtle conservation activities helped to stop sand mining and mangrove destruction. But the struggle is still open. ,Yes,Stopped,turtle conservation against sand mining-kerala-india,6.0,#46a546,
"Las comunidades indígenas piden revisión de los contratos petroleros, el mantenimiento del oleoducto, medidas sanitarias, compensación, limpieza de las zonas afectadas, atención médica, etc. El gobierno asegura en agosto 2016 por boca del nuevo ministro de Energía y Minas que el nuevo directorio de la empresa estatal Petroperú tendrá como prioridad atender el tema del Oleoducto Norperuano.",,"Petroperu es la empresa estatal peruana y está protegida por la mala administración, a pesar de las multas y juicios, la renuncia de directivos, etc, el oleoducto no recibe el debido mantenimiento técnico. La OEFA multa y responsabiliza a Petroperú directamente por la contaminación. Falta aún la remediación porque lamentablemente se han dado muchos otros derrames después.",No,In operation,derrames-del-oleoducto-de-petroperu-en-la-amazonia-peru,5.0,#ee2c2c,
"The coalition of green organization are pushing for the strict implementation of the Ecological Solid Waste Management law of year 2000 (RA 9003) which reinforces the ban on incineration, decentralizes waste management from the city to the barangay (village), requires waste separation at source, and door-to-door collection, and the creation of materials recovery facility in every barangay for composting and storage of residuals and recyclables. [1]_x000D_
 _x000D_
According to Sonia Mendoza, Chairman of Mother Earth Foundation (MEF), “Implementing Zero Waste solutions is inexpensive and can be started immediately (…). We are calling on other LGUs [local government units] to reject all incineration and WtE proposals, and instead pursue the Zero Waste approach, starting with the strict implementation of RA 9003.” [2]_x000D_
 _x000D_
National Coordinator of EcoWaste Coalition, Aileen Lucero argue that: “The push to revoke the incineration ban will undermine source segregation, recycling and other Zero Waste strategies that conserve resources, avoid toxic pollution and generate livelihoods and jobs.  Instead of overturning the prohibition on waste burning, Congress should, in fact, strengthen it by passing waste prevention and reduction measures complementing RA 9003 such as banning single-use plastic bags, disallowing recyclable and compostable materials in disposal facilities, curbing e-waste, and incentivizing innovations in waste management sector.” [2]",,"The struggle has been ongoing since 2012, where the first suggestion to repeal the ban on incinerators was put forward. The incinerator has not yet been built, but its construction is planned and the project has been granted to a consortium. ",No,"Planned (decision to go ahead eg EIA undertaken, etc)",protesters-in-quezon-city-philippines-resist-planned-incinerators-despite-national-ban,3.0,#ffc40d,
,,"Most of the men carrying out the attacks on the women in 2001 were sentenced in absentia and were not brought to justice. Operations are still going on and unemployed protesters' demands were not heard or implemented. The element of ""environmental justice"" is not salient in this case. ",No,In operation,hassi-messaoud-oil-field,5.0,#ee2c2c,
,More widespread visibility and recognition of the Serra d'Arga,"No, this is not an environmental justice success since the outcome is that exploration of lithium mines in the Serra d'Arga area is ongoing. Thus, the will of opposing communities whose territories are directly and indirectly affected is still not respected [29]. Moreover, there are serious concerns about the lack of transparency and effectiveness in the citizen participation process throughout the exploration stage of lithium mining and public consultation. Civil society demanded a public consultation and have been allowed a 15-day consultation period for the national PRR of the national government, which they consider too short. Environmental movements consider the documentation for the entire plan too dense and long for citizens to understand properly in such a short period of time given for public consultation, and for them to effectively participate in the decision-making process [30]. ",Not sure,Proposed (exploration phase),Lithium Mining Exploration in the Serra d'Arga ,2.0,#049cdb,
The proposed alternative was to remove the waste and bury it at another site.,,"The administrative court of appeal Nancy decided on Friday, 15th of October 2021 to cancel the decree that authorized the burial “for an unlimited period” of hazardous waste from old potash mines in Alsace. This decree  envisaged the final burial of more than 40,000 tons of chromium, cadmium and arsenic. The court underlined in its decision that the company MDPA which operates StocaMine “does not justify having the financial capacity to carry out unlimited operations and to assume all the requirements likely to result from the extension of the authorization”. It therefore asked the perfect to “proceed with a new evaluation of the financial guarantees provided by the operator” [8]._x000D_
 _x000D_
This decree had been contested by the European Collectivity of Alsace; they  submitted a summary suspension before the administrative court of appeal of Nancy to stop the start of operations of final burial of hazardous waste in this former potash mine located near Mulhouse [14]._x000D_
_x000D_
The Stocamine waste project was most definitely not an environmental success. _x000D_
The decision to keep waste buried underground only further exacerbates the environmental pollution dilemma rather than finding a permanent solution that eradicates the pollution. It is a failure because they are essentially pushing off a major pollution risk that will inevitably have to be addressed. ",No,"Planned (decision to go ahead eg EIA undertaken, etc)",stocamine-waste,3.0,#ffc40d,
,,"The construction of the dam at Kárahnjúkar was a pivotal moment in Iceland's growing backlash against environmental destruction, in this sense it contributed to the environmental movement but the dam and the smelter were built. Not a success.",No,In operation,karahnjukar-iceland,5.0,#ee2c2c,
,,"The Department of Defense/ACOE improperly cleaned up the Formerly Used Defense Sites (FUDS) on the island. The Tribes are still being subjected to contaminated water and high levels of PCBs in their food sources. Additionally, there has been very little research to determine the direct health impacts on indigenous tribes, associated with consuming high amounts of PCB contaminated traditional foods (marine mammals and fish).  ",No,Stopped,formally-used-defense-sites-in-alaska,6.0,#46a546,
,,"Despite clear evidence of environmental pollution and complains from Shor Indigenous peoples, the mining activities continue. ",No,In operation,gold-mining-in-orton-ilynka-uchas-and-trekhrechye-mezhdurechensky-russian-federation,5.0,#ee2c2c,
"The mobilizers want the companies with shares in the Ethanol plant to compensate them for loss of land and livelihoods. They also want to participate in the project through employment and other community development projects. Mobilizers have been successful in lobbying government to force the companies to compensate them. The Minister of Energy and Power development Elton Mangoma and the Deputy Prime Minister Arthur Mutambara have since demanded that affected families be compensated
",,Government is protecting business interests at the expense of the human security needs of the local people. The fact the an EIA was not conducted prior to the project tells of the political nature of the project: It is being implemented outside the law. The powerlessness of the villagers also means they cant successfully defend their environment against pollution by the ethanol project,No,Stopped,ethanol-fuel-plant-land-conflict-zimbabwe,6.0,#46a546,
Not to build the opencast mine.,,"On 19th October 2013, the proposal for a huge new opencast coal mine in Midlothian has been given the go-ahead.",No,"Planned (decision to go ahead eg EIA undertaken, etc)",cauldhall-open-cast-coal-mine-in-midlothian-scotland-uk,3.0,#ffc40d,
,,"Land disputes impacting approximately 500 families facing displacement and loss of farmland for the airport remain unresolved. Excavators have been deployed to clear rice fields and people’s crops have been destroyed. Cambodian Center for Human Rights (CCHR) stated that the company developing the airport, OCIC, failed to conduct a proper environmental impact assessment compensation offer of USD8 per square metre is a fraction of its market value. Protesters and police were injured in a clash on 12th September 2021. Nine protesters charged with violence were acquitted and had not been involved in the alleged crimes. Journalists attempting to document the dispute were intimidated. Petitions including to the Prime Minister have gone unanswered.",No,Under construction,new-phnom-penh-airport,4.0,#ff7f50,
"After the social services offered alternative housing to the people evicted, through a ""compensating voucher"", or voluntary repatriation, the ejos revolted against those alternatives. However, there are no publications related to solutions put forward by those ejos. One of the reasons why must be related to the competencies of the organizations when comparing them to the local government. ",,"Considering that even though the appeal went through, to stop the eviction, we cannot consider this case a success for environmental justice because the people from the settlement were forcibly removed in the end. However, the support of the ECHR to the appeal against the eviction could be used as ""jurisprudence"" in other similar circumstances.",No,Proposed (exploration phase),roma-community-evicted-from-their-camping-site-italy,2.0,#049cdb,
"The local committees have proposed several proposals. Firstly, they have requested to order the money blocked to the Riva family with the aim to establish a New Company in which to insert the current employees of the plant and rehabilitation of the territory. 
Otherwise, it has been suggested to proceed with the application for tax exemption concurrently to European funds, aimed at the creation of new start-ups. In addition, it was proposed the involvement of all the townspeople to enhance the Old City of Taranto, selling all properties unused at the symbolic cost of one euro. Still for the local revaluation, the Comitato dei Cittadini e Operai Liberi e Pensanti, proposed to return to the city of the state-owned properties no longer used by the Navy and turn them into cultural tourism poles. As for the port of Taranto, now needed for the industrial development, it has been thought to be able to exploit it for a greater impact on jobs and business with more profitable activities. About the delicate and baffling health conditions that characterize the area, it has been proposed the exemption of ticket for the inhabitants of the entire ionic area. Finally, it was suggested the evacuation of the Tamburi district, through a fund to demolish the buildings and build new ones. Only a small part of the residents, especially women - due to the lack of trust in institutions and attachment to their home and life- appreciated this alternative [20]. Another interesting proposal comes from the Greens, who presented the ""Decreto Salva Taranto "" (Save Taranto Decree) which, in addition to the land recovery, confiscation of property, offers early retirement of workers for physically demanding jobs.  Moreover, it proposes the conversion of the port in tax free zone for fair trade, economic support for agriculture, mussel farming and infrastructure improvements to enhance the rail, road and construction of new works of interest such as City of Sport and Science. According to this alternative decree,  European funds, state interventions and funds seized from the Riva family (including shares in Alitalia),and all the resources from the environmental damage that will be established by the Environment undersold trial [21], will permit the realisation of the projects contained in it.",,"Unfortunately, the Ilva case cannot be considered a victory for the movement for environmental justice yet. The decrees issued by the government, in fact, have suspended the laws on health and the environment that would protect the citizens, preferring the protection of economic interests. Citizens and workers have faced the threat of unemployment, families are struggling against cancers that affect their loved ones and movements are claiming for compensation and environmental improvements that have never been made. Numerous cattle have died due to the excessive rate of pollution and those impacted face daily the attempts to discredit them made by politicians.",No,In operation,coal-power-plant-tirreno-power-in-vado-ligure-quiliano-italy,5.0,#ee2c2c,
Proper rehabilitation of the area. Proper soil and health testing and marking of dangerous areas. ,,Rehabilitation has not been properly carried out and the population is suffering from health impacts. There are interests to restart Uranium mining in Bulgaria. ,No,Stopped,life-after-the-uranium-mines-in-buhovo-bulgaria,6.0,#46a546,
,,The municipality of Candelaria took more than 50 years to provide adequate drinking water coverage and it was only in 2010 that the construction of the aqueduct was undertaken. There is no victory of environmental justice since the generators of the conflict such as the cultivation of sugarcane have not assumed any commitment or have assumed costs for the implementation of its solution.,Not sure,Stopped,case-of-drinking-water-supply-and-agroindustry-in-villagorgona-colombia,6.0,#46a546,
"The demands of the protesters were as follows:
- The Mentawai islands should become an official district as soon as possible so they were no longer administered as part of the mainland;
- They refuse to be part of any Transmigration Programme schemes until the Mentawai islands were given district status;
- The Transmigration Department must immediately rectify the problems on existing transmigration sites in the Mentawai islands; 
- The authorities should immediately withdraw all operating permits from PT Maharani Puri Citra Lestari, PT Citra Mandiri Widya Nusa and PT Sagu Siberut Perkasa, as these companies have caused conflict and damaged the cultural and natural environment of the island of Siberut. 
- All the Mentawai village heads and community representatives should be careful not to be deceived or misled by the pretext of development for the Mentawais at the expense of the indigenous community.",,"Protests by Indonesian and international groups have persuaded Ministers in Jakarta to block these
developments so far (as of 1998).",Yes,Unknown,siberut-oil-palm-conflict-west-sumatra-indonesia,1.0,#999999,
"The structural solutions offered by the KJDRP miserably failed to address the issue of water logging/drainage congestion of the project area. On the contrary, the situation got worsened and vast land of the project area covered under polder 24 comprising 27 beels (large depression area) and at least 144 villages in the Abhaynagar, Keshabpur and Monirampur Upazilla started experiencing unprecedented water logging for indefinite period as natural drainage channels got silted and the sluice gates set up under the projects lost efficacy due to increased siltation and evidently no effective dredging.
In 1997, local people introduced a process called Tidal River Management (TRM) and tested the same in Keshabpur under Jessore. Under TRM approach, tidal water enters only in one tidal basin developed in a suitable beel with dykes and closures and deposits huge amount of silt that fills the bed of the beel in 3-4 years. They removed embankment encircling the Beel Bhaina in Keshabpur to allow tidal flow of water into the beel area. The TRM introduced by local people significantly reduced the water logging problem in Keshabpur and helped raising the land level of the beel with siltation. 
This approach enhanced the scope for mitigating drainage congestion and people recommended that new TRM should be established every 3-4 years on a rotating basis to ensure that water congestion of all areas are resolved by raising level of beel areas through sedimentation. 
Unfortunately, adamant position of BWDB against interference with existing structures and absence of firm commitment from the government agencies to pay compensation to land owners whose lands shall be under water for at least three years to allow TRM led to no agreements on TRM in new areas including in beel Khukshia, Kapalia and Baruna. 
As water logging took a severe form in 2005, local people started writing to the government actors to remove water from their villages, homestead, academic institutions, roads and all other infrastructure and also to protect their lives, properties, safety and health from the curse of such water logging attributable solely due to the unplanned structural interventions of KJDRP and other previous projects. They also appealed to the government to compensate them for the financial loss sustained due to the waterlogging. The demands from the people were considered in a meeting on 25.11.2005 that in the presence of three concerned members of Parliament decided that the situation would be handled on an emergency basis like war situation and that siltation from Sree-Hari-Teka rivers would be removed to drain out water to enable people to cultivate boro crop. Unfortunately, the situation was not handled as promised and people, having not received any effective and adequate administrative reliefs, under the banner of Progoti Samajkallyan Sangstha (Progress Social Welfare Agency) approached two national level NGOs on 04-04-2006 to take their grievances to the High Court. A Public Interest Litigation was filed by two NGOs in the form of Writ Petition (No. 7123 of 2006). The Court on 13-08-2006 directed the government actors to provide all services, products, goods and supports required to ensure that that the affected villagers are safely located and are receiving food, water, medicine and other essentials during the period of water loggings. The Court also directed pumping out of water from the affected villages for ensuring recession of water logging. 
The High Court also required the government to show cause as to why they shall not be directed to form an appropriate committee to permanently solve the problem of water logging in the three Upazillas of Keshabpur, Manirampur, and Abhaynagar. ",,"Although the High Court Division gave a set of interim orders and the government took initiative for TRM in some of the beels, the initiative stopped as the local people demanded compensation for TRM that keep their lands under water for a certain period of time and hence render the same unproductive. The water logging situation aggravated in the years 2008, 2014 and 2016 and people are yet to be freed permanently from the same.  ",Not sure,In operation,bhobodoho-water-logging,5.0,#ee2c2c,
"Entre las alternativas que proponen algunas organizaciones locales se 
encuentra la conservación y protección de las importantes fuentes de 
agua que surten a la región.
Control y seguimiento por parte de las instituciones encargadas a la minería ilegal y legal en el municipio de Ginebra.",,"El caso de minería que se presenta en el municipio de Ginebra, Valle del 
Cauca, no puede ser considerado un Triunfo de Justicia Ambiental porque 
continúa la explotacion ilegal utilizando mercurio y cianuro, y sumado a ello se evidencia el incremento de solicitudes mineras en la zona, esta vez de empresas internacionales que buscan ganancias en esta rica zona; sin embargo, se resalta la declaración de la Corporación Autónoma Regional del Valle del Cauca (CVC) de cerrar por lo menos 30 minas en la zona, cuestion que favorece la conservacion del agua y por ende la conservacion de la vida.",No,In operation,rio-guabas-valle-del-cauca-colombia,5.0,#ee2c2c,
,,"The waters and surrounding aquifers of Kolleru Lake continue to be polluted by aquacultural operations, while residents continue to resist moves by government to reduce the size of the lake. ",No,In operation,kolleru-wildlife-sanctuary-pollution-through-aqua-culture,5.0,#ee2c2c,
"At this moment when the construction work has already begun, it is very difficult to return the landscape to its previous state. ",,"The class action has not achieved a convincing judicial result, although the actors admit that it has had a socializing effect. The project is suspended due to political nullifying actions initiated by third parties. Additionally, the socio-environmental movement against the urban project is disjointed. The construction work that has already been done on the project site has irrevocably destroyed the landscape [Personal Interview]. ",No,Under construction,proyecto-urbanistico-tierraviva-en-las-inmediaciones-de-rio-blanco-reserva-forestal,4.0,#ff7f50,
,Relocation of some villages close to the coal mine with the support of the coal mine,The pollution has been ongoing for years between 2009 and 2021. It also took years for some of the local residents to be relocated.,No,In operation,shicaohe-coal-mining-conflict-yunnan-china,5.0,#ee2c2c,
,,"Carin Bosman and supporters succeeded in filing legal action against mining companies to get them to pay for water pumping preventing further acid mine drainage. The legal victories continued with successfully blocking Harmony Gold's attempt to overturn the sentence. However, the local community still suffers from mining exploitation from uranium miners.",Yes,Stopped,water-pumping-dispute-against-gold-mining-corporations-in-klerksdorp-north-west-province-south-africa,6.0,#46a546,
,,"The plant was shut down in 2001 and the company compensated its employees. This can be considered to be a case of environmental justice success._x000D_
_x000D_
However, no effort was made to acknowledge or compensate the victims of pollution. The loss of land, biodiversity and livelihood of the Adivasi population also weren't taken into account. ",Yes,Stopped,mavoor-gwalior-rayons-factory,6.0,#46a546,
,"Assassination of Joannah Stutchbury on July 15th, 2021","Although Stutchbury was able to win a court case blocking Agropack from encoraching into the forest, other companies continue developing the land and there is still impunity for her killer(s).",Not sure,Stopped,private-development-in-kiambu-forest-near-nairobi-kenya,6.0,#46a546,
People dont like any power plant there and want to stop the GMR project. They are afraid of pollution generated from the plant. ,,"The government held a public hearing on Jan 15, 2009 at Raikheda on land acquisition. But the farmers not only refused to hand over their holdings but also asked the company stop the works immediately.",Not sure,"Planned (decision to go ahead eg EIA undertaken, etc)",gmr-chhattisgarh-energy-limited-india,3.0,#ffc40d,
