name,groups_mobilizing,slug
Industrial workers,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
International ejos,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Local ejos,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Landless peasants,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Local government/political parties,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Neighbours/citizens/communities,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Pastoralists,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Ethnically/racially discriminated groups,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Local scientists/professionals,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Other,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Fisher people,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Farmers and peasants,,as-the-plans-for-incinerators-in-beirut-lebanon-expand-wastepickers-recycle-to-survive
Women,,conflicto-en-la-industria-petrolera-y-la-pesca-en-la-sonda-de-campeche
Fisher people,,conflicto-en-la-industria-petrolera-y-la-pesca-en-la-sonda-de-campeche
Indigenous groups or traditional communities,,ivanpah-solar-electric-generating-system-377-mw-csp-california-usa
Local ejos,,ivanpah-solar-electric-generating-system-377-mw-csp-california-usa
Local government/political parties,,ivanpah-solar-electric-generating-system-377-mw-csp-california-usa
Trade unions,,ivanpah-solar-electric-generating-system-377-mw-csp-california-usa
Other,,ivanpah-solar-electric-generating-system-377-mw-csp-california-usa
Artisanal miners,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Indigenous groups or traditional communities,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Local ejos,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Landless peasants,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Neighbours/citizens/communities,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Social movements,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Trade unions,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Ethnically/racially discriminated groups,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Fisher people,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Farmers and peasants,,community-decries-shoddy-cleanup-of-oil-pollution-by-ppmc-contractors-nigeria
Local ejos,,geotermia-scansano
Neighbours/citizens/communities,,geotermia-scansano
Women,,geotermia-scansano
Local scientists/professionals,,geotermia-scansano
Local government/political parties,,castor-project-gas-off-shore-storage-in-vinaros-spain
Neighbours/citizens/communities,,castor-project-gas-off-shore-storage-in-vinaros-spain
Artisanal miners,,shahuindo-project-in-cajabamba-cajamarca-peru
Local ejos,,shahuindo-project-in-cajabamba-cajamarca-peru
Social movements,,shahuindo-project-in-cajabamba-cajamarca-peru
Farmers and peasants,,shahuindo-project-in-cajabamba-cajamarca-peru
International ejos,,nigeria-morocco-offshore-gas-pipeline
Local ejos,,nigeria-morocco-offshore-gas-pipeline
International ejos,,sable-chemicals-zimbabwe
Local ejos,,sable-chemicals-zimbabwe
Indigenous groups or traditional communities,,villagers-resist-displacement-for-purandar-airport-pune-india
Neighbours/citizens/communities,,villagers-resist-displacement-for-purandar-airport-pune-india
Social movements,,villagers-resist-displacement-for-purandar-airport-pune-india
Women,,villagers-resist-displacement-for-purandar-airport-pune-india
Farmers and peasants,,villagers-resist-displacement-for-purandar-airport-pune-india
Indigenous groups or traditional communities,,wilmar-and-land-grab-in-cross-river-state
International ejos,,wilmar-and-land-grab-in-cross-river-state
Local ejos,,wilmar-and-land-grab-in-cross-river-state
Neighbours/citizens/communities,,wilmar-and-land-grab-in-cross-river-state
Women,,wilmar-and-land-grab-in-cross-river-state
Farmers and peasants,,wilmar-and-land-grab-in-cross-river-state
Local ejos,,ojnare-forest-lime-stone-mine-gotland-sweden
Neighbours/citizens/communities,,ojnare-forest-lime-stone-mine-gotland-sweden
Social movements,,ojnare-forest-lime-stone-mine-gotland-sweden
Farmers and peasants,,ojnare-forest-lime-stone-mine-gotland-sweden
Indigenous groups or traditional communities,,mirador-cordillera-del-condor-ecuador
Local ejos,,mirador-cordillera-del-condor-ecuador
Local government/political parties,,mirador-cordillera-del-condor-ecuador
Neighbours/citizens/communities,,mirador-cordillera-del-condor-ecuador
Social movements,,mirador-cordillera-del-condor-ecuador
Women,,mirador-cordillera-del-condor-ecuador
Ethnically/racially discriminated groups,,mirador-cordillera-del-condor-ecuador
Local scientists/professionals,,mirador-cordillera-del-condor-ecuador
Religious groups,,mirador-cordillera-del-condor-ecuador
Farmers and peasants,,mirador-cordillera-del-condor-ecuador
Local ejos,,exploracion-hidrocarburos-en-san-andres-islas-colombia
Local government/political parties,,exploracion-hidrocarburos-en-san-andres-islas-colombia
Neighbours/citizens/communities,,exploracion-hidrocarburos-en-san-andres-islas-colombia
Social movements,,exploracion-hidrocarburos-en-san-andres-islas-colombia
Local scientists/professionals,,exploracion-hidrocarburos-en-san-andres-islas-colombia
Other,,exploracion-hidrocarburos-en-san-andres-islas-colombia
Fisher people,,exploracion-hidrocarburos-en-san-andres-islas-colombia
Indigenous groups or traditional communities,,mega-natural-gas-project-yamal-arctic-russia
Local ejos,,mega-natural-gas-project-yamal-arctic-russia
Pastoralists,,mega-natural-gas-project-yamal-arctic-russia
Ethnically/racially discriminated groups,,mega-natural-gas-project-yamal-arctic-russia
Other,,mega-natural-gas-project-yamal-arctic-russia
Local ejos,,paper-mills-wastewater-in-east-ujimqindongwu-banner-inner-mongolia
Neighbours/citizens/communities,,paper-mills-wastewater-in-east-ujimqindongwu-banner-inner-mongolia
Pastoralists,,paper-mills-wastewater-in-east-ujimqindongwu-banner-inner-mongolia
Ethnically/racially discriminated groups,,paper-mills-wastewater-in-east-ujimqindongwu-banner-inner-mongolia
Farmers and peasants,,paper-mills-wastewater-in-east-ujimqindongwu-banner-inner-mongolia
Indigenous groups or traditional communities,,bengal-birbhum-coalfields-limited
Local ejos,,bengal-birbhum-coalfields-limited
Landless peasants,,bengal-birbhum-coalfields-limited
Local government/political parties,,bengal-birbhum-coalfields-limited
Farmers and peasants,,bengal-birbhum-coalfields-limited
Indigenous groups or traditional communities,,underregulated-hazardous-waste-facility-western-environmental-in-california
Neighbours/citizens/communities,,underregulated-hazardous-waste-facility-western-environmental-in-california
Women,,underregulated-hazardous-waste-facility-western-environmental-in-california
Industrial workers,,privatization-of-water-in-tucuman-argentina
International ejos,,privatization-of-water-in-tucuman-argentina
Local ejos,,privatization-of-water-in-tucuman-argentina
Neighbours/citizens/communities,,privatization-of-water-in-tucuman-argentina
Social movements,,privatization-of-water-in-tucuman-argentina
Trade unions,,privatization-of-water-in-tucuman-argentina
Local scientists/professionals,,privatization-of-water-in-tucuman-argentina
Farmers and peasants,,privatization-of-water-in-tucuman-argentina
International ejos,,master-agua-quang-ninh-mines
Local scientists/professionals,,master-agua-quang-ninh-mines
Trade unions,,plantation-de-haut-penja
Farmers and peasants,,plantation-de-haut-penja
Local ejos,,quarry-naljezici-montenegro
Neighbours/citizens/communities,,quarry-naljezici-montenegro
Indigenous groups or traditional communities,,mikmaq-fisheries-dispute
Local government/political parties,,mikmaq-fisheries-dispute
Neighbours/citizens/communities,,mikmaq-fisheries-dispute
Social movements,,mikmaq-fisheries-dispute
Other,,mikmaq-fisheries-dispute
Fisher people,,mikmaq-fisheries-dispute
International ejos,,samokov-landfill-site
Local ejos,,samokov-landfill-site
Local government/political parties,,samokov-landfill-site
Social movements,,samokov-landfill-site
Farmers and peasants,,samokov-landfill-site
Indigenous groups or traditional communities,,illegal-logging-in-pirititi-indigenous-territory-roraima-brazil
International ejos,,illegal-logging-in-pirititi-indigenous-territory-roraima-brazil
Local ejos,,illegal-logging-in-pirititi-indigenous-territory-roraima-brazil
Ethnically/racially discriminated groups,,illegal-logging-in-pirititi-indigenous-territory-roraima-brazil
Local scientists/professionals,,illegal-logging-in-pirititi-indigenous-territory-roraima-brazil
Other,,illegal-logging-in-pirititi-indigenous-territory-roraima-brazil
Artisanal miners,,diwalwal-mineral-reservation-on-indigenous-land-in-monkayo-compostela-valley
Indigenous groups or traditional communities,,diwalwal-mineral-reservation-on-indigenous-land-in-monkayo-compostela-valley
Local ejos,,diwalwal-mineral-reservation-on-indigenous-land-in-monkayo-compostela-valley
Neighbours/citizens/communities,,diwalwal-mineral-reservation-on-indigenous-land-in-monkayo-compostela-valley
Women,,diwalwal-mineral-reservation-on-indigenous-land-in-monkayo-compostela-valley
Local government/political parties,,lamassada-struggle-zad
Women,,lamassada-struggle-zad
Other,,lamassada-struggle-zad
Farmers and peasants,,lamassada-struggle-zad
Indigenous groups or traditional communities,,proyecto-hidroelectrico-chan-panama
International ejos,,proyecto-hidroelectrico-chan-panama
Local ejos,,proyecto-hidroelectrico-chan-panama
Local government/political parties,,proyecto-hidroelectrico-chan-panama
Neighbours/citizens/communities,,proyecto-hidroelectrico-chan-panama
Social movements,,proyecto-hidroelectrico-chan-panama
Women,,proyecto-hidroelectrico-chan-panama
Ethnically/racially discriminated groups,,proyecto-hidroelectrico-chan-panama
Local scientists/professionals,,proyecto-hidroelectrico-chan-panama
Indigenous groups or traditional communities,,fracking-exploration-in-matatiele-south-africa
Informal workers,,fracking-exploration-in-matatiele-south-africa
International ejos,,fracking-exploration-in-matatiele-south-africa
Local ejos,,fracking-exploration-in-matatiele-south-africa
Local government/political parties,,fracking-exploration-in-matatiele-south-africa
Neighbours/citizens/communities,,fracking-exploration-in-matatiele-south-africa
Social movements,,fracking-exploration-in-matatiele-south-africa
Women,,fracking-exploration-in-matatiele-south-africa
Ethnically/racially discriminated groups,,fracking-exploration-in-matatiele-south-africa
Recreational users,,fracking-exploration-in-matatiele-south-africa
Local scientists/professionals,,fracking-exploration-in-matatiele-south-africa
Religious groups,,fracking-exploration-in-matatiele-south-africa
Farmers and peasants,,fracking-exploration-in-matatiele-south-africa
Local ejos,,protests-against-the-dumping-of-moscows-rubbish-at-alexandrov-landfill-the-height-of-which-is-that-of-a-10-storey-building
Local government/political parties,,protests-against-the-dumping-of-moscows-rubbish-at-alexandrov-landfill-the-height-of-which-is-that-of-a-10-storey-building
Neighbours/citizens/communities,,protests-against-the-dumping-of-moscows-rubbish-at-alexandrov-landfill-the-height-of-which-is-that-of-a-10-storey-building
Social movements,,protests-against-the-dumping-of-moscows-rubbish-at-alexandrov-landfill-the-height-of-which-is-that-of-a-10-storey-building
Local scientists/professionals,,protests-against-the-dumping-of-moscows-rubbish-at-alexandrov-landfill-the-height-of-which-is-that-of-a-10-storey-building
Other,,protests-against-the-dumping-of-moscows-rubbish-at-alexandrov-landfill-the-height-of-which-is-that-of-a-10-storey-building
Indigenous groups or traditional communities,,narra-citinickel-mine-in-palawan-philippines
Local ejos,,narra-citinickel-mine-in-palawan-philippines
Local government/political parties,,narra-citinickel-mine-in-palawan-philippines
Neighbours/citizens/communities,,narra-citinickel-mine-in-palawan-philippines
Ethnically/racially discriminated groups,,narra-citinickel-mine-in-palawan-philippines
Local scientists/professionals,,narra-citinickel-mine-in-palawan-philippines
Religious groups,,narra-citinickel-mine-in-palawan-philippines
Other,,narra-citinickel-mine-in-palawan-philippines
Fisher people,,narra-citinickel-mine-in-palawan-philippines
Farmers and peasants,,narra-citinickel-mine-in-palawan-philippines
International ejos,,the-fast-breeder-reacton-monju-japan
Local ejos,,the-fast-breeder-reacton-monju-japan
Neighbours/citizens/communities,,the-fast-breeder-reacton-monju-japan
Local scientists/professionals,,the-fast-breeder-reacton-monju-japan
Religious groups,,the-fast-breeder-reacton-monju-japan
Other,,the-fast-breeder-reacton-monju-japan
Fisher people,,the-fast-breeder-reacton-monju-japan
Local government/political parties,,ekiti-airport
Women,,ekiti-airport
Farmers and peasants,,ekiti-airport
Indigenous groups or traditional communities,,royalcos-mining-explorations-in-bakun-municipality
Local ejos,,royalcos-mining-explorations-in-bakun-municipality
Local government/political parties,,royalcos-mining-explorations-in-bakun-municipality
Neighbours/citizens/communities,,royalcos-mining-explorations-in-bakun-municipality
Pastoralists,,royalcos-mining-explorations-in-bakun-municipality
Women,,royalcos-mining-explorations-in-bakun-municipality
Ethnically/racially discriminated groups,,royalcos-mining-explorations-in-bakun-municipality
Local scientists/professionals,,royalcos-mining-explorations-in-bakun-municipality
Religious groups,,royalcos-mining-explorations-in-bakun-municipality
Other,,royalcos-mining-explorations-in-bakun-municipality
Fisher people,,royalcos-mining-explorations-in-bakun-municipality
Farmers and peasants,,royalcos-mining-explorations-in-bakun-municipality
International ejos,,pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile
Local ejos,,pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile
Local government/political parties,,pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile
Local scientists/professionals,,pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile
Farmers and peasants,,pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile
Indigenous groups or traditional communities,,crude-fire-ravages-ubeji-nigeria
Informal workers,,crude-fire-ravages-ubeji-nigeria
Local ejos,,crude-fire-ravages-ubeji-nigeria
Farmers and peasants,,crude-fire-ravages-ubeji-nigeria
Artisanal miners,,conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil
Local ejos,,conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil
Local government/political parties,,conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil
Local scientists/professionals,,conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil
Neighbours/citizens/communities,,untreated-sewage-discharge-from-the-jinlong-industrial-park-of-hengshan-county-hunan-china
Local scientists/professionals,,untreated-sewage-discharge-from-the-jinlong-industrial-park-of-hengshan-county-hunan-china
Farmers and peasants,,untreated-sewage-discharge-from-the-jinlong-industrial-park-of-hengshan-county-hunan-china
Indigenous groups or traditional communities,,sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies
Industrial workers,,sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies
Local government/political parties,,sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies
Pastoralists,,sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies
Women,,sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies
Other,,sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies
Fisher people,,sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies
Indigenous groups or traditional communities,,mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights
Local ejos,,mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights
Neighbours/citizens/communities,,mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights
Pastoralists,,mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights
Other,,mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights
Fisher people,,mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights
Farmers and peasants,,mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights
Local ejos,,land-grabbing-in-forestland-for-human-settlements
Local government/political parties,,land-grabbing-in-forestland-for-human-settlements
Local scientists/professionals,,land-grabbing-in-forestland-for-human-settlements
Religious groups,,land-grabbing-in-forestland-for-human-settlements
Industrial workers,,los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui
Local ejos,,los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui
Local government/political parties,,los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui
Neighbours/citizens/communities,,los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui
Trade unions,,los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui
Local scientists/professionals,,los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui
International ejos,,allain-duhangan-hydropower-project-india
Local ejos,,allain-duhangan-hydropower-project-india
Social movements,,allain-duhangan-hydropower-project-india
Fisher people,,allain-duhangan-hydropower-project-india
Farmers and peasants,,allain-duhangan-hydropower-project-india
Indigenous groups or traditional communities,,forceful-takeover-of-forest-lands-cultivated-by-tribals-and-others-in-khammam-district-of-telangana-state-of-india
Social movements,,forceful-takeover-of-forest-lands-cultivated-by-tribals-and-others-in-khammam-district-of-telangana-state-of-india
Neighbours/citizens/communities,,m-copper-smelting-enterprise-zijin-mining-group-co-ltd-qiqihar-heilongjiang-china
Local ejos,,dtz-ozgeo-gold-penhalonga-zimbabwe
Landless peasants,,dtz-ozgeo-gold-penhalonga-zimbabwe
Local scientists/professionals,,dtz-ozgeo-gold-penhalonga-zimbabwe
International ejos,,ruchi-agri-soybean-operation-in-gambela-ethiopia
Other,,ruchi-agri-soybean-operation-in-gambela-ethiopia
Local ejos,,chevron-port-project-at-the-gulf-of-thailand
Neighbours/citizens/communities,,chevron-port-project-at-the-gulf-of-thailand
Local scientists/professionals,,chevron-port-project-at-the-gulf-of-thailand
Fisher people,,chevron-port-project-at-the-gulf-of-thailand
Indigenous groups or traditional communities,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Industrial workers,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Local ejos,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Landless peasants,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Social movements,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Trade unions,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Women,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Ethnically/racially discriminated groups,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Other,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Farmers and peasants,,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia
Indigenous groups or traditional communities,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
Industrial workers,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
International ejos,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
Local ejos,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
Local government/political parties,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
Neighbours/citizens/communities,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
Social movements,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
Local scientists/professionals,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
Farmers and peasants,,eucalyptus-monoculture-in-eunapolis-bahia-brazil
Indigenous groups or traditional communities,,marinalva-manoel-murdered-brazil
International ejos,,marinalva-manoel-murdered-brazil
Local ejos,,marinalva-manoel-murdered-brazil
Landless peasants,,marinalva-manoel-murdered-brazil
Women,,marinalva-manoel-murdered-brazil
Ethnically/racially discriminated groups,,marinalva-manoel-murdered-brazil
Religious groups,,marinalva-manoel-murdered-brazil
Indigenous groups or traditional communities,,conflicto-forestal-en-la-reserva-del-patrimonio-natural-y-cultural-del-copaibo-de-concepcion
Neighbours/citizens/communities,,conflicto-forestal-en-la-reserva-del-patrimonio-natural-y-cultural-del-copaibo-de-concepcion
Farmers and peasants,,conflicto-forestal-en-la-reserva-del-patrimonio-natural-y-cultural-del-copaibo-de-concepcion
Local ejos,,gowanus-canal
Neighbours/citizens/communities,,gowanus-canal
Women,,gowanus-canal
Ethnically/racially discriminated groups,,gowanus-canal
Recreational users,,gowanus-canal
Indigenous groups or traditional communities,,socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone
International ejos,,socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone
Local ejos,,socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone
Women,,socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone
Farmers and peasants,,socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone
Local ejos,,military-waste-destruction-niksic-montenegro
Neighbours/citizens/communities,,military-waste-destruction-niksic-montenegro
Social movements,,military-waste-destruction-niksic-montenegro
Local scientists/professionals,,military-waste-destruction-niksic-montenegro
Farmers and peasants,,military-waste-destruction-niksic-montenegro
Indigenous groups or traditional communities,,endorois
International ejos,,endorois
Pastoralists,,endorois
International ejos,,bajo-la-alumbrera-mine-argentina
Local ejos,,bajo-la-alumbrera-mine-argentina
Local government/political parties,,bajo-la-alumbrera-mine-argentina
Neighbours/citizens/communities,,bajo-la-alumbrera-mine-argentina
Social movements,,bajo-la-alumbrera-mine-argentina
Local scientists/professionals,,bajo-la-alumbrera-mine-argentina
Farmers and peasants,,bajo-la-alumbrera-mine-argentina
Indigenous groups or traditional communities,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Local ejos,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Landless peasants,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Neighbours/citizens/communities,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Ethnically/racially discriminated groups,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Local scientists/professionals,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Religious groups,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Other,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Farmers and peasants,,tanintharyi-nature-reserve-tanintharyi-region-myanmar
Fisher people,,karawang-airport-on-north-coast-of-java-indonesia
Farmers and peasants,,karawang-airport-on-north-coast-of-java-indonesia
Indigenous groups or traditional communities,,ankulapaturu-thermal-power-plant-ap-india
Industrial workers,,ankulapaturu-thermal-power-plant-ap-india
Local ejos,,ankulapaturu-thermal-power-plant-ap-india
Landless peasants,,ankulapaturu-thermal-power-plant-ap-india
Local government/political parties,,ankulapaturu-thermal-power-plant-ap-india
Neighbours/citizens/communities,,ankulapaturu-thermal-power-plant-ap-india
Social movements,,ankulapaturu-thermal-power-plant-ap-india
Ethnically/racially discriminated groups,,ankulapaturu-thermal-power-plant-ap-india
Other,,ankulapaturu-thermal-power-plant-ap-india
Farmers and peasants,,ankulapaturu-thermal-power-plant-ap-india
Indigenous groups or traditional communities,,hidroelectricas-chicoa
Industrial workers,,hidroelectricas-chicoa
Local ejos,,hidroelectricas-chicoa
Landless peasants,,hidroelectricas-chicoa
Neighbours/citizens/communities,,hidroelectricas-chicoa
Social movements,,hidroelectricas-chicoa
Women,,hidroelectricas-chicoa
Local scientists/professionals,,hidroelectricas-chicoa
Religious groups,,hidroelectricas-chicoa
Fisher people,,hidroelectricas-chicoa
Farmers and peasants,,hidroelectricas-chicoa
Indigenous groups or traditional communities,,nuclear-power-plant-in-qusair-amra-jordan
International ejos,,nuclear-power-plant-in-qusair-amra-jordan
Local ejos,,nuclear-power-plant-in-qusair-amra-jordan
Local government/political parties,,nuclear-power-plant-in-qusair-amra-jordan
Local scientists/professionals,,nuclear-power-plant-in-qusair-amra-jordan
Farmers and peasants,,nuclear-power-plant-in-qusair-amra-jordan
International ejos,,kdc-international-land-grab-conflict-kampong-chhnang-cambodia
Local ejos,,kdc-international-land-grab-conflict-kampong-chhnang-cambodia
Landless peasants,,kdc-international-land-grab-conflict-kampong-chhnang-cambodia
Local government/political parties,,kdc-international-land-grab-conflict-kampong-chhnang-cambodia
Neighbours/citizens/communities,,kdc-international-land-grab-conflict-kampong-chhnang-cambodia
Religious groups,,kdc-international-land-grab-conflict-kampong-chhnang-cambodia
Farmers and peasants,,kdc-international-land-grab-conflict-kampong-chhnang-cambodia
Indigenous groups or traditional communities,,iffco-kisan-sez-in-nellore-ap-india
Local ejos,,iffco-kisan-sez-in-nellore-ap-india
Landless peasants,,iffco-kisan-sez-in-nellore-ap-india
Local government/political parties,,iffco-kisan-sez-in-nellore-ap-india
Neighbours/citizens/communities,,iffco-kisan-sez-in-nellore-ap-india
Social movements,,iffco-kisan-sez-in-nellore-ap-india
Ethnically/racially discriminated groups,,iffco-kisan-sez-in-nellore-ap-india
Farmers and peasants,,iffco-kisan-sez-in-nellore-ap-india
Local government/political parties,,mozambique-water-pollution-from-a-dumpsite-zimbabwe
Neighbours/citizens/communities,,mozambique-water-pollution-from-a-dumpsite-zimbabwe
International ejos,,internationa-airport-in-kertajati-java-indonesia
Local ejos,,internationa-airport-in-kertajati-java-indonesia
Neighbours/citizens/communities,,internationa-airport-in-kertajati-java-indonesia
Social movements,,internationa-airport-in-kertajati-java-indonesia
Farmers and peasants,,internationa-airport-in-kertajati-java-indonesia
Artisanal miners,,segovia-gold-mining-antioquia-colombia
Local ejos,,segovia-gold-mining-antioquia-colombia
Local government/political parties,,segovia-gold-mining-antioquia-colombia
Neighbours/citizens/communities,,segovia-gold-mining-antioquia-colombia
Social movements,,segovia-gold-mining-antioquia-colombia
Trade unions,,segovia-gold-mining-antioquia-colombia
Local scientists/professionals,,segovia-gold-mining-antioquia-colombia
Industrial workers,,rio-tinto-la-matanza-de-1888
Informal workers,,rio-tinto-la-matanza-de-1888
Local government/political parties,,rio-tinto-la-matanza-de-1888
Neighbours/citizens/communities,,rio-tinto-la-matanza-de-1888
Social movements,,rio-tinto-la-matanza-de-1888
Trade unions,,rio-tinto-la-matanza-de-1888
Local scientists/professionals,,rio-tinto-la-matanza-de-1888
Farmers and peasants,,rio-tinto-la-matanza-de-1888
Indigenous groups or traditional communities,,proyecto-eolico-del-cerro-de-hula-honduras
Social movements,,proyecto-eolico-del-cerro-de-hula-honduras
Ethnically/racially discriminated groups,,proyecto-eolico-del-cerro-de-hula-honduras
Farmers and peasants,,proyecto-eolico-del-cerro-de-hula-honduras
Local ejos,,contaminacion-del-agua-por-nitratos-en-osona-catalunya
Local government/political parties,,contaminacion-del-agua-por-nitratos-en-osona-catalunya
Neighbours/citizens/communities,,contaminacion-del-agua-por-nitratos-en-osona-catalunya
Social movements,,contaminacion-del-agua-por-nitratos-en-osona-catalunya
Local scientists/professionals,,contaminacion-del-agua-por-nitratos-en-osona-catalunya
Farmers and peasants,,contaminacion-del-agua-por-nitratos-en-osona-catalunya
International ejos,,the-avocado-agribusiness-and-water-drought-in-petorca-chile
Local ejos,,the-avocado-agribusiness-and-water-drought-in-petorca-chile
Neighbours/citizens/communities,,the-avocado-agribusiness-and-water-drought-in-petorca-chile
Social movements,,the-avocado-agribusiness-and-water-drought-in-petorca-chile
Trade unions,,the-avocado-agribusiness-and-water-drought-in-petorca-chile
Women,,the-avocado-agribusiness-and-water-drought-in-petorca-chile
Farmers and peasants,,the-avocado-agribusiness-and-water-drought-in-petorca-chile
Local ejos,,gmos-in-aragon-spain
Local government/political parties,,gmos-in-aragon-spain
Neighbours/citizens/communities,,gmos-in-aragon-spain
Social movements,,gmos-in-aragon-spain
Trade unions,,gmos-in-aragon-spain
Local scientists/professionals,,gmos-in-aragon-spain
Other,,gmos-in-aragon-spain
Farmers and peasants,,gmos-in-aragon-spain
Artisanal miners,,gold-mining-in-indigenous-yanomami-territory-brazil
Indigenous groups or traditional communities,,gold-mining-in-indigenous-yanomami-territory-brazil
International ejos,,gold-mining-in-indigenous-yanomami-territory-brazil
