UID,name,forms_mobilizing
royalcos-mining-explorations-in-bakun-municipality,"Lawsuits, court cases, judicial activism",
royalcos-mining-explorations-in-bakun-municipality,Official complaint letters and petitions,
royalcos-mining-explorations-in-bakun-municipality,Public campaigns,
royalcos-mining-explorations-in-bakun-municipality,Street protest/marches,
royalcos-mining-explorations-in-bakun-municipality,Occupation of buildings/public spaces,
royalcos-mining-explorations-in-bakun-municipality,Refusal of compensation,
royalcos-mining-explorations-in-bakun-municipality,Other,
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Creation of alternative reports/knowledge,
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,"Lawsuits, court cases, judicial activism",
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Objections to the EIA,
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Arguments for the rights of mother nature,
pt-kahatex-pt-insan-sandan-internusa-and-pt-five-star-textile,Appeals/recourse to economic valuation of the environment,
crude-fire-ravages-ubeji-nigeria,Development of a network/collective action,
crude-fire-ravages-ubeji-nigeria,Involvement of national and international NGOs,
crude-fire-ravages-ubeji-nigeria,Media based activism/alternative media,
crude-fire-ravages-ubeji-nigeria,Official complaint letters and petitions,
crude-fire-ravages-ubeji-nigeria,Public campaigns,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Development of a network/collective action,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Development of alternative proposals,
conflict-involving-miners-of-juma-river-novo-aripuana-am-brazil,Official complaint letters and petitions,
untreated-sewage-discharge-from-the-jinlong-industrial-park-of-hengshan-county-hunan-china,Media based activism/alternative media,
untreated-sewage-discharge-from-the-jinlong-industrial-park-of-hengshan-county-hunan-china,Official complaint letters and petitions,
sea-gypsies-of-myanmar-livelihoods-threatened-by-the-pearl-producing-companies,Media based activism/alternative media,
exploratory-fracking-in-balcombe-uk,Blockades,
exploratory-fracking-in-balcombe-uk,Development of a network/collective action,
exploratory-fracking-in-balcombe-uk,Involvement of national and international NGOs,
exploratory-fracking-in-balcombe-uk,Land occupation,
exploratory-fracking-in-balcombe-uk,"Lawsuits, court cases, judicial activism",
exploratory-fracking-in-balcombe-uk,Media based activism/alternative media,
exploratory-fracking-in-balcombe-uk,Official complaint letters and petitions,
exploratory-fracking-in-balcombe-uk,Public campaigns,
exploratory-fracking-in-balcombe-uk,Referendum other local consultations,
exploratory-fracking-in-balcombe-uk,Street protest/marches,
exploratory-fracking-in-balcombe-uk,Occupation of buildings/public spaces,
exploratory-fracking-in-balcombe-uk,Arguments for the rights of mother nature,
exploratory-fracking-in-balcombe-uk,Other,
mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights,Creation of alternative reports/knowledge,
mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights,Development of a network/collective action,
mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights,Involvement of national and international NGOs,
mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights,Official complaint letters and petitions,
mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights,Street protest/marches,
mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights,Appeals/recourse to economic valuation of the environment,
land-grabbing-in-forestland-for-human-settlements,Official complaint letters and petitions,
land-grabbing-in-forestland-for-human-settlements,Public campaigns,
land-grabbing-in-forestland-for-human-settlements,Arguments for the rights of mother nature,
land-grabbing-in-forestland-for-human-settlements,Appeals/recourse to economic valuation of the environment,
land-grabbing-in-forestland-for-human-settlements,Other,
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,Development of a network/collective action,
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,"Lawsuits, court cases, judicial activism",
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,Media based activism/alternative media,
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,Official complaint letters and petitions,
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,Public campaigns,
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,Street protest/marches,
los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,Other,
allain-duhangan-hydropower-project-india,Development of a network/collective action,
allain-duhangan-hydropower-project-india,Media based activism/alternative media,
allain-duhangan-hydropower-project-india,Objections to the EIA,
allain-duhangan-hydropower-project-india,Official complaint letters and petitions,
allain-duhangan-hydropower-project-india,Street protest/marches,
forceful-takeover-of-forest-lands-cultivated-by-tribals-and-others-in-khammam-district-of-telangana-state-of-india,Public campaigns,
forceful-takeover-of-forest-lands-cultivated-by-tribals-and-others-in-khammam-district-of-telangana-state-of-india,Street protest/marches,
m-copper-smelting-enterprise-zijin-mining-group-co-ltd-qiqihar-heilongjiang-china,Development of a network/collective action,
m-copper-smelting-enterprise-zijin-mining-group-co-ltd-qiqihar-heilongjiang-china,Media based activism/alternative media,
m-copper-smelting-enterprise-zijin-mining-group-co-ltd-qiqihar-heilongjiang-china,Official complaint letters and petitions,
m-copper-smelting-enterprise-zijin-mining-group-co-ltd-qiqihar-heilongjiang-china,Street protest/marches,
m-copper-smelting-enterprise-zijin-mining-group-co-ltd-qiqihar-heilongjiang-china,Occupation of buildings/public spaces,
dtz-ozgeo-gold-penhalonga-zimbabwe,"Community-based participative research (popular epidemiology studies, etc..)",
dtz-ozgeo-gold-penhalonga-zimbabwe,Creation of alternative reports/knowledge,
dtz-ozgeo-gold-penhalonga-zimbabwe,Development of a network/collective action,
dtz-ozgeo-gold-penhalonga-zimbabwe,Involvement of national and international NGOs,
dtz-ozgeo-gold-penhalonga-zimbabwe,Arguments for the rights of mother nature,
ruchi-agri-soybean-operation-in-gambela-ethiopia,"Community-based participative research (popular epidemiology studies, etc..)",
chevron-port-project-at-the-gulf-of-thailand,"Community-based participative research (popular epidemiology studies, etc..)",
chevron-port-project-at-the-gulf-of-thailand,"Lawsuits, court cases, judicial activism",
chevron-port-project-at-the-gulf-of-thailand,Objections to the EIA,
chevron-port-project-at-the-gulf-of-thailand,Official complaint letters and petitions,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Blockades,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Involvement of national and international NGOs,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Land occupation,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,"Lawsuits, court cases, judicial activism",
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Media based activism/alternative media,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Objections to the EIA,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Official complaint letters and petitions,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Public campaigns,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Street protest/marches,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Strikes,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Threats to use arms,
destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,Arguments for the rights of mother nature,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,"Community-based participative research (popular epidemiology studies, etc..)",
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Creation of alternative reports/knowledge,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Development of a network/collective action,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Involvement of national and international NGOs,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,"Lawsuits, court cases, judicial activism",
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Objections to the EIA,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Public campaigns,
eucalyptus-monoculture-in-eunapolis-bahia-brazil,Street protest/marches,
marinalva-manoel-murdered-brazil,Land occupation,
marinalva-manoel-murdered-brazil,"Lawsuits, court cases, judicial activism",
marinalva-manoel-murdered-brazil,Other,
conflicto-forestal-en-la-reserva-del-patrimonio-natural-y-cultural-del-copaibo-de-concepcion,Blockades,
conflicto-forestal-en-la-reserva-del-patrimonio-natural-y-cultural-del-copaibo-de-concepcion,Boycotts of official procedures/non-participation in official processes,
conflicto-forestal-en-la-reserva-del-patrimonio-natural-y-cultural-del-copaibo-de-concepcion,Official complaint letters and petitions,
gowanus-canal,Development of alternative proposals,
gowanus-canal,Media based activism/alternative media,
gowanus-canal,Official complaint letters and petitions,
gowanus-canal,Public campaigns,
gowanus-canal,Street protest/marches,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Blockades,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,"Community-based participative research (popular epidemiology studies, etc..)",
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Creation of alternative reports/knowledge,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Involvement of national and international NGOs,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,"Lawsuits, court cases, judicial activism",
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Media based activism/alternative media,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Official complaint letters and petitions,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Public campaigns,
socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,Street protest/marches,
military-waste-destruction-niksic-montenegro,Blockades,
military-waste-destruction-niksic-montenegro,Involvement of national and international NGOs,
military-waste-destruction-niksic-montenegro,Objections to the EIA,
military-waste-destruction-niksic-montenegro,Official complaint letters and petitions,
military-waste-destruction-niksic-montenegro,Public campaigns,
military-waste-destruction-niksic-montenegro,Street protest/marches,
military-waste-destruction-niksic-montenegro,Arguments for the rights of mother nature,
endorois,Involvement of national and international NGOs,
endorois,Land occupation,
endorois,"Lawsuits, court cases, judicial activism",
bajo-la-alumbrera-mine-argentina,Blockades,
bajo-la-alumbrera-mine-argentina,"Community-based participative research (popular epidemiology studies, etc..)",
bajo-la-alumbrera-mine-argentina,Creation of alternative reports/knowledge,
bajo-la-alumbrera-mine-argentina,Development of a network/collective action,
bajo-la-alumbrera-mine-argentina,Involvement of national and international NGOs,
bajo-la-alumbrera-mine-argentina,"Lawsuits, court cases, judicial activism",
bajo-la-alumbrera-mine-argentina,Media based activism/alternative media,
bajo-la-alumbrera-mine-argentina,Objections to the EIA,
bajo-la-alumbrera-mine-argentina,Official complaint letters and petitions,
bajo-la-alumbrera-mine-argentina,Public campaigns,
bajo-la-alumbrera-mine-argentina,Street protest/marches,
bajo-la-alumbrera-mine-argentina,Arguments for the rights of mother nature,
tanintharyi-nature-reserve-tanintharyi-region-myanmar,"Community-based participative research (popular epidemiology studies, etc..)",
tanintharyi-nature-reserve-tanintharyi-region-myanmar,Creation of alternative reports/knowledge,
tanintharyi-nature-reserve-tanintharyi-region-myanmar,Development of a network/collective action,
tanintharyi-nature-reserve-tanintharyi-region-myanmar,Development of alternative proposals,
tanintharyi-nature-reserve-tanintharyi-region-myanmar,Involvement of national and international NGOs,
tanintharyi-nature-reserve-tanintharyi-region-myanmar,Public campaigns,
karawang-airport-on-north-coast-of-java-indonesia,Development of a network/collective action,
karawang-airport-on-north-coast-of-java-indonesia,Public campaigns,
karawang-airport-on-north-coast-of-java-indonesia,Street protest/marches,
ankulapaturu-thermal-power-plant-ap-india,Blockades,
ankulapaturu-thermal-power-plant-ap-india,Boycotts of official procedures/non-participation in official processes,
ankulapaturu-thermal-power-plant-ap-india,Development of a network/collective action,
ankulapaturu-thermal-power-plant-ap-india,Objections to the EIA,
ankulapaturu-thermal-power-plant-ap-india,Official complaint letters and petitions,
ankulapaturu-thermal-power-plant-ap-india,Public campaigns,
ankulapaturu-thermal-power-plant-ap-india,Street protest/marches,
hidroelectricas-chicoa,Blockades,
hidroelectricas-chicoa,Development of a network/collective action,
hidroelectricas-chicoa,Involvement of national and international NGOs,
hidroelectricas-chicoa,Land occupation,
hidroelectricas-chicoa,"Lawsuits, court cases, judicial activism",
hidroelectricas-chicoa,Media based activism/alternative media,
hidroelectricas-chicoa,Official complaint letters and petitions,
hidroelectricas-chicoa,Street protest/marches,
hidroelectricas-chicoa,Strikes,
hidroelectricas-chicoa,Hunger strikes and self immolation,
nuclear-power-plant-in-qusair-amra-jordan,Blockades,
nuclear-power-plant-in-qusair-amra-jordan,Creation of alternative reports/knowledge,
nuclear-power-plant-in-qusair-amra-jordan,Development of a network/collective action,
nuclear-power-plant-in-qusair-amra-jordan,Development of alternative proposals,
nuclear-power-plant-in-qusair-amra-jordan,Involvement of national and international NGOs,
nuclear-power-plant-in-qusair-amra-jordan,"Lawsuits, court cases, judicial activism",
nuclear-power-plant-in-qusair-amra-jordan,Objections to the EIA,
nuclear-power-plant-in-qusair-amra-jordan,Public campaigns,
nuclear-power-plant-in-qusair-amra-jordan,Street protest/marches,
nuclear-power-plant-in-qusair-amra-jordan,Occupation of buildings/public spaces,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Blockades,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Boycotts of official procedures/non-participation in official processes,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Creation of alternative reports/knowledge,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Development of a network/collective action,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Development of alternative proposals,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Involvement of national and international NGOs,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Land occupation,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,"Lawsuits, court cases, judicial activism",
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Official complaint letters and petitions,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Public campaigns,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Street protest/marches,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Property damage/arson,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Threats to use arms,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Occupation of buildings/public spaces,
kdc-international-land-grab-conflict-kampong-chhnang-cambodia,Refusal of compensation,
iffco-kisan-sez-in-nellore-ap-india,Boycotts of official procedures/non-participation in official processes,
iffco-kisan-sez-in-nellore-ap-india,Public campaigns,
iffco-kisan-sez-in-nellore-ap-india,Strikes,
iffco-kisan-sez-in-nellore-ap-india,Other,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Creation of alternative reports/knowledge,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Media based activism/alternative media,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Official complaint letters and petitions,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Public campaigns,
mozambique-water-pollution-from-a-dumpsite-zimbabwe,Arguments for the rights of mother nature,
internationa-airport-in-kertajati-java-indonesia,Blockades,
internationa-airport-in-kertajati-java-indonesia,Development of a network/collective action,
internationa-airport-in-kertajati-java-indonesia,Land occupation,
internationa-airport-in-kertajati-java-indonesia,Public campaigns,
internationa-airport-in-kertajati-java-indonesia,Street protest/marches,
segovia-gold-mining-antioquia-colombia,Creation of alternative reports/knowledge,
segovia-gold-mining-antioquia-colombia,Development of a network/collective action,
segovia-gold-mining-antioquia-colombia,Involvement of national and international NGOs,
segovia-gold-mining-antioquia-colombia,Land occupation,
segovia-gold-mining-antioquia-colombia,"Lawsuits, court cases, judicial activism",
segovia-gold-mining-antioquia-colombia,Media based activism/alternative media,
segovia-gold-mining-antioquia-colombia,Official complaint letters and petitions,
segovia-gold-mining-antioquia-colombia,Public campaigns,
segovia-gold-mining-antioquia-colombia,Street protest/marches,
segovia-gold-mining-antioquia-colombia,Strikes,
segovia-gold-mining-antioquia-colombia,Occupation of buildings/public spaces,
rio-tinto-la-matanza-de-1888,Blockades,
rio-tinto-la-matanza-de-1888,Creation of alternative reports/knowledge,
rio-tinto-la-matanza-de-1888,Development of alternative proposals,
rio-tinto-la-matanza-de-1888,"Lawsuits, court cases, judicial activism",
rio-tinto-la-matanza-de-1888,Media based activism/alternative media,
rio-tinto-la-matanza-de-1888,Official complaint letters and petitions,
rio-tinto-la-matanza-de-1888,Street protest/marches,
rio-tinto-la-matanza-de-1888,Strikes,
rio-tinto-la-matanza-de-1888,Occupation of buildings/public spaces,
proyecto-eolico-del-cerro-de-hula-honduras,Development of a network/collective action,
proyecto-eolico-del-cerro-de-hula-honduras,Objections to the EIA,
proyecto-eolico-del-cerro-de-hula-honduras,Official complaint letters and petitions,
proyecto-eolico-del-cerro-de-hula-honduras,Arguments for the rights of mother nature,
proyecto-eolico-del-cerro-de-hula-honduras,Other,
contaminacion-del-agua-por-nitratos-en-osona-catalunya,Creation of alternative reports/knowledge,
contaminacion-del-agua-por-nitratos-en-osona-catalunya,Development of a network/collective action,
contaminacion-del-agua-por-nitratos-en-osona-catalunya,Development of alternative proposals,
contaminacion-del-agua-por-nitratos-en-osona-catalunya,Involvement of national and international NGOs,
contaminacion-del-agua-por-nitratos-en-osona-catalunya,"Lawsuits, court cases, judicial activism",
contaminacion-del-agua-por-nitratos-en-osona-catalunya,Media based activism/alternative media,
contaminacion-del-agua-por-nitratos-en-osona-catalunya,Public campaigns,
the-avocado-agribusiness-and-water-drought-in-petorca-chile,"Artistic and creative actions (eg guerilla theatre, murals)",
the-avocado-agribusiness-and-water-drought-in-petorca-chile,"Community-based participative research (popular epidemiology studies, etc..)",
the-avocado-agribusiness-and-water-drought-in-petorca-chile,Creation of alternative reports/knowledge,
the-avocado-agribusiness-and-water-drought-in-petorca-chile,Development of a network/collective action,
the-avocado-agribusiness-and-water-drought-in-petorca-chile,Involvement of national and international NGOs,
the-avocado-agribusiness-and-water-drought-in-petorca-chile,"Lawsuits, court cases, judicial activism",
the-avocado-agribusiness-and-water-drought-in-petorca-chile,Media based activism/alternative media,
the-avocado-agribusiness-and-water-drought-in-petorca-chile,Public campaigns,
the-avocado-agribusiness-and-water-drought-in-petorca-chile,Street protest/marches,
gmos-in-aragon-spain,Development of alternative proposals,
gmos-in-aragon-spain,Official complaint letters and petitions,
gmos-in-aragon-spain,Public campaigns,
gold-mining-in-indigenous-yanomami-territory-brazil,Involvement of national and international NGOs,
gold-mining-in-indigenous-yanomami-territory-brazil,"Lawsuits, court cases, judicial activism",
gold-mining-in-indigenous-yanomami-territory-brazil,Official complaint letters and petitions,
gold-mining-in-indigenous-yanomami-territory-brazil,Arguments for the rights of mother nature,
represa-benito-juarez-oaxaca-mexico,Development of a network/collective action,
represa-benito-juarez-oaxaca-mexico,Official complaint letters and petitions,
represa-benito-juarez-oaxaca-mexico,Street protest/marches,
regional-landfill-lecevica-croatia,"Artistic and creative actions (eg guerilla theatre, murals)",
regional-landfill-lecevica-croatia,"Community-based participative research (popular epidemiology studies, etc..)",
regional-landfill-lecevica-croatia,Creation of alternative reports/knowledge,
regional-landfill-lecevica-croatia,Media based activism/alternative media,
regional-landfill-lecevica-croatia,Objections to the EIA,
regional-landfill-lecevica-croatia,Street protest/marches,
oil-spills-around-usinsk-komi-republic,Development of a network/collective action,
oil-spills-around-usinsk-komi-republic,Involvement of national and international NGOs,
oil-spills-around-usinsk-komi-republic,"Lawsuits, court cases, judicial activism",
oil-spills-around-usinsk-komi-republic,Media based activism/alternative media,
oil-spills-around-usinsk-komi-republic,Public campaigns,
airport-arial-beel,Blockades,
airport-arial-beel,Street protest/marches,
airport-arial-beel,Appeals/recourse to economic valuation of the environment,
tigyit-coal-power-plant-shan-state-myanmar,"Community-based participative research (popular epidemiology studies, etc..)",
tigyit-coal-power-plant-shan-state-myanmar,Creation of alternative reports/knowledge,
tigyit-coal-power-plant-shan-state-myanmar,Involvement of national and international NGOs,
tigyit-coal-power-plant-shan-state-myanmar,Objections to the EIA,
tigyit-coal-power-plant-shan-state-myanmar,Official complaint letters and petitions,
tigyit-coal-power-plant-shan-state-myanmar,Public campaigns,
tigyit-coal-power-plant-shan-state-myanmar,Street protest/marches,
ocupa-maua-urban-squatting-sao-paulo-brazil,"Artistic and creative actions (eg guerilla theatre, murals)",
ocupa-maua-urban-squatting-sao-paulo-brazil,Development of a network/collective action,
ocupa-maua-urban-squatting-sao-paulo-brazil,Involvement of national and international NGOs,
ocupa-maua-urban-squatting-sao-paulo-brazil,"Lawsuits, court cases, judicial activism",
ocupa-maua-urban-squatting-sao-paulo-brazil,Official complaint letters and petitions,
ocupa-maua-urban-squatting-sao-paulo-brazil,Street protest/marches,
ocupa-maua-urban-squatting-sao-paulo-brazil,Occupation of buildings/public spaces,
ocupa-maua-urban-squatting-sao-paulo-brazil,Refusal of compensation,
outokumpu-mine-finland6,Development of a network/collective action,
outokumpu-mine-finland6,"Lawsuits, court cases, judicial activism",
outokumpu-mine-finland6,Official complaint letters and petitions,
agro-ecoenergy,Development of a network/collective action,
agro-ecoenergy,"Lawsuits, court cases, judicial activism",
agro-ecoenergy,Objections to the EIA,
agro-ecoenergy,Public campaigns,
ituango-hidroelectrica-colombia,"Artistic and creative actions (eg guerilla theatre, murals)",
ituango-hidroelectrica-colombia,Blockades,
ituango-hidroelectrica-colombia,Development of a network/collective action,
ituango-hidroelectrica-colombia,Development of alternative proposals,
ituango-hidroelectrica-colombia,Involvement of national and international NGOs,
ituango-hidroelectrica-colombia,Objections to the EIA,
ituango-hidroelectrica-colombia,Official complaint letters and petitions,
ituango-hidroelectrica-colombia,Public campaigns,
ituango-hidroelectrica-colombia,Street protest/marches,
ituango-hidroelectrica-colombia,Arguments for the rights of mother nature,
penasquito,Blockades,
penasquito,"Lawsuits, court cases, judicial activism",
penasquito,Street protest/marches,
penasquito,Strikes,
anangu-aboriginal-stopped-tourism-expansion-and-the-climb-to-the-top-of-uluru-rock-australia,Creation of alternative reports/knowledge,
anangu-aboriginal-stopped-tourism-expansion-and-the-climb-to-the-top-of-uluru-rock-australia,Development of alternative proposals,
loei-gold-mine-thailand,"Artistic and creative actions (eg guerilla theatre, murals)",
loei-gold-mine-thailand,Blockades,
loei-gold-mine-thailand,"Community-based participative research (popular epidemiology studies, etc..)",
loei-gold-mine-thailand,Creation of alternative reports/knowledge,
loei-gold-mine-thailand,Development of alternative proposals,
loei-gold-mine-thailand,Involvement of national and international NGOs,
loei-gold-mine-thailand,Media based activism/alternative media,
loei-gold-mine-thailand,Public campaigns,
loei-gold-mine-thailand,Street protest/marches,
loei-gold-mine-thailand,Other,
wastewater-treatment-collector-in-botun-montenegro,Official complaint letters and petitions,
wastewater-treatment-collector-in-botun-montenegro,Public campaigns,
wastewater-treatment-collector-in-botun-montenegro,Other,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,"Artistic and creative actions (eg guerilla theatre, murals)",
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Creation of alternative reports/knowledge,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Development of a network/collective action,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Development of alternative proposals,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Involvement of national and international NGOs,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,"Lawsuits, court cases, judicial activism",
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Media based activism/alternative media,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Objections to the EIA,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Official complaint letters and petitions,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Public campaigns,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Street protest/marches,
contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,Appeals/recourse to economic valuation of the environment,
dirty-fishmeal-production-in-nouadhibou-mauritania,"Community-based participative research (popular epidemiology studies, etc..)",
dirty-fishmeal-production-in-nouadhibou-mauritania,Development of a network/collective action,
dirty-fishmeal-production-in-nouadhibou-mauritania,"Lawsuits, court cases, judicial activism",
dirty-fishmeal-production-in-nouadhibou-mauritania,Official complaint letters and petitions,
dirty-fishmeal-production-in-nouadhibou-mauritania,Street protest/marches,
dirty-fishmeal-production-in-nouadhibou-mauritania,Occupation of buildings/public spaces,
mapithel-dam-manipur-india,Development of a network/collective action,
mapithel-dam-manipur-india,Land occupation,
mapithel-dam-manipur-india,Official complaint letters and petitions,
mapithel-dam-manipur-india,Public campaigns,
mapithel-dam-manipur-india,Street protest/marches,
mapithel-dam-manipur-india,Strikes,
mapithel-dam-manipur-india,Other,
vung-ang-2-thermal-power-plant-ha-tinh-province-vietnam,Development of a network/collective action,
vung-ang-2-thermal-power-plant-ha-tinh-province-vietnam,Media based activism/alternative media,
vung-ang-2-thermal-power-plant-ha-tinh-province-vietnam,Official complaint letters and petitions,
vung-ang-2-thermal-power-plant-ha-tinh-province-vietnam,Public campaigns,
vung-ang-2-thermal-power-plant-ha-tinh-province-vietnam,Shareholder/financial activism.,
vung-ang-2-thermal-power-plant-ha-tinh-province-vietnam,Street protest/marches,
quebrada-blanca-tarapaca-chile,Involvement of national and international NGOs,
quebrada-blanca-tarapaca-chile,"Lawsuits, court cases, judicial activism",
quebrada-blanca-tarapaca-chile,Media based activism/alternative media,
quebrada-blanca-tarapaca-chile,Objections to the EIA,
quebrada-blanca-tarapaca-chile,Official complaint letters and petitions,
quebrada-blanca-tarapaca-chile,Public campaigns,
quebrada-blanca-tarapaca-chile,Street protest/marches,
roma-roma-settlement-next-to-the-us-steel-factory-and-running-water-only-two-hours-per-day-in-slovakia,"Artistic and creative actions (eg guerilla theatre, murals)",
roma-roma-settlement-next-to-the-us-steel-factory-and-running-water-only-two-hours-per-day-in-slovakia,Creation of alternative reports/knowledge,
platinum-mining-in-eastern-shan-state-myanmar,"Community-based participative research (popular epidemiology studies, etc..)",
platinum-mining-in-eastern-shan-state-myanmar,Creation of alternative reports/knowledge,
platinum-mining-in-eastern-shan-state-myanmar,Public campaigns,
phosphates-mining-in-the-gardening-zone-of-niayes-mboro-senegal,Development of a network/collective action,
phosphates-mining-in-the-gardening-zone-of-niayes-mboro-senegal,Involvement of national and international NGOs,
phosphates-mining-in-the-gardening-zone-of-niayes-mboro-senegal,Street protest/marches,
contamination-of-the-river-palo-in-puerto-tejada-colombia,"Community-based participative research (popular epidemiology studies, etc..)",
contamination-of-the-river-palo-in-puerto-tejada-colombia,Development of a network/collective action,
contamination-of-the-river-palo-in-puerto-tejada-colombia,"Lawsuits, court cases, judicial activism",
contamination-of-the-river-palo-in-puerto-tejada-colombia,Public campaigns,
contamination-of-the-river-palo-in-puerto-tejada-colombia,Arguments for the rights of mother nature,
ecuadors-prior-consult-in-the-oil-blocks-20-and-29-ecuador,Boycotts of official procedures/non-participation in official processes,
ecuadors-prior-consult-in-the-oil-blocks-20-and-29-ecuador,"Lawsuits, court cases, judicial activism",
ecuadors-prior-consult-in-the-oil-blocks-20-and-29-ecuador,Official complaint letters and petitions,
