other_health_impacts,other_socio_economical_impacts,other_environmental_impacts,slug
,,"Land subsidence and salinity intrusion
Blow-outs and explosions",hydrocarbon-extraction-a-threat-to-livelihood-in-neduvasal-pudukkottai-district-cauvery-delta
,,,minera-las-cruces-sevilla-spain
,,,total-in-marseille-france
,,,unrestricted-charcoal-production-in-puntland-somalia
,,,mina-dolores-mexico
"Exposure to pesticides; Asma, microcefalia, estrabismo. Specific imapcts on children.",,,pesticide-acute-poisoning-in-tomatoes-plantations-in-corrientes-argentina
Diseases related to water contamination,,"Where repetitive cultivation is performed on steep slopes without appropriate conservation methods erosion has accelerated and stream sediment loads have increased. 
Permanent conversion of hill slopes and road building due to plantation increase the risk of landslides.
Irrigation of cash crops in the dry season desiccate streams
Use of pesticides and fertilizers to sustain commercial agriculture has reduce water quality",rubber-plantation
,,,savannahs-lithium-extraction-conflict-in-barroso-portugal
,,The mine will produce 60 million tons of radioactive and poisonous waste during its 10-year lifespan (3),mkuju-river-uranium-mine-tanzania
,,,the-city-of-sirjan-between-water-conflict-for-dried-pistachio-trees-and-golgohar-iron-mine-iran
,,,noyyal-river-basin-a-pollution-cocktail
"Enfermedades ligadas a la acumulación y transferencia de metales pesados (Estudio MEDEAS: Estudio sobre índice de privación socioeconómica y la mortalidad del cáncer)._x000D_
 https://www.isciii.es/QueHacemos/Servicios/VigilanciaSaludPublicaRENAVE/EnfermedadesCronicas/Paginas/Tablas-de-datos.aspx_x000D_
 ","Contaminación de recursos pesqueros, perjudicando extracción y venta de estos y de esta manera el modo de subsistencia de la gente del rubro pesca.",Impacto en Sitio Ramsar,dano-ambiental-en-sierra-minera-y-bahia-de-portman-smm-penarroya-espana-region-de-murcia-espana
,,,desviacion-rio-rancheria-la-guajira-colombia
,,"Potentially, nuclear accidents",yucca-mountain-nuclear-waste-storage-usa
,,,monocultivo-de-palma-de-aceite-en-meta-colombia
,,Contamination with BPC,waste-nuevomercurio-zacatecas-mexico
,Loss of archeological remains,"There are glaciers in the area, as in Pascua Lama",el-morro-chile
,,"The mining activities in the area affect the supply of drinking water, and the grazing ground for their cattle [1]
[3]Green Tibet",wu-yug-sochen-namling-dzong-tibet
,,,oil-extraction-at-numto-nature-preserve
,,,bosques-de-bahia-solano-colombia
,,Destroying peatlands,astro-agro-lestari-aal-indonesia
,,,relleno-sanitario-parque-industrial-santodomingo-colombia
,,,almond-leaf-scorch-in-alicante
,Major restrictions on subsistence activities by Kaktovik residents would also be expected (http://www.fws.gov/alaska/nwr/arctic/issues1.htm),"Major effects were defined as ""widespread, long-term change in habitat availability or quality which would likely modify natural abundance or distribution of species."" Moderate effects were expected for wolves, wolverine, polar bears, snow geese, seabirds and shorebirds, arctic grayling and coastal fish.   (http://www.fws.gov/alaska/nwr/arctic/issues1.htm).  Two-dimensional (2-D) exploration was authorized by Congress in the 1002 Area in the winters of 1984 and 1985. Monitoring of more than 100 permanent plots along the 1,400 miles of seismic lines has documented that while many areas recovered, some trails had still not recovered by 1999 (http://www.fws.gov/alaska/nwr/arctic/issues1.htm)",oil-drilling-in-anwr-usa
,,,sundarban-tiger-reserve
,,,mobilization-against-the-gold-mining-bombore-project-by-orezon-burkina-faso
,,,rhino-poaching-in-the-balule-nature-reserve-in-south-africas-greater-kruger-national-park
,,,shell-chevron-canalization-devastes-tsekelewu-community
,,,militerization-of-yemen-ngl-gas-liquefacation-site
Health impacts are mentioned but not specified.,"Adverse impacts on the farmers' communities are mentioned but not specified. Cracks on the homes of eight households, due to blasting.",,gidawom-mining-case
,,,iter-reactor-france
"Possible health problems because of air pollution, mental problems because of loss of quality of life, increase of living costs, loss of serenity, loss of community sense and traditions.","Serious impacts on marine life because of the elevated marine traffic, danger of oil spills, danger of introduction by exotic species, reduction in agricutural activities, fishing and diving, terrifying impact on tourism and tourist attractions like dolfins, whales, sea otters, penguins and the serene seascape of desert islands.","impact on the penguin reserve where 80% of the world´s popuation has its habitat_x000D_
impact on sensible marine ecosystems",dominga
,,,multiple-gas-explosion-in-egiland-nigeria
,,,girye-ultra-mega-power-project-maharashtra-india
,"La actividad minera ha registrado una involución en el transcurso del tiempo, que se manifiesta en un menor valor agregado (la producción está destinada a la provisión de insumos para obras públicas), menor capacidad en la generación de empleo e impactos negativos no solo ambientales sino también sociales. En 1913 el número de trabajadores empleados en la totalidad de las canteras era superior a 2000 y la producción fue de 410.872 toneladas, en tanto en el año 2000 la cantera más grande ocupaba 23 trabajadores y producía 30.000 toneladas mensuales. Esto permite afirmar que mientras en el año 1913 el promedio de producción de un trabajador por mes era de 17 toneladas, en el año 2000 esa cifra trepó hasta las 1304 toneladas. Asimismo, las explosiones generan para la población que reside cerca de las canteras consecuencias negativas en las construcciones, como fisuras y rotura de vidrios, y una importante contaminación sonora (Fernandez Equiza, 2001; en Lan y Migueltorena, 2011).",,sierras-de-tandil
Respiratory disorders,,,vales-giant-s11d-iron-ore-project-in-carajas-para-brazil
,,,toxic-waste-incinerator-in-east-liverpool-ohio-united-states
,,Mangroves affected,usina-trapiche-sirinhaem-pernambuco-brazil
,The protection of Aboriginal rights put at risk,"Diseases impacting wild salmon that may be related to fish farms: the bacterial disease ferunculosis, piscine reovirus, a highly contagious virus believed to cause disease, a heart and skeletal muscle inflammation, known as HSMI which makes fish lethargic and sea lice, small parasitic crustaceans that feed on the skin and mucous of fish. ",swanson-occupation-canada
,,,anglo-platinum-mogalakwena-mine-tailings-dam-in-limpopo-south-africa
,,,lago-lleu-lleu-chile
Contamination of food and water sources,,,proposed-national-radioactive-waste-management-facility-south-australia
Infections and deseases related to swimming in polluted marine water,,Marine pollution; destruction of the natural sand movement and alteration of dune formation; direct affectation to protected areas. ,hotel-in-la-tejita
Empeoramiento de la calidad del aire en una de las áreas más contaminadas de la ciudad (como lo señala el primer mapeo participativo de la calidad del aire),,,distruzione-e-cementificazione-del-bosco-ai-prati-di-caprara
,,,protest-against-high-voltage-transmission-lines-in-bhangar-west-bengal
,,,afectados-por-el-nemagon-honduras
cognitive delays and behavioral problems in childhood; studies have shown that childhood lead exposure is associated with higher adult violent crime rates. [2],,,b-lead-poisoning-melody-chemical-plant-china
,,,alcoa-coal-closes-in-anglesea
"Emisiones de atmósfera del sistema con fuentes fósiles de Rossano Calabro de ENEL (impactos en la salud): Muertes prematuras 2 (Fuente: Informe de Somo, datos de emisión del registro E-PRTR, procesamiento a través de la metodología EAE) emisiones potenciales futuras en la atmósfera del sistema a fuentes fósiles de Rossano Calabro de Enel (impactos en la salud): muertes prematuras 33 [10]","Emisiones en el estado del sistema en fuentes fesiles de Rossano Calabro di enel (impactos ambientales asociados): daños agrícolas (migl. De €) 41, costos de contaminación externa (MLN de €) 4, costos externos CO₂ (MLN) 9 (Fuente: Informe SOMO, datos de emisión del registro E-PRTR, procesamiento a través de la metodología EAE) emisiones potenciales futuras en la atmósfera del sistema con fuentes fósiles de Rossano Calabro de ENEL (impactos ambientales asociados): daño agrícola (mig. De € ) 344, Costos de contaminación externa (MLN de €) 77, Costos externos CO₂ (MLN de €) 159 [10]","Emisiones en el estado del sistema en Fesile Fuentes de Rossano Calabro Di Enel: NOX 197T, CO₂ 268.000T (Fuente: Informe SOMO, datos de emisiones del registro E-PRTR, procesamiento a través de la metodología EAE) emisiones potenciales futuras en la atmósfera de la atmósfera de la atmósfera de la atmósfera de la atmósfera de la atmósfera Sistema Una fuentes fósiles de Rossano Calabro de Enel: Fiscal 300 T, Nox 1,800 T, Sox 1,800 T, CO₂ 4,719,000 T [10]",conversione-a-carbone-della-centrale-termoelettrica-enel-di-rossano-calabro
,"Neighbours have complained about the cement factory for other reasons in the past, and they now complain against waste incineration.",Alleged threat of air pollution,waste-incineration-fuelled-cement-plant-in-montcada-i-reixac-spain
,,,agip-facilty-pollutes-kwale-community-ponds-nigeria
,,,qaysamani-dam-in-hammana
,,,mineria-de-oro-frisco-de-c-slim-en-tetela-de-ocampo-mexico
,,,didipio-gold-and-copper-mine-nueva-vizcaya-philippines
,,,sasol-and-others-heavily-pollute-the-vaal-river-and-the-air-across-mpumalanga-south-africa
,,,chemical-industry-in-flix-tarragona-spain
,,,pdvsa-y-escasez-de-agua-en-san-diego-de-cabrutica
,,,land-grabbing-and-tiaa-pension-fund-speculation-in-maranhao-and-piaui-brazil
,,,construccion-de-torres-electricas-en-parques-naturales-barbas-bremen-y-la-marcada-colombia
"According to testimonies on the ground collected by the Himdhara Collective, ""Respiratory and throat problems, skin disorders and allergies have become common ever since the cement plant came to Bagheri"". Him Parivesh, a soceity of senior and concerned citizens working on environment issues in the Baddi-Barotiwala-Nalagarh Industrial area, who were the litigants in the Jaypee case, did raise the issue of pollution from the cement plant, praying for cancellation of the unit's consent to operate. ""We carried out an independent monitoring of the ambient air quality in November 2010 and the results showed that the pollution was way beyond the norms.",,,jaypee-cement-plant-in-hp-india
"In 2005, United Nations human rights experts reported that about 25 percent of Iraqi children regularly did not have enough to eat, while 7.7 percent faced acute malnourishment. ",,,order-81s-effect-on-agriculture
,,,azura-edo-independent-power-project-impacts-community-people-in-edo-state
,Pérdida de medios de vida de los ejidatarios.,"La sobreexplotación de la cuenca hidrológica de El Vizcaíno para satisfacer las necesidades del consorcio minero Grupo México que requerirá 800 litros de agua por segundo. Las concesiones mineras a Grupo México significan una seria amenaza para el Valle de los Cirios y para la vida de miles de especies de flora que ahí habitan y que son únicas en el mundo. Grupo México ya empieza a devastar el área. Mineros consultados por el semanario ZETA (4), así como empleados de la Secretaría del Medio Ambiente y Recursos Naturales (SEMARNAT) que pidieron el anonimato, dijeron que el consorcio lleva a cabo el proyecto en la parte sur del Valle, en la región de “El Arco” y “Camallí”, donde construyen la mina a cielo abierto más grande del mundo, con un diámetro que superaría los ocho kilómetros. “Ese sistema de minería arrasa con todo, es el más agresivo, a su paso destruye, bosques enteros, desiertos, valles, cerros, y enferma y mata a la gente y animales, deja el territorio como zona de holocausto, sin posibilidad de regeneración.”",mina-de-grupo-mexico-en-el-valle-de-los-cirios-baja-california-mexico
"Kidney and testicular cancer, impaired liver function, fertility, and fetal development, chronic intestinal inflammation, weakened immune system, disruption of critical hormones, high cholesterol, and pregnancy complications related to high blood pressure. ",,,stewart-air-national-guard-base-pfa-contamination-of-city-of-newburghs-primary-water-source-washington-lake
,,,bhopal-gas-tragedy-india
Skin rash,,Health problems related to ash coming out of the thermal power plant,sompeta-power-plant
Disturbance of daily activities such as sleep of local residents,,,illegal-sand-mining-in-the-chakki-riverbed-himachal-pradesh
,,,keystone-xl-in-nebraska
,,,jalaur-river-mega-dam-project-philippines
Consumption of fish caught in waters contaminated with chemically treated brine,,Coastal Erosion ,nemmeli-desalination-plant
,racism to indigenous people,,tau-taa-wana-indigenous-vs-pt-ksl-oil-palm-company-sulawesi-indonesia
,,,atotonilco-de-tula-vs-incineracion-de-residuos-solidos-urbanos-en-la-planta-de-cemex-atotonilco
high incidences of cancer in the area,"Reduced local social stability.
Reduction of manufactured products in petrochemical industry.
Negative impacts on the industry in the middle and lower reaches of the petrochemical industry chain.",Poisoning impacts on fisheries,lin-yuan-eventtaiwan
,,,yaigoje-apaporis
,,,cobre-en-el-valle-de-putaendo-proyecto-vizcachitas
,Comunidades Afrodescendientes,,dojura-choco-colombia
,,,shingle-mountain
,,,reforestation-by-fondation-seguin-in-haiti
,,,struggle-for-community-rights-in-the-protected-areas-of-biligiri-ranganatha-temple-brt-india
Poisoning,"Loss of income, difficulties in access to water",,marmara-lake-endangered-ecosystem-turkey
, Archaeological Remains,,chumbivilcas-against-hudbay-peru
,Desecration of tombs,,graphite-mining-in-ambohitsy-haut-madagascar
,,,presa-las-cruces-nayarit-afectacion-de-pueblos-coras-o-nayeri
,,,frances-double-jeux-of-destabilization-and-militarization-in-malis-oil-rich-taoudeni-bassin
Intoxicación por uso de agroquímicos. ,,Escasez hídrica ocasionada por el uso sin restricciones de cañones antigranizo.,campesinos-de-periban-contra-huertas-aguacateras-y-canones-antigranizo
,,,refinaria-presidente-bernardes-vale-da-morte-cubatao-sao-paulo-brazil
,,,planned-shell-ultra-city-in-johannesburg-south-africa
,,,giza-north-power-plant-egypt
,,,hydrocarbon-extraction-by-oil-and-natural-gas-corporation-ongc-kathiramnagalam-tamil-nadu
,Damage to the economy of small farms,,the-farm-of-a-thousand-cows
,,,proyecto-turistico-nuevo-vallarta-mexico
There were deaths in accidents in the plant,,Nuclear waste,rancho-seco-nuclear-generating-station
,,,takovo-mora
,,The complex uncertain and potential risks of nuclear power plants.,hanhikivi-nuclear-power-plant-pyhajoki-finland
,,"Afectación al Salar del Huasco, sitio Ramsar",dona-ines-de-collahuasi-chile
,"Close to 25 gharats are functional with the water of Hul nallah which would be forced to shut down, thus effecting the main source of livelihoods of 25 families that depend upon them.","According to survey conducted by Sal Ghati Bachao Sangarsh Morcha, Chamba, there are 1782 trees of different species and 2045 bushes of local variety are falling in the path of proposed five km open water channel for Hul-1.",hul-12-small-hydropower-project-hp-india
,"- En 2013 hubo investigaciones con 32 acusados ​​por varios delitos (corrupción, estafa, uso de materiales deficientes, tráfico de residuos, asociación penal) [9] - En 2011, 150 ciudadanos presentaban una causa civil por la suspensión de las obras por ""daño temido por un nuevo trabajo""","Riesgos resaltados por el estudio de la facultad de arquitectura local [8]: • Vibraciones, tanto en la fase de construcción como en el ejercicio • El efecto de la presa causado por el hecho de que el túnel y la estación subterránea • El posible hundimiento del suelo (habitado ) una causa de la fuerte inesperación del suelo",il-nodo-ferroviario-alta-velocita-di-firenze
"Varios testimonios, entre ellos el sindicato de Hidrocentro, afirmaba que eran testigos, en los habitantes de la región central, de numerosas alergias, trastornos de intolerancia a alimentos, enfermedades gastrointestinales, inmunodeficiencias, e infecciones recurrentes, registrándose un incremento en la demanda de citas médicas en  Carabobo, Aragua y zonas aledañas. Se ha advertido también que estas y otras patologías podrían desarrollarse o extenderse en el largo plazo.",,"Habitantes de comunidades del estado Carabobo denuncian que el agua que llega a sus casas tiene coloraciones y malos olores. Según José Manuel Hurtado, del Frente Ecológico Aragua-Carabobo, existen estudios sobre la calidad del agua en el embalse Pao Cachinche, los cuales indican que el trasvase de aguas del lago de Valencia, sin ningún tratamiento previo, es una nueva fuente de contaminación de este reservorio de agua. Un balance oficial de Hidrocentro indica que el agua que se consume en Carabobo no cumple con las normas sanitarias establecidas.El coordinador por Aragua del Frente Ecológico Aragua-Carabobo, Edwards Castillo, ha planteado que, con estos proyectos, a largo plazo el lago podría secarse.Se registra la desaparición de peces en el embalse de Camatagua.",el-trasvase-de-las-aguas-del-lago-de-valencia
,,,gazprom-neft-halabja-block
,,"The large scale plantations analysed would lead to widespread loss of biodiversity and carbon sink through debushing activities and monocropping. Although the investors promise to make provisions for intercropping and maintain natural vegetation and wildlife corridors in their plans, these efforts only reduce the negative ecological impacts of a plantation. Furthermore, space for some herders during the rainy season would be reduced leading to more pressure on land from grazing elsewhere. Also, irrigation changes the natural water cycle, and fertilizers and pesticides may pollute water and soils.",namibia-agriculture-and-renewables-caparo-farming-project-in-caprivini-namibia
,,decreasing groundwater levels,m-excessive-mining-makes-farmers-lose-their-livelihoods-henan-china
,,Potential threat to fisheries in the Bay of Arguin,mauritanias-offshore-oil-production
,,,general-iron
,Discriminatory post-disaster recovery processes,Increasing natural disasters,post-disaster-typhoon-yolanda-recovery-process-fossil-fuels-climate-change-conflict
,,,sanitary-sewage-on-varna-beach-bulgaria
"Mercury, Arsenic and heavy metal contamination in drinking water and vegetable, silicosis, respiratory problem",The company allegedly tortured local farmers to give away their lands at meagre price. Those who raised voices were trapped in false criminal cases and an atmosphere of fear was created. See attached news paper clippings in next tab.,,welspun-energy-thermal-power-plant-at-mirzapur-uttar-pradesh
,,,arctic-diesel-leak-in-norilsk-russia
Illnesses caused by pollutants emitted by aircraft,,,northwest-florida-beaches-airport
,,,contaminacion-por-relleno-sanitario-en-comunidad-de-puerto-rico-ecuador
Vomiting and diarrhoea,,,almost-a-hundred-roma-set-up-camp-alongside-the-m50-motorway-and-ended-up-being-deported-in-dublin-ireland
Asthma ,,"Destruction and killing all plants, animals and insects in East River Park",east-river-park
,,,rio-usuchuma-amenazado-por-contaminacion-de-proyecto-minero-pucamarca-peru
,,,lafarge-cement
,,Extinction of some species of birds and other animals,tolda-fria
,,,forbifart-stockholm-sweden
,,,subernarekha-multipurpose-project-icha-dam-jharkhand-india
,,,naameh-landfill-lebanon
,,,electrical-highway-in-northeast-catalonia-spain
,,,puente-vehicular-periferico-oriente
Cadmium pollution,"Corruption alleged: the company influenced newspaper contents; also a top scientific expert in the court case of 1971, stated that the disease was caused by vitamin defficiency when before he himself had published articles in favour of the cadmium-pollution hypothesis (Kaji, 2012, p. 106).","Heavy metals in crops, people and wild life",itai-itai
,,,displacement-of-waste-pickers-through-la-chureca-dumpsite-enclosure-managua-nicaragua
"The largest dam failure ever, over two hundred thousand deaths.",,Dam failure,baquio-dam-failure-henan-china
Dioxin. Pollution from vinyl chloride production. High cancer rates.  ,"A well-known case of ""environmental racism"". ",,mossville-louisiana-environmental-racism-united-states
"Exposure to high levels of hydrogen sulphide and carbon disulfides (air), and zinc (water bodies)",,,shandong-silver-hawk-chemical-fiber-co-ltd-viscose-plant-china
,,,el-naranjal-veracruz-mexico
,,,coal-fired-thermal-power-plant-in-porto-romano-albania
,,,bujagali-hydropower-project-uganda
"Still there are not enough data that prove the possibility of exposure to unknown or uncertain complex risks, mental problems. But it is proved that hazardous chemicals lead to poisoning of organism, causing death. Time is needed to uncover any other possible effects of sarin on people's genetics and health. ","In case of soil pollution in the whole north-eastern part of Latvia (Vidzeme region) a lot of farmers would be forced to give up the agriculture, lack of work security and safe resources in pessimistic scenario could lead to bankrupt of several crops' enterprises and factories (such as beer factories) who use the water of that region. As the result, this may lead to unemployment, people will be forced to change their lifestyles = loss of traditional knowledge/practices/cultures","Literally, it is spill of oil products. ""Sconto Buve"" ltd researchers made a conclusion in 2015 that in the lagoons are found several new toxic and extremely dangerous substances. It is claimed that during so long time there is formed an accumulation of toxic gas - sarin, that is dangerous due to its volatility, so air is in danger. Due to pollution of ground waters all the flora & fauna are in danger. Use of hazardous water could lead to distinction of several species of fauna. Hypothetically, as the lagoons cover aprx. 3 hectares of the Incukalns land, it is degradation and loss of landscape which looks awful and can't be improved. This land is not proper for any use now. Moreover, after all the successful work done, still the area has to be closed for the any access which literally means loss of 3 hectares.",acid-tar-ponds-in-incukalns-latvia
Rebrotes de enfermedades como la Malaria,,,reserva-forestal-imataca-region-guayana-de-venezuela
,,,floricultura-en-la-sabana-de-bogota-colombia
,,,proyecto-gramalote-antioquia-colombia
,,,gmos-ban-croatia
,,,indian-nations-and-wolf-hunting
,,"En especifico, preocupaciones por los impactos sobre la población de los huemules, especie en peligro de extinción",proyecto-central-hidroelectrica-aguas-calientes-chile
,,,friends-of-nature-sued-state-grid-for-refusing-to-purchase-clean-energy-in-gansu-china
,,,proposed-nuclear-waste-dump-located-on-indigenous-territory-in-saskatchewan
,,,quebrada-la-lata-magdalena-colombia
,,,dragons-blood-tree-biopiracy-shaman-pharmaceuticals-in-the-amazon-ecuador
,Loss of property values,Foul odors,covanta-fairfax-trash-incinerator-in-lorton-virginia
,"Loss of income, difficulties in access to water",,tortum-bagbasi-hydroelectric-power-plant-turkey
,,,zwentendorf-nuclear-reactor-austria
,,,ternium-vs-comuneros-aquila-michoacan-mexico
,,,power-plant-oil-spill-in-baniyas-syria
excessive blood lead levels (BLLs),"costs for health check and curing the excessive BLLs,  impacts on the local taxation. ",landslides,lead-poisoning-by-a-lead-mining-and-smelting-company-in-yunnan-china
Half a million farmworkers lost their livelihoods and hundreds of thousands of children faced hunger and death. [1],,,escalante-massacre-of-agrarian-activists-negros-occidental-philippines
,,,firestone-bridgestone-rubber-plantations-liberia
,,,totalenergies-offshore-oil-and-gas-extraction-south-africa
exposure to contaminated water streams,Child labour,,blood-sugar-land-grab-by-phnom-penh-sugar-company-kampong-speu-cambodia
,,,first-oil-spill-at-akipelai-community-nigeria
,"Regarding military use of nuclear power, it is emphasized from many sources that ""The Barakah nuclear power plant will play an important role for the UAE's economic development and will be a role model for the other Arab countries, proving that nuclear power can be used for peaceful purposes"" -  said a South Korean diplomat in the UAE, requesting anonymity.[2]. ""We don't think the nuclear power plant will cause any problems in the region,"" he added. Officials in the UAE say their programme will not add fuel to fire in the region. [2].","Marine environment pollution and degradation, Nuclear contamination/ radioactive waste",nuclear-power-plans-uae
,,,jindal-steel-plant-at-salboni-west-bengal-india
Illnesses caused by pollutants emitted by aircraft,,,afungi-lng-construction-site
,,,capulalpam-de-mendez-contra-natividad-oaxaca
neurological disorders and sterility due to pesticide exposure. ,,"The monoculture practices of growing tomatoes in Florida: With mass production and profit being the main goal, there is a lack of crop rotation, leading to increasingly poor soil quality and low nutrients. The soil is then supplemented with artificial nutrients through fertilizers and pesticides. This has led to fungal problems as well as a salmonella outbreak with over $100 million in losses. Inconsistent weather and a homogenous crop also leaves them susceptible to losses to due freezing temperatures, losing millions of dollars of tomatoes.",tomato-farmers-of-immokalee-florida
,,,doloo-tea-workers-against-greenfield-airport-assam
,,,palo-viejo
"Obesity, Diabetes, COVID-19",,,roma-community-stop-the-demolition-of-their-houses-in-perpignan-france
,,,proposed-high-grand-falls-multipurpose-dam-kenya
,,,mersinli-wind-farm-turkey
,,,kushiro-coal-fired-power-plant
,,Marine Ecology and Fisheries,hambantota-deep-seaport-and-the-projected-industrial-zone-sri-lanka
,,,kayerekera-uranium-extraction-malawi
"Respiratory diseases and cancer.
High levels of total airborne particles and dust of polychlorinated biphenyls (PCBs), while the waste from the production process disposed on the factory’s landfill contains high concentrations of carcinogenic substances of polycyclic aromatic hydrocarbons (PAHs) (according to CETI).","Firings, poor working conditions",,pollution-from-niksic-steel-factory-montenegro
,,,a-proposed-copper-mine-on-a-land-that-is-sacred-to-the-apache-indigenous-of-arizona-usa
,,,nouveau-nonde-graphite-project-quebec-canada
,,"Potential geological, seismic risk",itoiz-dam-spain
Cancer,Loss of businesses,,tiradero-tetlama
,,,ganeshpur-coal-mine-jharkhand-india
,,[7]Rukor-admin,8-april-2010-in-nyarong-kham-exploitation-of-mineral-resources
Estrés postraumático y secuelas físicas y psicológicas en los sobrevivientes del ataque armado al campamento en el CRTRSU.[39],"-Percepción de una disminución de plusvalía en las propiedades cercanas al proyecto.[22]_x000D_
-Incertidumbre en el servicio de recolección de basura en Atitalaquia y otros ocho municipios.[42]",Olores fétidos [30],chuy-y-atitalaquia-una-emergencia-socio-ambiental
exposure to pollution from coal burning [6].,,,lutlut-than-phyo-thu-power-station-myeik-myanmar
,,land slides,maheshwar-dam-narmada-valley-india
Health impacts due water pollution,"La diferencia de posición entre las dos comunidades generó un clima tenso  con sospechas mutuas, se acusaron de poseer armas, de querer agredirse, etc, felizmente llegaron a un acuerdo en el 2015",,rio-chirinos-awajuns-y-minera-aguila-dorada
,,,chevron-and-shell-ravage-escravos-nigeria
,,,shrimp-farms-v-fishermen-in-santa-rita-brazil
,,,kajbar-dam-hydropower-scheme-sudan
,Concerns over increased debt,,kyaukphyu-port
"Threat of dioxin, PCB, heavy metals.",,,teshima-island-waste-dispute
"Water pollution through fertilizers, pesticides and animal faeces caused livestock dying, skin irritations and dysentery.",,,mspp-oil-palm-plantation-tanintharyi-region-myanmar
"El agua es potable y el control de su calidad lo realiza la comunidad, no se garantiza dicha potabilidad en caso de que a la comunidad se le quite su derecho a la gestión",Se privatiza un bien gestionado por la comunidad,"Salinización del acuífero de Playa Potrero por sobre explotación, Disminución en la cantidad de agua para los habitantes de Playa Potrero",playa-potrero-costa-rica
Respiratory issues,,Diesel truck emissions ,camden-new-jersey-usa
"Cancer, Leucemia",,,uranium-mining-mailuu-suu-kyrgyzstan
,,"May irreparably harm ocean ecosystems, produce toxic tides, and worsen ocean acidification and global warming. May contribute to earthquakes.",haida-gwaii-geo-engineering-planktos-bc-canada
"Potential respiratory and carcinogenic diseases, as well as developmental disorders",,,nagan-raya-coal-fired-power-plant-aceh-province-indonesia
Deaths of people for eating polluted shellfish,,,reclamation-project-makassar-indonesia
,,,shell-spills-bodo-community-nigeria
"birth defects, pulmonary disease, cancer",loss of property value,increase risk of flood due to runoff,keystone-coal-by-mountain-top-removal-threat-to-kanawha-state-forest
,,,illegal-logging-in-sagaing-region
,,,elderly-antinuclear-activist-nun-breaks-into-a-government-complex-to-expose-nuclear-crimes-in-tennessee-usa
,,,coal-mining-project-mina-guaiba-in-rio-grande-del-sul-brazil
"Neurological, cutaneous, respiratory, digestive, ENT (Ear, Nose and Throat) and opthalmological impacts, as well as in some cases, gynecological and cardiovascular problems. At high concentrations of waste, the effects can be very serious and include convulsions, coma and eventually, death. ",,,toxic-waste-dumping-in-abidjan-ivory-coast
,,,wilmar-in-jambi-province-indonesia
"Cáncer de pulmón, pleura, seno, vejiga, insuficiencia renal, enfermedades cardiovasculares",,,porto-di-civitavecchia
,,,gambela-agri-export-land-dispossessions-ethiopia
,,,nuclear-accident-severodvinsk-russia
,,,compostela-in-mindanao-philippines
,,,transnet-dig-out-port-proposal-in-durban-south-africa
,"Potential: Tourism reduction, decline in land value, inability to build houses",,noordoostpolder-wind-farm-netherlands
,,,arco-sur-milpa-alta
Illnesses caused by pollutants emitted by aircraft,Inter-communal / clan tensions,,airport-in-ebonyi-state-nigeria
https://www.scientificamerican.com/article/oil-sands-raise-levels-of-carcinogens-in-regional-waters/,Massive impacts to food sources,Poisoning of animals. Caribou populations have been severely impacted by tar sands extraction. The Beaver Lake Cree First Nation has experienced a 74% decline of the Cold Lake herd since 1998 and a 71% decline of the Athabasca River herd since 1996. ,beaver-lake-cree-nation-vs-canada-and-alberta
Accidents and deaths related to reindeer herds,,,the-arctic-railway-project-through-sami-territory-from-finland-to-norway
,,,nuclear-weapons-test-site-novaya-zemlya-arctic-russia
,,Positive environmental impacrs because of use of renewable energy,winning-the-energy-debate-in-victoria-vret
,,,tabacundo-canal-water-conflict-ecuador
,,,lower-subansiri-hydroelectric-power-project-india
"TCE-related health effects include liver disease, hypertension, speech impediment, hearing impairment, stroke, anemia and other blood disorders, diabetes, kidney disease, urinary tract disorders and skin rashes.
The entire Holt family has suffered the consequences of drinking contaminated water. These include: different types of cancer (prostate, bone, breast), diabetes, hypertension, kidney failures, immune and gastrointestinal disorders",Diminished transformative wealth and decrease in land and property values of the Holt family homestead.,,dickson-tennessee-the-poster-child-for-environmental-racism-and-toxic-dumping
excessive blood lead,affects the recruitment of teachers and students in the nearby schools and kindergartens.,,children-get-lead-poisoning-from-wugang-manganese-smelting-factory-in-china
,,,face-pine-plantation-profafor-ecuador
,,Radioactive contamination,construction-delay-of-the-flamanville-nuclear-epr-france
,,,exploracion-petrolera-en-corredor-puertovega-teteye-colombia
,,,proyecto-hidroelectrico-los-encinos-honduras
,Pérdida de soberanía del Estado de Guatemala por tener un Ejército (Batallón Verde) que responde a los intereses y demandas de la Transnacional Perenco. ,,laguna-del-tigre-peten-guatemala
,,,nuclear-power-station-in-ferrel-peniche-portugal
,,,valle-de-siria-honduras
,,,bastar-conflict-chhattisgarh-india
,Risk of nuclear accident as the reactors get old.  Transfrontier conflict on the risk to the Tagus river between Spain and Portugal.,,nuclear-power-station-in-almaraz-spain
"Reports indicated birth deformities and cancerous growths in some coastal communities, and deaths by unknown causes.",,Reports of fish dying due to contamination.,somalia-toxic-waste-dumping-somalia
"Health impacts from PFAS exposure include: decreased fertility, high blood pressure among pregnant women, birth defects, developmental effects, heightened risk of prostate, kidney, and testicular cancer, negative impacts on the immune system, hormone changes, and heightened cholesterol levels [14].",,,pfas-pollution-by-chemours-dupont-the-netherlands
,,,disposal-of-low-level-nuclear-waste-at-texas-site
,,,acacia-mining-north-mara-gold-mine-former-barrick-gold-tanzania
,,,mithivirdi-nuclear-power-station-bhavnagar-india
