UID,name,government_actors
oil-exploitation-in-campo-del-libertador-ecuador,EP Petroecuador,
oil-exploitation-in-campo-del-libertador-ecuador,Petroamazonas EP,
oil-exploitation-in-campo-del-libertador-ecuador,Ministry of Defense ,
oil-exploitation-in-campo-del-libertador-ecuador,Ministry of Strategic Sectors,
san-jorge-amenaza-uspallata-mendoza-argentina,Consejo Provincial del Ambiente,
law-for-the-protection-of-iberian-wolves-spain,Ministry of Environment,
law-for-the-protection-of-iberian-wolves-spain,European Parliament,
law-for-the-protection-of-iberian-wolves-spain,Asturias Regional government,
law-for-the-protection-of-iberian-wolves-spain,Castilla y León Regional Governement,
law-for-the-protection-of-iberian-wolves-spain,Galician Regional government,
law-for-the-protection-of-iberian-wolves-spain,Cantabrian Regional Governement,
ikot-ado-udo-case-nigeria,NOSDRA ,
ikot-ado-udo-case-nigeria,Federal Ministry of Environment,
oil-pipeline-and-refinery-in-balboa-extremadura-spain,Ministry of Environment,
oil-pipeline-and-refinery-in-balboa-extremadura-spain,Regional government ,
puerto-petaca-bahia-de-taganga-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
puerto-petaca-bahia-de-taganga-colombia,Parques Nacionales Naturales de Colombia,
puerto-petaca-bahia-de-taganga-colombia,Superintendencia de Notariado y Registro,
puerto-petaca-bahia-de-taganga-colombia,Senado de la República de Colombia,
puerto-petaca-bahia-de-taganga-colombia,Gobernación del Magdalena,
puerto-petaca-bahia-de-taganga-colombia,Alcaldia del municipio de Santa Marta,
puerto-petaca-bahia-de-taganga-colombia,Juzgado Segundo Civil Municipal - Magdalena,
puerto-petaca-bahia-de-taganga-colombia,Consejo de Estado,
puerto-petaca-bahia-de-taganga-colombia,Universidad del Magdalena,
sirindhorn-dam-thailand,EGAT,
gas-pipeline-urucu-manaus-petrobras-brazil,The project,
gas-pipeline-urucu-manaus-petrobras-brazil,part of the Federal Government ongoing Brazil Advances program,
gas-pipeline-urucu-manaus-petrobras-brazil,was financed by the Brazilian Development Bank (BNDES).,
severstals-steel-plant-russia,Cherepovets local court,
nnpc-pipeline-pollutes-groundwater-in-abesan,Nigerian National Petroleum Corporation.,
hacienda-bellacruz-colombia,PRESIDENCIA DE LA REPUBLICA,
hacienda-bellacruz-colombia,INSTITUTO COLOMBIANO DE DESARROLLO RURAL ,
hacienda-bellacruz-colombia,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,
hacienda-bellacruz-colombia,MINISTERIO DE AGRICULTURA y DESARROLLO RURAL,
hacienda-bellacruz-colombia,FISCALIA GENERAL DE LA NACION,
hacienda-bellacruz-colombia,CORTE CONSTITUCIONAL,
hacienda-bellacruz-colombia,SUPERINTENDENCIA de NOTARIADO y REGISTRO,
hacienda-bellacruz-colombia,JUZGADOS,
hacienda-bellacruz-colombia,INSTITUTO GEOGRAFICO AGUSTIN CODAZZI ,
hacienda-bellacruz-colombia,CORPOCESAR ,
rio-tintos-lawsuit-papua-new-guinea,PNG National Government,
rio-tintos-lawsuit-papua-new-guinea,PNG National Army,
cerro-quema-panama,Gobierno Nacional de Panama,
dabar-hydro-power-plant-bosnia-and-herzegovina,[],
hoa-binh-hydropower-dam-vietnam,Ministry of Agriculture,
hoa-binh-hydropower-dam-vietnam,Ministry of Energy,
hoa-binh-hydropower-dam-vietnam,Ministry of Industry and Trade,
hoa-binh-hydropower-dam-vietnam,Ministry of Forestry,
hoa-binh-hydropower-dam-vietnam,Ministry of Agriculture and Rural Development,
hoa-binh-hydropower-dam-vietnam,Ministry of Natural Resources and Environment,
nairobi-national-park-and-southern-bypass-kenya,Kenya Forest Service;,
nairobi-national-park-and-southern-bypass-kenya,Kenya Wildlife Service;,
nairobi-national-park-and-southern-bypass-kenya,Government of Kenya through Kenya Urban Roads Authority ,
nairobi-national-park-and-southern-bypass-kenya,Ministry of Roads;,
nairobi-national-park-and-southern-bypass-kenya,Kenya National Highways Authority;,
nairobi-national-park-and-southern-bypass-kenya,Kenya Urban Roads Authority;,
nairobi-national-park-and-southern-bypass-kenya,NEMA;,
nairobi-national-park-and-southern-bypass-kenya,Ministry of Forestry and Wildlife;,
nairobi-national-park-and-southern-bypass-kenya,Kenya Airport Authority;,
nairobi-national-park-and-southern-bypass-kenya,Kenya Civil Aviation Authority,
aliaga-thermal-power-plants-turkey,Ministry of Environment and Urbanization,
aliaga-thermal-power-plants-turkey,local authorities,
aliaga-thermal-power-plants-turkey,(Dikili,
aliaga-thermal-power-plants-turkey,Menemen and Foca Town Councils,
aliaga-thermal-power-plants-turkey,Union of Aeagean Coastal Municipalities,
aliaga-thermal-power-plants-turkey,Karliyaka Municipality,
chutka-nuclear-power-plant-india,Government of India,
chutka-nuclear-power-plant-india,Madhya Pradesh Pollution Control Board,
chutka-nuclear-power-plant-india,Union Ministry of Environment and Forest,
malonda-tree-farms-in-niassa-mozambique,Government of Mozambique concedes DUAT,
malonda-tree-farms-in-niassa-mozambique,a declaration conceding the right to use and profit from the land,
malonda-tree-farms-in-niassa-mozambique,The Malonda Foundation is a state agency,
malonda-tree-farms-in-niassa-mozambique,founded in 2005,
malonda-tree-farms-in-niassa-mozambique,to facilitate investments in the region and funded by SIDA ,
electrical-highway-sama-velilla-spain,Ministry of Industry,
electrical-highway-sama-velilla-spain,Asturias Regional government,
electrical-highway-sama-velilla-spain,Castilla y León Regional government,
electrical-highway-sama-velilla-spain,All the affected Town councils,
guru-nanak-dev-thermal-plant-bathinda-punjab-india,Punjab Pollution Control Board,
rampur-hydroelectric-project-india,Government of Himachal Pradesh,
rampur-hydroelectric-project-india,Himachal Pradesh Department of Forests,
rampur-hydroelectric-project-india,Swedish Energy Agency,
goa-ban-on-iron-mining,Supreme Court of India,
goa-ban-on-iron-mining,Justice Shah Commission,
goa-ban-on-iron-mining,Government of Goa,
uranio-samana-caldas-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
uranio-samana-caldas-colombia,Contraloría General de la República,
uranio-samana-caldas-colombia,Presidencia de La República,
uranio-samana-caldas-colombia,Gobernacion de Caldas,
uranio-samana-caldas-colombia,Senado de La República,
uranio-samana-caldas-colombia,Alcaldia de Samana,
uranio-samana-caldas-colombia,Corporacin Autnoma Regional caldas ,
parque-tematico-de-flora-y-fauna-bioparque-pereira-colombia,Gobernación de Risaralda,
parque-tematico-de-flora-y-fauna-bioparque-pereira-colombia,Alcaldía de Pereira,
parque-tematico-de-flora-y-fauna-bioparque-pereira-colombia,Corporación Autónoma Regional de Risaralda ,
parque-tematico-de-flora-y-fauna-bioparque-pereira-colombia,Cámara de Comercio de Pereira,
pande-and-temene-gas-field-mozambique,Ministry of Natural Resources,
pande-and-temene-gas-field-mozambique,Ministry of Trade and Industry,
pande-and-temene-gas-field-mozambique,Empresa Nacional de Hidrocarbonetos,
deforestion-and-land-confict-in-gleba-nova-olinda-para-brazil,Land Institute of Para - ITERPA,
deforestion-and-land-confict-in-gleba-nova-olinda-para-brazil,Brazilian Institute of Environment and Renewable Natural,
deforestion-and-land-confict-in-gleba-nova-olinda-para-brazil,Resources - IBAMA.,
deforestion-and-land-confict-in-gleba-nova-olinda-para-brazil,State Department of Technology and Environment - SECTAM,
deforestion-and-land-confict-in-gleba-nova-olinda-para-brazil,Federal Public Ministry - MPF,
deforestion-and-land-confict-in-gleba-nova-olinda-para-brazil,Forestry Development of the State of Para - IDEFLOR,
deforestion-and-land-confict-in-gleba-nova-olinda-para-brazil,National Indian Foundation - FUNAI,
sappi-saiccor-pulp-mill-pollution-south-africa,Industrial Development Corporation,
sappi-saiccor-pulp-mill-pollution-south-africa,Department of Environment,
sappi-saiccor-pulp-mill-pollution-south-africa,Department of Water,
sappi-saiccor-pulp-mill-pollution-south-africa,Department of Trade and Industry,
rio-blanco-mine-majaz-peru,Municipality of Huacabamba - Peru,
rio-blanco-mine-majaz-peru,Municipality of Sndor - Peru,
rio-blanco-mine-majaz-peru,MEM - Peru,
rio-blanco-mine-majaz-peru,Ombudsman - Peru,
rio-blanco-mine-majaz-peru,PNP - Peru,
oil-exploration-in-manipur-india,Government of India,
oil-exploration-in-manipur-india,Government of Manipur,
oil-exploration-in-manipur-india,Ministry of Petroleum and Natural Gas,
oil-exploration-in-manipur-india,Manipur Pollution Control Board,
chixoy-dam-guatemala,MEM - Guatemala,
chixoy-dam-guatemala,INDE - Guatemala,
desviacion-rio-calenturitas-cesar-colombia,Presidencia de la Republica,
desviacion-rio-calenturitas-cesar-colombia,Ministerio de Minas y Energia,
desviacion-rio-calenturitas-cesar-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
desviacion-rio-calenturitas-cesar-colombia,Gobernacion del Cesar,
desviacion-rio-calenturitas-cesar-colombia,Contraloria General de La Republica,
desviacion-rio-calenturitas-cesar-colombia,Procuraduria General de La Nacion,
desviacion-rio-calenturitas-cesar-colombia,Instituto Colombiano de Mineria y Geologia,
desviacion-rio-calenturitas-cesar-colombia,Fiscalia General de La Nacion,
desviacion-rio-calenturitas-cesar-colombia,Policia Nacional de Colombia,
desviacion-rio-calenturitas-cesar-colombia,Corporacion Autonoma Regional del Cesar ,
uranium-mining-in-caetite-brazil,Brazilian Institute of Environment and Renewable Natural Resources ,
uranium-mining-in-caetite-brazil,Institute of Water Management and Climate of Bahia ,
uranium-mining-in-caetite-brazil,Nuclear Energy National Commission (CNEN).,
j-r-thermal-power-plant-orissa-india,Government of Orissa,
j-r-thermal-power-plant-orissa-india,Orissa Pollution Control Board,
hidroelectrica-miel-i-caldas-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
hidroelectrica-miel-i-caldas-colombia,Procuraduria General de la Nacion,
hidroelectrica-miel-i-caldas-colombia,Defensoria del Pueblo,
hidroelectrica-miel-i-caldas-colombia,Asamblea Departamental,
hidroelectrica-miel-i-caldas-colombia,Alcaldía de Norcasia,
hidroelectrica-miel-i-caldas-colombia,Gobernación de Caldas,
hidroelectrica-miel-i-caldas-colombia,Corporación Autónoma Regional de Caldas,
onca-puma-nickel-mining-project-in-ourilandia-do-norte-para-brazil,Departamento Nacional de Producao Mineral - DNPM,
onca-puma-nickel-mining-project-in-ourilandia-do-norte-para-brazil,Instituto Nacional de Colonizacao e Reforma Agraria - INCRA,
onca-puma-nickel-mining-project-in-ourilandia-do-norte-para-brazil,Ministerio Publico Federal - MPF,
onca-puma-nickel-mining-project-in-ourilandia-do-norte-para-brazil,Fundao Nacional do Indio - FUNAI,
onca-puma-nickel-mining-project-in-ourilandia-do-norte-para-brazil,Secretaria de Meio Ambiente do Para - SEMA,
moserbaer-thermal-power-plant-at-anuppur-madhya-pradesh-india,Government of Madhya Pradesh,
moserbaer-thermal-power-plant-at-anuppur-madhya-pradesh-india,Madhya Pradesh Pollution Control Board,
moserbaer-thermal-power-plant-at-anuppur-madhya-pradesh-india,Madhya Pradesh Forest Department,
quifels-hoyo-hoyo-agriculture-project-in-lioma-zambezia-region-mozambique,Minister of Agriculture,
quifels-hoyo-hoyo-agriculture-project-in-lioma-zambezia-region-mozambique,Gurue District Administrator,
cerro-san-pedro-mine-san-luis-potosi-mexico,Secretaria de Medioambiente y Recursos Naturales SEMARNAT,
cerro-san-pedro-mine-san-luis-potosi-mexico,Secretaria de la Defensa Nacional,
upm-ex-botnia-uruguay,Ministerios de Medio Ambiente,
upm-ex-botnia-uruguay,Economia y Finanzas.,
upm-ex-botnia-uruguay,Presidencia de la republica,
kwale-okpai-cdm-project-nigeria,Nigerian National Petroleum Corporation ,
kwale-okpai-cdm-project-nigeria,Federal Ministry of Environment Nigeria),
nice-oin-plaine-du-var-france,The State,
nice-oin-plaine-du-var-france,The city of Nice,
nice-oin-plaine-du-var-france,The Nice Côte d’Azur metropolis,
nice-oin-plaine-du-var-france,The Provence-Alpes-Côte d’Azur Region,
nice-oin-plaine-du-var-france,The General Council of the Alpes-Maritimes,
seyfe-lake-drought-turkey,Ministry of Forestry and Water Affairs,
seyfe-lake-drought-turkey,General Directorate of Nature Conservation and National Park Department of Wetlands,
seyfe-lake-drought-turkey,Kirsehir Provincial Forestry and Water Affairs Directorate,
seyfe-lake-drought-turkey,Kirsehir Provincial Food,
seyfe-lake-drought-turkey,Agriculture and Animal Husbandry Directorate,
seyfe-lake-drought-turkey,Kirsehir Provincial Culture and Tourism Directorate,
seyfe-lake-drought-turkey,Kirsehir Governorship,
seyfe-lake-drought-turkey,Kirsehir Municipality,
seyfe-lake-drought-turkey,Mucur Municipality,
seyfe-lake-drought-turkey,Malya Public Agricultural Operation Directorate.,
paramo-el-almorzadero-colombia,Ministerio de Minas y Energia,
paramo-el-almorzadero-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
paramo-el-almorzadero-colombia,Gobernacion de Santander,
paramo-el-almorzadero-colombia,Gobernacion de Norte de Santander,
paramo-el-almorzadero-colombia,Alcaldia del Municipio de Cerrito,
paramo-el-almorzadero-colombia,Corporacion Autonoma Regional Santander ,
paramo-el-almorzadero-colombia,Corporacion Autonoma Regional de Norte de Santander ,
illegal-unreported-and-unregulated-iuu-fishing-in-sherbro-river-sierra-leone,Sierra Leones Ministry of Fisheries and Marine Resources (MFMR);,
illegal-unreported-and-unregulated-iuu-fishing-in-sherbro-river-sierra-leone,European Commissions Directorate General for Maritime Affairs and Fisheries ,
lower-omo-valley-irrigated-agriculture-development-ethiopia,Government of Ethiopia,
lower-omo-valley-irrigated-agriculture-development-ethiopia,Ethiopian Ministry of Agriculture and Rural Development,
lower-omo-valley-irrigated-agriculture-development-ethiopia,Ethiopian Environmental Protection Agency,
chiawelo-soweto-electricity-struggles-south-africa,Department of Minerals and Energy,
chiawelo-soweto-electricity-struggles-south-africa,Department of State Enteprises,
fundicion-paipote-videla-lira-chile,Ministerio de Medio Ambiente,
fundicion-paipote-videla-lira-chile,Ministerio Secretaria General de la Presidencia.,
fundicion-paipote-videla-lira-chile,Intendencia de la Region de Atacama,
sapta-kosi-high-dam-multipurpose-project-nepal,Government of Nepal,
sapta-kosi-high-dam-multipurpose-project-nepal,WECS - Nepal,
sapta-kosi-high-dam-multipurpose-project-nepal,CWES - Nepal,
sapta-kosi-high-dam-multipurpose-project-nepal,Water Resources Department - Government of Bihar - India,
sapta-kosi-high-dam-multipurpose-project-nepal,Ministry of Water Resources Nepal,
bisasar-rd-landfill-site-south-africa,Department of Trade and Industry,
bisasar-rd-landfill-site-south-africa,Durban Solid Waste of Ethekwini Municipality,
bisasar-rd-landfill-site-south-africa,Ethekwini Municipality,
hybrid-rice-in-the-office-du-niger-mali,Malian Ministry of Agriculture,
hybrid-rice-in-the-office-du-niger-mali,Mali Ministry of Environment,
hybrid-rice-in-the-office-du-niger-mali,Government department of the Office du Niger,
hybrid-rice-in-the-office-du-niger-mali,Secretary of State of the Office du Niger,
hybrid-rice-in-the-office-du-niger-mali,Libyan Ministry of Agriculture and Livestock,
huanuni-bolivia,Gobierno Nacional de Bolivia,
oil-drilling-lofoten-norway,Norweigian ministry of Environment,
oil-drilling-lofoten-norway,Norweigian ministry of Petroleum and Energy,
shell-refuses-to-clean-up-spill-at-ikata-community-nigeria,Nigerian National Petroleum Corporation.,
paramo-de-guacheneque-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
paramo-de-guacheneque-colombia,Ministerio de Interior,
paramo-de-guacheneque-colombia,Parques Nacionales Naturales de Colombia,
paramo-de-guacheneque-colombia,Presidencia de La Republica,
paramo-de-guacheneque-colombia,Defensoria del Pueblo,
paramo-de-guacheneque-colombia,Gobernacion de Boyacá,
paramo-de-guacheneque-colombia,Corporación Autónoma Regional de Chivor - Corpochivor,
paramo-de-guacheneque-colombia,Corporación Autónoma Regional de Boyacá - Corpoboyacá,
paramo-de-guacheneque-colombia,Alcaldia de Nuevo Colón,
paramo-de-guacheneque-colombia,Villapinzón,
paramo-de-guacheneque-colombia,Turmequé,
paramo-de-guacheneque-colombia,Ventaquemada y Chocontá,
vratsa-landfill-fire-bulgaria,Ministry of Environment and Water,
vratsa-landfill-fire-bulgaria,RIEW,
chinchaycocha-junin-peru,Comision Ambiental Regional Andina Central ,
chinchaycocha-junin-peru,Plan y Sistema de Gestion Ambiental Chinchaycocha,
chinchaycocha-junin-peru,Municipalidad de Junin,
chinchaycocha-junin-peru,MINAM,
water-disparities-in-texas-colonias-usa,The Colonia Initiatives Program Office of the Texas Secretary of State,
water-disparities-in-texas-colonias-usa,Texas Commission on Environmental Quality,
water-disparities-in-texas-colonias-usa,Texas Health and Human Services Commission,
water-disparities-in-texas-colonias-usa,state†™s Regional Councils of Governments,
water-disparities-in-texas-colonias-usa,Environmental Protection Agency,
water-disparities-in-texas-colonias-usa,Border Environment Cooperation Commission,
water-disparities-in-texas-colonias-usa,United States Department of Agriculture-Rural Development,
water-disparities-in-texas-colonias-usa,Texas Cooperative Extension Service,
abant-lake-nature-park-turkey,Bolu Provincial Government,
abant-lake-nature-park-turkey,Special Provincial Administration,
abant-lake-nature-park-turkey,Ministry of Environment and Urbanisation.,
markala-sugar-project-sosumar-illovo-sugar-refinery-in-cercle-de-segou-mali,Malian government,
markala-sugar-project-sosumar-illovo-sugar-refinery-in-cercle-de-segou-mali,Office du Niger ,
achuar-and-shuar-against-oil-extraction-ecuador,Ministry of Energy and Mines ,
serrania-de-san-lucas-gold-mining-colombia,Ministerio de Minas y Energia,
serrania-de-san-lucas-gold-mining-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
serrania-de-san-lucas-gold-mining-colombia,Instituto Colombiano de Geologia y Mineria ,
serrania-de-san-lucas-gold-mining-colombia,Senado de la Republica,
serrania-de-san-lucas-gold-mining-colombia,Ejercito Nacional de Colombia,
serrania-de-san-lucas-gold-mining-colombia,Contraloria General de la Republica,
serrania-de-san-lucas-gold-mining-colombia,Procuraduria General de la Nacion,
serrania-de-san-lucas-gold-mining-colombia,Corporacion Autonoma Regional del Sur de Bolivar ,
shell-pollutes-owerewer-community-nigeria,NOSDRA ,
shell-pollutes-owerewer-community-nigeria,NESREA ,
corumba-indigenous-communities-and-mining-brazil,Instituto Brasileiro de Meio Ambiente e Recursos Naturais Renovaveis - IBAMA,
corumba-indigenous-communities-and-mining-brazil,Polícia Federal ,
corumba-indigenous-communities-and-mining-brazil,Ministerio Publico do Trabalho ,
corumba-indigenous-communities-and-mining-brazil,Departamento Nacional de Producao Mineral ,
water-privatisation-guayaquil-ecuador,INEM;,
water-privatisation-guayaquil-ecuador,MIDUVI;,
water-privatisation-guayaquil-ecuador,Municipality of Guayaquil;,
water-privatisation-guayaquil-ecuador,Defensoria del Pueblo de Ecuador;,
water-privatisation-guayaquil-ecuador,CCCC,
gbaraun-community-and-agip-nigeria,Nigerian National Petroleum Corporation. ,
sun-peaks-resort-2010-olympics-bc-canada,Royal Mounted Canadian Police,
sun-peaks-resort-2010-olympics-bc-canada,B.C. Supreme Court,
sun-peaks-resort-2010-olympics-bc-canada,B.C Government,
sun-peaks-resort-2010-olympics-bc-canada,B.C. Lands and Water,
inti-raymi-contamina-rio-desaguadero-oruro-bolivia,PCA Ingenieros Consultores S.A. ,
drying-out-of-burdur-lake-turkey,Agriculture and Animal Husbandry,
drying-out-of-burdur-lake-turkey,Burdur Governorship,
drying-out-of-burdur-lake-turkey,Burdur Municipality,
drying-out-of-burdur-lake-turkey,Burdur Provincial Forestry and Water Affairs Directorate,
drying-out-of-burdur-lake-turkey,Burdur General Directorate of Food,
drying-out-of-burdur-lake-turkey,Ministry of Forestry and Water Works: related with the construction of dams and dam lakes ,
deviation-of-the-sao-francisco-river-brazil,The Brazilian government,
deviation-of-the-sao-francisco-river-brazil,Ministry of Environment - Brazil,
deviation-of-the-sao-francisco-river-brazil,Ministry of National Integration - Brazil,
deviation-of-the-sao-francisco-river-brazil,Ministry of Mines and Energy - Brazil,
deviation-of-the-sao-francisco-river-brazil,ANA - Brazil,
deviation-of-the-sao-francisco-river-brazil,CODEVASF - Brazil,
deviation-of-the-sao-francisco-river-brazil,ILO - Switzerland,
deviation-of-the-sao-francisco-river-brazil,Legislative Assembly of the Bahia State - Brazil,
deviation-of-the-sao-francisco-river-brazil,Parliamentary Front in Defense of Indigenous Peoples - Brazil,
proyecto-la-vega-mocoa-colombia,Ministerio de Minas y Energia,
proyecto-la-vega-mocoa-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
proyecto-la-vega-mocoa-colombia,Presidencia de La Republica,
proyecto-la-vega-mocoa-colombia,Ministerio del Interior,
proyecto-la-vega-mocoa-colombia,Ejército Nacional de Colombia,
proyecto-la-vega-mocoa-colombia,Instituto Colombiano de Mineria y Geologia,
proyecto-la-vega-mocoa-colombia,Gobernación del Cauca y Putumayo,
diamer-bhasha-dam-pakistan,Ministry of Water & Power of Pakistan,
diamer-bhasha-dam-pakistan,Water and Power Development Authority [WAPDA],
remunicipalisation-energy-hamburg-germany,Hamburg Parliament,
remunicipalisation-energy-hamburg-germany,Senate of Hamburg,
coal-fired-power-plants-in-chicago-usa,Environmental Protection Agency ,
ward-valley-nuclear-dump-in-california-mojave-desert-usa,U.S Ecology,
ward-valley-nuclear-dump-in-california-mojave-desert-usa,California Department of Health Services,
ward-valley-nuclear-dump-in-california-mojave-desert-usa,Bureau of Land Management ,
ward-valley-nuclear-dump-in-california-mojave-desert-usa,Department of Interior,
la-colosa-colombia,Ministerio de Minas y Energia,
la-colosa-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
la-colosa-colombia,Instituto Colombiano de Geologia y Mineria ,
la-colosa-colombia,Senado de la Republica,
la-colosa-colombia,Contraloria General de la Republica,
la-colosa-colombia,Procuraduria General de la Nacion,
la-colosa-colombia,Corporacion Autonoma Regional del Tolima ,
la-colosa-colombia,Diputados britanicos,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Departamento Nacional de Producao Mineral - DNPM,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Instituto Nacional de Meio Ambiente e Recursos Naturais Renovaveis - IBAMA,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Ministerio Publico Federal - MPF,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Centro Mineiro de Conservacao da Natureza,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Agencia Brasileira de Inteligencia - ABIN,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Companhia de Pesquisa e Recursos Minerais - CPRM,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Ministerio de Minas e Energia - MME,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Policia Federal - PF,
conflict-between-indians-and-miners-in-the-cinta-larga-lands-in-rondonia-brazil,Comissao Parlamentar de Direitos Humanos da Camara dos Deputados - CPDH/CD,
chikweti-plantations-mozambique,Provincial Government of Niassa and Fundação Malonda,
chikweti-plantations-mozambique,a state agency to promote development of the private sector in Niassa province,
iamgold-in-quimsacocha-ecuador,Ministry of Environment,
iamgold-in-quimsacocha-ecuador,Ministry of Non-Renewable Natural Resources,
iamgold-in-quimsacocha-ecuador,Secretara Nacional del Agua-SENAGUA ,
iamgold-in-quimsacocha-ecuador,Secretara de Planificacin y Desarrollo-SENPLADES ,
punta-alcalde-power-plant-huasco-chile,Corte Suprema,
punta-alcalde-power-plant-huasco-chile,Comisión de Evaluación Ambiental Regional de Atacama,
almstriden-stockholm-sweden,Stockholm Stads Byggnadskontor,
almstriden-stockholm-sweden,Stockholm Stads Gatukontor,
daewoo-maize-and-biofuel-project-madagascar,President Marc Ravalomanana,
daewoo-maize-and-biofuel-project-madagascar,ousted by coup.,
daewoo-maize-and-biofuel-project-madagascar,Andry Rajoelina,
daewoo-maize-and-biofuel-project-madagascar,new president,
daewoo-maize-and-biofuel-project-madagascar,previous major of Antananarivo.,
joinkrama-oil-spill-jk-4-nigeria,Nigerian National Petroleum Corporation.,
al-tamimi-khaled-attempts-crop-farming-in-dosso-niger,Mr. Abdul Karim Mamalo,
al-tamimi-khaled-attempts-crop-farming-in-dosso-niger,Permanent Secretary of the Ministry of Rural Code of Niger Agricultural Development,
al-tamimi-khaled-attempts-crop-farming-in-dosso-niger,the Secretary of State of Niger,
istranca-yildiz-mountains-mines-and-quarries-turkey,Ministry of Development,
istranca-yildiz-mountains-mines-and-quarries-turkey,Ministry of Environment and Urbanisation,
istranca-yildiz-mountains-mines-and-quarries-turkey,Ministry of Forestry and Water Affairs,
istranca-yildiz-mountains-mines-and-quarries-turkey,Edirne Provincial Directorate of State Hydraulic Works,
istranca-yildiz-mountains-mines-and-quarries-turkey,Universities in Thrace.,
mining-in-macizo-colombiano-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
mining-in-macizo-colombiano-colombia,Instituto Colombiano de Mineria y Geologia ,
mining-in-macizo-colombiano-colombia,Gobernación del Departamento del Cauca,
mining-in-macizo-colombiano-colombia,Alcaldía de La Vega y La Sierra,
mining-in-macizo-colombiano-colombia,Ejercito Nacional,
mining-in-macizo-colombiano-colombia,Corporacion Autonoma Regional del Cauca ,
koel-karo-project-india,National Hydroelectric Power Corporation,
pirin-national-park-illegal-ski-resort-bulgaria,Ministery of Environment,
pirin-national-park-illegal-ski-resort-bulgaria,Pirin National Park,
pirin-national-park-illegal-ski-resort-bulgaria,Municipality of Bansko,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Catalan Government,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Municipalities (LArgentera,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Riudecols,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Botarell,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Duesaigües,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Vilanova dEscornalbou,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,etc.),
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Government of Catalonia,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Catalan Environmental Agency,
quarries-and-land-overexploitation-in-the-baix-camp-region-catalonia-spain,Regional Government.,
agip-pipeline-leaks-gas-in-ebocha-community-nigeria,Federal Ministry of Environment,
agip-pipeline-leaks-gas-in-ebocha-community-nigeria,Department of Petroleum Resources ,
agip-pipeline-leaks-gas-in-ebocha-community-nigeria,National Oil Spill Detection and Response Agency ,
agip-pipeline-leaks-gas-in-ebocha-community-nigeria,National Environmental standards and Regulations Enforcement Agency ,
lesotho-highlands-water-project-lesotho,Lesotho Government.,
dayuma-oil-extraction-ecuador,Ecuadorian government,
dayuma-oil-extraction-ecuador,The President of the province of Orellana,
dayuma-oil-extraction-ecuador,Justice and Human Rights Ministry,
asbestos-legacy-south-africa,Department of Mineral Resources,
asbestos-legacy-south-africa,Department of Environmental Affairs,
asbestos-legacy-south-africa,Department of Health,
rice-cultivation-and-processing-by-agrogeba-guinea-bissau,Guinea Bissau Government,
eucalyptus-plantation-in-soriano-department-uruguay,Ministry of Environment,
eucalyptus-plantation-in-soriano-department-uruguay,Local government,
eucalyptus-plantation-in-soriano-department-uruguay,OSE - Obras Sanitarias del Estado ,
mineria-ilegal-santander-de-quilichao-colombia,Ministerio de Ambiente y Desarrollo Sostenible,
mineria-ilegal-santander-de-quilichao-colombia,Ministerio de Interior,
mineria-ilegal-santander-de-quilichao-colombia,Instituto Colombiano de Mineria y Geologia ,
mineria-ilegal-santander-de-quilichao-colombia,Policia Nacional,
mineria-ilegal-santander-de-quilichao-colombia,Gobernación del Departamento del Cauca,
mineria-ilegal-santander-de-quilichao-colombia,Ejercito Nacional,
mineria-ilegal-santander-de-quilichao-colombia,Alcaldía de Santander de Quilichao y de Caldono,
