name,slug,conflict_event
Other,exploratory-fracking-in-balcombe-uk,
Other,mamanwa-communities-of-dinarawan-and-bunga-asserting-ancestral-land-rights,
Land demarcation,land-grabbing-in-forestland-for-human-settlements,
Corruption,los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,
Other,los-impactos-socioambientales-del-complejo-industrial-petrolero-jose-antonio-anzoategui,
Migration/displacement,allain-duhangan-hydropower-project-india,
Migration/displacement,forceful-takeover-of-forest-lands-cultivated-by-tribals-and-others-in-khammam-district-of-telangana-state-of-india,
Repression,m-copper-smelting-enterprise-zijin-mining-group-co-ltd-qiqihar-heilongjiang-china,
Corruption,dtz-ozgeo-gold-penhalonga-zimbabwe,
Criminalization of activists,dtz-ozgeo-gold-penhalonga-zimbabwe,
Migration/displacement,dtz-ozgeo-gold-penhalonga-zimbabwe,
Repression,dtz-ozgeo-gold-penhalonga-zimbabwe,
Other,dtz-ozgeo-gold-penhalonga-zimbabwe,
Criminalization of activists,ruchi-agri-soybean-operation-in-gambela-ethiopia,
Migration/displacement,ruchi-agri-soybean-operation-in-gambela-ethiopia,
Repression,ruchi-agri-soybean-operation-in-gambela-ethiopia,
Violent targeting of activists,ruchi-agri-soybean-operation-in-gambela-ethiopia,
Institutional changes,chevron-port-project-at-the-gulf-of-thailand,
Strengthening of participation,chevron-port-project-at-the-gulf-of-thailand,
New Environmental Impact Assessment/Study,chevron-port-project-at-the-gulf-of-thailand,
Migration/displacement,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,
Repression,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,
Strengthening of participation,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,
Application of existing regulations,destruccion-ecosistema-bioestrategico-el-lipa-arauca-colombia,
Corruption,eucalyptus-monoculture-in-eunapolis-bahia-brazil,
"Environmental improvements, rehabilitation/restoration of area",eucalyptus-monoculture-in-eunapolis-bahia-brazil,
Court decision (victory for environmental justice),eucalyptus-monoculture-in-eunapolis-bahia-brazil,
Migration/displacement,eucalyptus-monoculture-in-eunapolis-bahia-brazil,
Strengthening of participation,eucalyptus-monoculture-in-eunapolis-bahia-brazil,
New Environmental Impact Assessment/Study,eucalyptus-monoculture-in-eunapolis-bahia-brazil,
Corruption,marinalva-manoel-murdered-brazil,
Criminalization of activists,marinalva-manoel-murdered-brazil,
Deaths,marinalva-manoel-murdered-brazil,
Repression,marinalva-manoel-murdered-brazil,
Violent targeting of activists,marinalva-manoel-murdered-brazil,
"Environmental improvements, rehabilitation/restoration of area",gowanus-canal,
Project temporarily suspended,gowanus-canal,
Criminalization of activists,socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,
Repression,socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,
Violent targeting of activists,socfin-agricultural-company-sierra-leone-ltd-oil-palm-plantation-in-malen-chiefdom-pujeun-district-sierra-leone,
Criminalization of activists,military-waste-destruction-niksic-montenegro,
Negotiated alternative solution,military-waste-destruction-niksic-montenegro,
Court decision (victory for environmental justice),endorois,
Other,endorois,
Criminalization of activists,bajo-la-alumbrera-mine-argentina,
Court decision (undecided),bajo-la-alumbrera-mine-argentina,
Migration/displacement,bajo-la-alumbrera-mine-argentina,
Repression,bajo-la-alumbrera-mine-argentina,
Strengthening of participation,bajo-la-alumbrera-mine-argentina,
Violent targeting of activists,bajo-la-alumbrera-mine-argentina,
Application of existing regulations,bajo-la-alumbrera-mine-argentina,
Other,bajo-la-alumbrera-mine-argentina,
Migration/displacement,tanintharyi-nature-reserve-tanintharyi-region-myanmar,
Strengthening of participation,tanintharyi-nature-reserve-tanintharyi-region-myanmar,
Project cancelled,karawang-airport-on-north-coast-of-java-indonesia,
Compensation,ankulapaturu-thermal-power-plant-ap-india,
"Environmental improvements, rehabilitation/restoration of area",ankulapaturu-thermal-power-plant-ap-india,
Negotiated alternative solution,ankulapaturu-thermal-power-plant-ap-india,
New legislation,ankulapaturu-thermal-power-plant-ap-india,
Strengthening of participation,ankulapaturu-thermal-power-plant-ap-india,
New Environmental Impact Assessment/Study,ankulapaturu-thermal-power-plant-ap-india,
Other,plantar-cdm-tree-plantation-project-brazil,
Corruption,hidroelectricas-chicoa,
Criminalization of activists,hidroelectricas-chicoa,
Court decision (undecided),hidroelectricas-chicoa,
Repression,hidroelectricas-chicoa,
Strengthening of participation,hidroelectricas-chicoa,
Violent targeting of activists,hidroelectricas-chicoa,
Project cancelled,hidroelectricas-chicoa,
Corruption,nuclear-power-plant-in-qusair-amra-jordan,
Repression,nuclear-power-plant-in-qusair-amra-jordan,
Under negotiation,nuclear-power-plant-in-qusair-amra-jordan,
Moratoria,nuclear-power-plant-in-qusair-amra-jordan,
Compensation,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Corruption,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Criminalization of activists,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Land demarcation,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Court decision (failure for environmental justice),kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Migration/displacement,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Repression,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Strengthening of participation,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Under negotiation,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Violent targeting of activists,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Project temporarily suspended,kdc-international-land-grab-conflict-kampong-chhnang-cambodia,
Under negotiation,iffco-kisan-sez-in-nellore-ap-india,
New legislation,mozambique-water-pollution-from-a-dumpsite-zimbabwe,
Under negotiation,mozambique-water-pollution-from-a-dumpsite-zimbabwe,
Application of existing regulations,mozambique-water-pollution-from-a-dumpsite-zimbabwe,
New Environmental Impact Assessment/Study,mozambique-water-pollution-from-a-dumpsite-zimbabwe,
Compensation,internationa-airport-in-kertajati-java-indonesia,
Criminalization of activists,internationa-airport-in-kertajati-java-indonesia,
Repression,internationa-airport-in-kertajati-java-indonesia,
Violent targeting of activists,internationa-airport-in-kertajati-java-indonesia,
Corruption,segovia-gold-mining-antioquia-colombia,
Deaths,segovia-gold-mining-antioquia-colombia,
Land demarcation,segovia-gold-mining-antioquia-colombia,
Migration/displacement,segovia-gold-mining-antioquia-colombia,
Repression,segovia-gold-mining-antioquia-colombia,
Strengthening of participation,segovia-gold-mining-antioquia-colombia,
Violent targeting of activists,segovia-gold-mining-antioquia-colombia,
Criminalization of activists,rio-tinto-la-matanza-de-1888,
Deaths,rio-tinto-la-matanza-de-1888,
Court decision (undecided),rio-tinto-la-matanza-de-1888,
Repression,rio-tinto-la-matanza-de-1888,
Violent targeting of activists,rio-tinto-la-matanza-de-1888,
Other,proyecto-eolico-del-cerro-de-hula-honduras,
"Environmental improvements, rehabilitation/restoration of area",contaminacion-del-agua-por-nitratos-en-osona-catalunya,
New legislation,contaminacion-del-agua-por-nitratos-en-osona-catalunya,
Strengthening of participation,contaminacion-del-agua-por-nitratos-en-osona-catalunya,
Technical solutions to improve resource supply/quality/distribution,contaminacion-del-agua-por-nitratos-en-osona-catalunya,
Application of existing regulations,contaminacion-del-agua-por-nitratos-en-osona-catalunya,
Corruption,the-avocado-agribusiness-and-water-drought-in-petorca-chile,
Criminalization of activists,the-avocado-agribusiness-and-water-drought-in-petorca-chile,
Court decision (failure for environmental justice),the-avocado-agribusiness-and-water-drought-in-petorca-chile,
Strengthening of participation,the-avocado-agribusiness-and-water-drought-in-petorca-chile,
Under negotiation,the-avocado-agribusiness-and-water-drought-in-petorca-chile,
Violent targeting of activists,the-avocado-agribusiness-and-water-drought-in-petorca-chile,
New Environmental Impact Assessment/Study,the-avocado-agribusiness-and-water-drought-in-petorca-chile,
Other,the-avocado-agribusiness-and-water-drought-in-petorca-chile,
Institutional changes,gmos-in-aragon-spain,
New legislation,gmos-in-aragon-spain,
Deaths,gold-mining-in-indigenous-yanomami-territory-brazil,
Land demarcation,gold-mining-in-indigenous-yanomami-territory-brazil,
Court decision (victory for environmental justice),gold-mining-in-indigenous-yanomami-territory-brazil,
Migration/displacement,gold-mining-in-indigenous-yanomami-territory-brazil,
New legislation,gold-mining-in-indigenous-yanomami-territory-brazil,
Application of existing regulations,gold-mining-in-indigenous-yanomami-territory-brazil,
Compensation,represa-benito-juarez-oaxaca-mexico,
Institutional changes,represa-benito-juarez-oaxaca-mexico,
Application of existing regulations,represa-benito-juarez-oaxaca-mexico,
Compensation,regional-landfill-lecevica-croatia,
Application of existing regulations,regional-landfill-lecevica-croatia,
New Environmental Impact Assessment/Study,regional-landfill-lecevica-croatia,
Project temporarily suspended,regional-landfill-lecevica-croatia,
Compensation,oil-spills-around-usinsk-komi-republic,
"Environmental improvements, rehabilitation/restoration of area",oil-spills-around-usinsk-komi-republic,
Court decision (victory for environmental justice),oil-spills-around-usinsk-komi-republic,
Strengthening of participation,oil-spills-around-usinsk-komi-republic,
Deaths,airport-arial-beel,
Violent targeting of activists,airport-arial-beel,
Project cancelled,airport-arial-beel,
Other,airport-arial-beel,
Migration/displacement,tigyit-coal-power-plant-shan-state-myanmar,
Strengthening of participation,tigyit-coal-power-plant-shan-state-myanmar,
Technical solutions to improve resource supply/quality/distribution,tigyit-coal-power-plant-shan-state-myanmar,
Under negotiation,tigyit-coal-power-plant-shan-state-myanmar,
New Environmental Impact Assessment/Study,tigyit-coal-power-plant-shan-state-myanmar,
Project temporarily suspended,tigyit-coal-power-plant-shan-state-myanmar,
Negotiated alternative solution,ocupa-maua-urban-squatting-sao-paulo-brazil,
Strengthening of participation,ocupa-maua-urban-squatting-sao-paulo-brazil,
Fostering a culture of peace,ocupa-maua-urban-squatting-sao-paulo-brazil,
Application of existing regulations,ocupa-maua-urban-squatting-sao-paulo-brazil,
Other,ocupa-maua-urban-squatting-sao-paulo-brazil,
Compensation,outokumpu-mine-finland6,
Court decision (victory for environmental justice),outokumpu-mine-finland6,
New legislation,outokumpu-mine-finland6,
Compensation,agro-ecoenergy,
Land demarcation,agro-ecoenergy,
Court decision (undecided),agro-ecoenergy,
Migration/displacement,agro-ecoenergy,
Technical solutions to improve resource supply/quality/distribution,agro-ecoenergy,
Under negotiation,agro-ecoenergy,
New Environmental Impact Assessment/Study,agro-ecoenergy,
Project temporarily suspended,agro-ecoenergy,
Criminalization of activists,ituango-hidroelectrica-colombia,
Deaths,ituango-hidroelectrica-colombia,
Repression,ituango-hidroelectrica-colombia,
Compensation,penasquito,
Under negotiation,penasquito,
Institutional changes,anangu-aboriginal-stopped-tourism-expansion-and-the-climb-to-the-top-of-uluru-rock-australia,
Negotiated alternative solution,anangu-aboriginal-stopped-tourism-expansion-and-the-climb-to-the-top-of-uluru-rock-australia,
Fostering a culture of peace,anangu-aboriginal-stopped-tourism-expansion-and-the-climb-to-the-top-of-uluru-rock-australia,
Criminalization of activists,loei-gold-mine-thailand,
Court decision (victory for environmental justice),loei-gold-mine-thailand,
Strengthening of participation,loei-gold-mine-thailand,
Other,loei-gold-mine-thailand,
Under negotiation,wastewater-treatment-collector-in-botun-montenegro,
Corruption,contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,
Court decision (failure for environmental justice),contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,
Negotiated alternative solution,contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,
New legislation,contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,
Strengthening of participation,contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,
Under negotiation,contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,
Application of existing regulations,contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,
Other,contaminacion-difusa-por-presion-antropica-generalizada-lago-villarrica-region-de-la-araucania-chile1,
"Environmental improvements, rehabilitation/restoration of area",dirty-fishmeal-production-in-nouadhibou-mauritania,
Institutional changes,dirty-fishmeal-production-in-nouadhibou-mauritania,
Negotiated alternative solution,dirty-fishmeal-production-in-nouadhibou-mauritania,
New legislation,dirty-fishmeal-production-in-nouadhibou-mauritania,
Application of existing regulations,dirty-fishmeal-production-in-nouadhibou-mauritania,
Project temporarily suspended,dirty-fishmeal-production-in-nouadhibou-mauritania,
Compensation,mapithel-dam-manipur-india,
"Environmental improvements, rehabilitation/restoration of area",mapithel-dam-manipur-india,
Migration/displacement,mapithel-dam-manipur-india,
Negotiated alternative solution,mapithel-dam-manipur-india,
Repression,mapithel-dam-manipur-india,
Strengthening of participation,mapithel-dam-manipur-india,
Violent targeting of activists,mapithel-dam-manipur-india,
New Environmental Impact Assessment/Study,mapithel-dam-manipur-india,
Strengthening of participation,vung-ang-2-thermal-power-plant-ha-tinh-province-vietnam,
Withdrawal of company/investment,vung-ang-2-thermal-power-plant-ha-tinh-province-vietnam,
Corruption,quebrada-blanca-tarapaca-chile,
"Environmental improvements, rehabilitation/restoration of area",quebrada-blanca-tarapaca-chile,
Under negotiation,quebrada-blanca-tarapaca-chile,
Application of existing regulations,quebrada-blanca-tarapaca-chile,
New Environmental Impact Assessment/Study,quebrada-blanca-tarapaca-chile,
Project temporarily suspended,quebrada-blanca-tarapaca-chile,
Other,roma-roma-settlement-next-to-the-us-steel-factory-and-running-water-only-two-hours-per-day-in-slovakia,
Compensation,platinum-mining-in-eastern-shan-state-myanmar,
Corruption,platinum-mining-in-eastern-shan-state-myanmar,
Other,platinum-mining-in-eastern-shan-state-myanmar,
Migration/displacement,phosphates-mining-in-the-gardening-zone-of-niayes-mboro-senegal,
Repression,phosphates-mining-in-the-gardening-zone-of-niayes-mboro-senegal,
Institutional changes,contamination-of-the-river-palo-in-puerto-tejada-colombia,
Court decision (victory for environmental justice),contamination-of-the-river-palo-in-puerto-tejada-colombia,
Court decision (failure for environmental justice),contamination-of-the-river-palo-in-puerto-tejada-colombia,
Negotiated alternative solution,contamination-of-the-river-palo-in-puerto-tejada-colombia,
Technical solutions to improve resource supply/quality/distribution,contamination-of-the-river-palo-in-puerto-tejada-colombia,
Other,ecuadors-prior-consult-in-the-oil-blocks-20-and-29-ecuador,
Corruption,gas-grabs-algeria,
Criminalization of activists,gas-grabs-algeria,
Repression,gas-grabs-algeria,
Strengthening of participation,gas-grabs-algeria,
Violent targeting of activists,gas-grabs-algeria,
Moratoria,gas-grabs-algeria,
Institutional changes,moratorium-on-oil-exploration-harken-energy-costa-rica,
New legislation,moratorium-on-oil-exploration-harken-energy-costa-rica,
Strengthening of participation,moratorium-on-oil-exploration-harken-energy-costa-rica,
Criminalization of activists,killing-of-lina-and-ramon-pesadilla-human-rigths-and-environmental-defenders-in-compostela-valley-philippines,
Deaths,killing-of-lina-and-ramon-pesadilla-human-rigths-and-environmental-defenders-in-compostela-valley-philippines,
Repression,killing-of-lina-and-ramon-pesadilla-human-rigths-and-environmental-defenders-in-compostela-valley-philippines,
Violent targeting of activists,killing-of-lina-and-ramon-pesadilla-human-rigths-and-environmental-defenders-in-compostela-valley-philippines,
Project cancelled,dow-chemicals-rd-unit-pune-india,
Court decision (undecided),save-polesia-stop-construction-of-e40-waterway,
Application of existing regulations,save-polesia-stop-construction-of-e40-waterway,
Project temporarily suspended,save-polesia-stop-construction-of-e40-waterway,
Compensation,planned-open-pit-mine-in-zloczew-poland,
Court decision (victory for environmental justice),planned-open-pit-mine-in-zloczew-poland,
Strengthening of participation,planned-open-pit-mine-in-zloczew-poland,
Project cancelled,planned-open-pit-mine-in-zloczew-poland,
Compensation,karchham-wangtoo-project-hp-india,
Corruption,karchham-wangtoo-project-hp-india,
Court decision (undecided),karchham-wangtoo-project-hp-india,
Repression,karchham-wangtoo-project-hp-india,
Strengthening of participation,karchham-wangtoo-project-hp-india,
Under negotiation,karchham-wangtoo-project-hp-india,
Migration/displacement,waste-pickers-in-johannesburg-protest-and-organize-against-pikitups-separation-at-source-program,
Application of existing regulations,cut-flowers-industry-in-pedro-moncayo-ecuador,
Compensation,rio-tula-y-el-tunel-emisor-oriente-teo,
Criminalization of activists,rio-tula-y-el-tunel-emisor-oriente-teo,
Deaths,rio-tula-y-el-tunel-emisor-oriente-teo,
Institutional changes,rio-tula-y-el-tunel-emisor-oriente-teo,
Migration/displacement,rio-tula-y-el-tunel-emisor-oriente-teo,
Strengthening of participation,rio-tula-y-el-tunel-emisor-oriente-teo,
Moratoria,rio-tula-y-el-tunel-emisor-oriente-teo,
Project temporarily suspended,rio-tula-y-el-tunel-emisor-oriente-teo,
Other,rio-tula-y-el-tunel-emisor-oriente-teo,
Criminalization of activists,preservation-of-livelihood-of-sarikecili-nomads-turkey,
Migration/displacement,preservation-of-livelihood-of-sarikecili-nomads-turkey,
Application of existing regulations,iron-ore-mining-in-morro-do-pilar-minas-gerais-brazil,
New Environmental Impact Assessment/Study,iron-ore-mining-in-morro-do-pilar-minas-gerais-brazil,
Project temporarily suspended,iron-ore-mining-in-morro-do-pilar-minas-gerais-brazil,
Corruption,entre-lo-sostenible-y-el-rechazo-el-cultivo-de-concha-abanico-argopecten-purpiratus-en-el-litoral-costero-del-peru,
New legislation,entre-lo-sostenible-y-el-rechazo-el-cultivo-de-concha-abanico-argopecten-purpiratus-en-el-litoral-costero-del-peru,
New Environmental Impact Assessment/Study,entre-lo-sostenible-y-el-rechazo-el-cultivo-de-concha-abanico-argopecten-purpiratus-en-el-litoral-costero-del-peru,
Project cancelled,coca-cola-and-groundwater-exploitation,
Withdrawal of company/investment,coca-cola-and-groundwater-exploitation,
Deaths,aprovechamiento-hidroelectrico-de-usos-multiples-paso-de-la-reyna,
Project temporarily suspended,aprovechamiento-hidroelectrico-de-usos-multiples-paso-de-la-reyna,
Other,aprovechamiento-hidroelectrico-de-usos-multiples-paso-de-la-reyna,
Court decision (failure for environmental justice),pollution-from-oil-refinery-in-sisak-croatia,
Court decision (undecided),pollution-from-oil-refinery-in-sisak-croatia,
Other,pollution-from-oil-refinery-in-sisak-croatia,
Compensation,oil-explosion-in-baghjan-tinsukia-assam-india,
Corruption,oil-explosion-in-baghjan-tinsukia-assam-india,
Criminalization of activists,oil-explosion-in-baghjan-tinsukia-assam-india,
Court decision (undecided),oil-explosion-in-baghjan-tinsukia-assam-india,
Repression,oil-explosion-in-baghjan-tinsukia-assam-india,
Under negotiation,oil-explosion-in-baghjan-tinsukia-assam-india,
Violent targeting of activists,oil-explosion-in-baghjan-tinsukia-assam-india,
Application of existing regulations,oil-explosion-in-baghjan-tinsukia-assam-india,
Negotiated alternative solution,closure-of-coal-in-port-august-south-australia,
Project cancelled,closure-of-coal-in-port-august-south-australia,
New legislation,hydraulic-fracking-egypt,
Technical solutions to improve resource supply/quality/distribution,hydraulic-fracking-egypt,
Application of existing regulations,hydraulic-fracking-egypt,
New Environmental Impact Assessment/Study,hydraulic-fracking-egypt,
Criminalization of activists,genetically-modified-organisms-in-turkey,
Institutional changes,genetically-modified-organisms-in-turkey,
Court decision (victory for environmental justice),genetically-modified-organisms-in-turkey,
New legislation,genetically-modified-organisms-in-turkey,
Application of existing regulations,genetically-modified-organisms-in-turkey,
Compensation,pasta-de-conchos-mine-disaster-mexico,
Corruption,pasta-de-conchos-mine-disaster-mexico,
Deaths,pasta-de-conchos-mine-disaster-mexico,
Strengthening of participation,pasta-de-conchos-mine-disaster-mexico,
Under negotiation,pasta-de-conchos-mine-disaster-mexico,
Application of existing regulations,pasta-de-conchos-mine-disaster-mexico,
Other,pasta-de-conchos-mine-disaster-mexico,
"Environmental improvements, rehabilitation/restoration of area",bgmea-building-illegal-bangladesh,
Land demarcation,bgmea-building-illegal-bangladesh,
Court decision (victory for environmental justice),bgmea-building-illegal-bangladesh,
Under negotiation,al-kumma-project-and-its-implications,
Migration/displacement,kalwaka-gold-mine-burkina-faso,
Repression,kalwaka-gold-mine-burkina-faso,
Negotiated alternative solution,trasvase-tajo-segura-spain,
New legislation,trasvase-tajo-segura-spain,
Technical solutions to improve resource supply/quality/distribution,trasvase-tajo-segura-spain,
Under negotiation,trasvase-tajo-segura-spain,
Compensation,ashio-copper-mine-japan,
Deaths,ashio-copper-mine-japan,
"Environmental improvements, rehabilitation/restoration of area",ashio-copper-mine-japan,
Migration/displacement,ashio-copper-mine-japan,
Court decision (undecided),idaho-maryland-gold-mine-in-grass-valley-california-usa,
Under negotiation,idaho-maryland-gold-mine-in-grass-valley-california-usa,
"Environmental improvements, rehabilitation/restoration of area",dust-pollution-from-long-thanh-airport-construction-vietnam,
Institutional changes,dust-pollution-from-long-thanh-airport-construction-vietnam,
Migration/displacement,dust-pollution-from-long-thanh-airport-construction-vietnam,
Strengthening of participation,dust-pollution-from-long-thanh-airport-construction-vietnam,
Application of existing regulations,dust-pollution-from-long-thanh-airport-construction-vietnam,
New Environmental Impact Assessment/Study,dust-pollution-from-long-thanh-airport-construction-vietnam,
Moratoria,dust-pollution-from-long-thanh-airport-construction-vietnam,
Project temporarily suspended,dust-pollution-from-long-thanh-airport-construction-vietnam,
Other,dust-pollution-from-long-thanh-airport-construction-vietnam,
Under negotiation,carbon-black-emission-from-warri-refinery-nigeria,
Institutional changes,ancasti-se-moviliza-contra-la-mineria-de-litio,
New legislation,ancasti-se-moviliza-contra-la-mineria-de-litio,
Strengthening of participation,ancasti-se-moviliza-contra-la-mineria-de-litio,
Project temporarily suspended,ancasti-se-moviliza-contra-la-mineria-de-litio,
Compensation,proyecto-hidroelectrico-bonyic-panama,
Court decision (undecided),proyecto-hidroelectrico-bonyic-panama,
Migration/displacement,proyecto-hidroelectrico-bonyic-panama,
Under negotiation,proyecto-hidroelectrico-bonyic-panama,
Compensation,tumring-rubber-concession-kampong-thom-province-cambodia,
Corruption,tumring-rubber-concession-kampong-thom-province-cambodia,
Deaths,tumring-rubber-concession-kampong-thom-province-cambodia,
Migration/displacement,tumring-rubber-concession-kampong-thom-province-cambodia,
Repression,tumring-rubber-concession-kampong-thom-province-cambodia,
Strengthening of participation,tumring-rubber-concession-kampong-thom-province-cambodia,
Violent targeting of activists,tumring-rubber-concession-kampong-thom-province-cambodia,
Moratoria,tumring-rubber-concession-kampong-thom-province-cambodia,
Other,tumring-rubber-concession-kampong-thom-province-cambodia,
Other,nuclear-waste-disposal-at-trgovska-gora-croatia,
Under negotiation,takalar-fisherfolk-against-sea-sand-mining,
Repression,roma-community-living-on-a-formal-industrial-site-contaminated-with-mercury,
Compensation,lignite-mining-cottbus-nord-lakoma-germany,
Violent targeting of activists,lignite-mining-cottbus-nord-lakoma-germany,
New legislation,titanium-mining-project-projeto-retiro-in-sao-jose-do-norte-rio-grande-do-sul-brasil,
Project temporarily suspended,titanium-mining-project-projeto-retiro-in-sao-jose-do-norte-rio-grande-do-sul-brasil,
Moratoria,anti-nuclear-movement-and-closure-of-nuclear-test-site-semipalatinsk-kazakhstan,
Project cancelled,anti-nuclear-movement-and-closure-of-nuclear-test-site-semipalatinsk-kazakhstan,
Under negotiation,uruguay-no-mineria-de-hierro,
Other,uruguay-no-mineria-de-hierro,
New legislation,sedano-fracking-project-bnk-petroleum-burgos,
Application of existing regulations,sedano-fracking-project-bnk-petroleum-burgos,
Moratoria,sedano-fracking-project-bnk-petroleum-burgos,
Project cancelled,sedano-fracking-project-bnk-petroleum-burgos,
Application of existing regulations,rerouting-of-toplodolska-river-serbia,
Project temporarily suspended,rerouting-of-toplodolska-river-serbia,
Institutional changes,kpl-conflict-karnataka-india,
Court decision (victory for environmental justice),kpl-conflict-karnataka-india,
New legislation,kpl-conflict-karnataka-india,
Strengthening of participation,kpl-conflict-karnataka-india,
Project cancelled,kpl-conflict-karnataka-india,
Corruption,revendications-of-the-gourmantche-people-on-the-pama-reserve-burkina-faso,
Repression,revendications-of-the-gourmantche-people-on-the-pama-reserve-burkina-faso,
Strengthening of participation,revendications-of-the-gourmantche-people-on-the-pama-reserve-burkina-faso,
"Environmental improvements, rehabilitation/restoration of area",tourism-expansion-and-dumped-garbage-fills-the-mount-fuji-japan,
Negotiated alternative solution,tourism-expansion-and-dumped-garbage-fills-the-mount-fuji-japan,
New Environmental Impact Assessment/Study,tourism-expansion-and-dumped-garbage-fills-the-mount-fuji-japan,
Corruption,lynas-refinery-in-kuantan,
Criminalization of activists,lynas-refinery-in-kuantan,
Court decision (failure for environmental justice),lynas-refinery-in-kuantan,
Court decision (undecided),lynas-refinery-in-kuantan,
Migration/displacement,lynas-refinery-in-kuantan,
Repression,lynas-refinery-in-kuantan,
Violent targeting of activists,lynas-refinery-in-kuantan,
Other,lynas-refinery-in-kuantan,
Land demarcation,quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,
Repression,quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,
Strengthening of participation,quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,
Violent targeting of activists,quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,
Application of existing regulations,quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,
Other,quilomboas-of-conceicao-das-crioulass-struggle-for-land-and-water-in-salgueiro-pe-brazil,
Compensation,cargill-agricola-port-for-soy-export-brazil,
"Environmental improvements, rehabilitation/restoration of area",cargill-agricola-port-for-soy-export-brazil,
Institutional changes,cargill-agricola-port-for-soy-export-brazil,
Negotiated alternative solution,cargill-agricola-port-for-soy-export-brazil,
Strengthening of participation,cargill-agricola-port-for-soy-export-brazil,
Moratoria,cargill-agricola-port-for-soy-export-brazil,
Project temporarily suspended,cargill-agricola-port-for-soy-export-brazil,
Other,cargill-agricola-port-for-soy-export-brazil,
"Environmental improvements, rehabilitation/restoration of area",women-activists-against-south-mathiatis-mine-cyprus,
Negotiated alternative solution,women-activists-against-south-mathiatis-mine-cyprus,
Strengthening of participation,women-activists-against-south-mathiatis-mine-cyprus,
Project cancelled,women-activists-against-south-mathiatis-mine-cyprus,
Compensation,timber-exploitation-porto-de-moz-brazil,
Criminalization of activists,timber-exploitation-porto-de-moz-brazil,
Deaths,timber-exploitation-porto-de-moz-brazil,
"Environmental improvements, rehabilitation/restoration of area",timber-exploitation-porto-de-moz-brazil,
Institutional changes,timber-exploitation-porto-de-moz-brazil,
Migration/displacement,timber-exploitation-porto-de-moz-brazil,
Violent targeting of activists,timber-exploitation-porto-de-moz-brazil,
Deaths,munduruku-indigenous-resistance-against-illegal-gold-mining,
Court decision (undecided),munduruku-indigenous-resistance-against-illegal-gold-mining,
Migration/displacement,munduruku-indigenous-resistance-against-illegal-gold-mining,
Repression,munduruku-indigenous-resistance-against-illegal-gold-mining,
Strengthening of participation,munduruku-indigenous-resistance-against-illegal-gold-mining,
Violent targeting of activists,munduruku-indigenous-resistance-against-illegal-gold-mining,
Application of existing regulations,munduruku-indigenous-resistance-against-illegal-gold-mining,
Criminalization of activists,makah-native-american-tribe,
Court decision (undecided),makah-native-american-tribe,
Under negotiation,makah-native-american-tribe,
New Environmental Impact Assessment/Study,makah-native-american-tribe,
Project temporarily suspended,makah-native-american-tribe,
Repression,nuclear-waste-dump-poland,
Strengthening of participation,nuclear-waste-dump-poland,
Project cancelled,nuclear-waste-dump-poland,
Corruption,mainland-mine-analanjirofo-madagascar,
Compensation,pitinga-mine-amazonas-brazil,
Corruption,pitinga-mine-amazonas-brazil,
Land demarcation,pitinga-mine-amazonas-brazil,
Migration/displacement,pitinga-mine-amazonas-brazil,
Court decision (undecided),nuclear-power-station-in-tihange-belgium,
