UID,name,slug,relations
roraima-transmission-line-on-indigenous-land-roraima-brazil,"Illegal logging threatens isolated Pirititi indigenous group, Roraima, Brazil",illegal-logging-in-pirititi-indigenous-territory-roraima-brazil,
onca-puma-nickel-mining-project-in-ourilandia-do-norte-para-brazil,"Vale's giant S11D iron ore project and Railroad Carajás, Pará, Brazil",vales-giant-s11d-iron-ore-project-in-carajas-para-brazil,
onca-puma-nickel-mining-project-in-ourilandia-do-norte-para-brazil,"Copper mining in Canaã dos Carajás and Marabá, Pará, Brazil",copper-mining-in-carajas-para-brazil,
panna-tiger-reserve-india,"Ken-Betwa river linking, India",ken-betwa,
usina-hidreletrica-maraba-para,"Tucuruí hydroelectric dam, Pará, Brazil",tucurui-hydroelectric-dam-and-the-assassination-of-dilma-ferreira-silva-para-brazil,
quifels-hoyo-hoyo-agriculture-project-in-lioma-zambezia-region-mozambique,"Quifel Agribusiness agrofuels or foodcrop projects in Port Loko, Sierra Leone",quifel-agribusiness-agrofuels-or-foodcrop-projects-in-port-loko-sierra-leone,
cerro-san-pedro-mine-san-luis-potosi-mexico,"Ejido Noria de la Sabina, vs Sociedad Ecológica Mexicana del Norte, S.A. de C.V.",ejido-noria-de-la-sabina-vs-sociedad-ecologica-mexicana-del-norte-sa-de-cv,
kwale-okpai-cdm-project-nigeria,"Agip Facilty Pollutes Kwale Community Ponds, Nigeria",agip-facilty-pollutes-kwale-community-ponds-nigeria,
waste-dumping-amin-bazar,"Precarious informal waste recycling in Dhaka, Bangladesh",waste-worries-and-precarious-informal-recycling-in-dhaka-bangladesh,
the-havasupai-nation-and-grand-canyon-tourism,"Indigenous tribe battle Crow Butte Uranium Mine, Nebraska, USA",indigenous-tribes-battle-crow-butte-uranium-mine-nebraska-usa,
impacros-de-las-obras-asociadas-del-proyecto-de-nuevo-aeropuerto-de-la-ciudad-de-mexico-naicm,"Ecocidio del río Tula por el Túnel Emisor Oriente (TEO), México",rio-tula-y-el-tunel-emisor-oriente-teo,
impacros-de-las-obras-asociadas-del-proyecto-de-nuevo-aeropuerto-de-la-ciudad-de-mexico-naicm,"Planta Tratadora de Aguas Residuales (PTAR) Atotonilco, Hidalgo, México.",planta-tratadora-de-aguas-residuales-ptar-atotonilco-de-tula-hidalgo-mexico,
bisasar-rd-landfill-site-south-africa,"Engen oil refinery pollution in Durban, South Africa",engen-oil-refinery-pollution-in-durban-south-africa,
bisasar-rd-landfill-site-south-africa,"Mondi Merebank Multifuel Boiler in Durban, South Africa",mondi-merebank-multifuel-boiler-in-durban-south-africa,
the-anti-nuclear-movement-in-switzerland,"Wyhl anti-nuke movement in Kaiserstuhl, Germany ",whyl-in-germany,
the-anti-nuclear-movement-in-switzerland,Ageing  Bugey NPP threatens Geneva from France,ageing-bugey-npp-threatens-geneva-france,
huanuni-bolivia,"Conflicto de los Mineros Cooperativistas y el Gobierno (Panduro/La Paz), Bolivia",universidad-nur,
ywathit-karenni-state-myanmar,"Weigyi dam on the Salween River, Karen and Karenni state, Myanmar",weigyi-dam-on-the-salween-river-myanmar,
boeung-kak-lake-evictions-phnom-penh,"Boeung Tamok Lake Filling near Samroang Tboung village, Phnom Penh, Cambodia",boeung-tamok-lake-filling-near-samroang-tboung-village-prek-pnov-cambodia,
shell-refuses-to-clean-up-spill-at-ikata-community-nigeria,"Shell oil exploration and extraction, Nigeria",shell-nigeria,
shell-refuses-to-clean-up-spill-at-ikata-community-nigeria,"Shell Must Fall campaign, The Netherlands",shell-must-fall-campaign,
dirty-and-dangerous-shipbreaking-in-chittagong,"Dirty and dangerous shipbreaking in Gadani, Pakistan",dirty-and-dangerous-shipbreaking-in-gadani,
dirty-and-dangerous-shipbreaking-in-chittagong,"North Sea Producer ship breaking, Bangladesh",dumping-of-radiated-ship,
represa-milpillas-zacatecas-mexico,"Despojo de agua potable en Zona Conurbada Zacatecas-Guadalupe, en México",conflicto-urbano-por-despojo-de-agua-potable-en-zona-conurbada-zacatecas-guadalupe-en-mexico,
achuar-and-shuar-against-oil-extraction-ecuador,"Achuar y Shuar en contra de exploración petrolera de lote 64, Perú",indigenas-en-contra-de-exploracion-petrolera-de-lote-64-peru,
shell-pollutes-owerewer-community-nigeria,"Shell oil exploration and extraction, Nigeria",shell-nigeria,
el-escobal,"Navidad mining project of Pan American Silver, Chubut, Argentina",navidad-mining-project-of-pan-american-silver-chubut-argentina,
el-escobal," La Puya, proyecto minero el Tambor, Guatemala",proyecto-minero-el-tambor,
water-privatisation-guayaquil-ecuador,"Déficit en el servicio de agua y saneamiento en la ciudad de Puebla, México",deficit-en-el-servicio-de-agua-y-saneamiento-en-la-ciudad-de-puebla-mexico,
jim-corbett-national-park,"Rajaji National Park and Tiger Reserve, Uttarakhand, India ",rajaji-national-park,
sao-luiz-do-tapajos-hydroelectric-dam-brazil,"Teles Pires Hydroelectric Dam, Mato Grosso - Pará, Brazil",indigenous-communities-against-hydroelectric-dams-along-the-teles-pires-river-para-mato-grosso-brazil,
sao-luiz-do-tapajos-hydroelectric-dam-brazil,"Ferrogrão Railway Ferrovia EF-170, Mato Grosso - Pará, Brazil",planned-construction-of-ferrograo-railroad-to-boost-soy-exports-mato-grosso-para-brazil,
sao-luiz-do-tapajos-hydroelectric-dam-brazil,"Sinop Hydroelectric Dam, Mato Grosso, Brazil",sinop-dam-mato-grosso-brazil,
sao-luiz-do-tapajos-hydroelectric-dam-brazil,"São Manoel Hydroelectric Dam, Mato Grosso - Pará, Brazil",sao-manoel-hydroelectric-dam-mato-grosso-para-brazil,
roma-blamed-for-water-misuse-the-city-council-disconnects-water-supply-in-hetes-and-kiserdo-telep-ozd-hungary,"Roma community's right to water violated in Bánszállás and Tábla, Ózd, Hungary",roma-communitys-right-to-water-violated-in-banszallas-and-tabla-ozd-hungary,
veladero-san-juan-argentina,"Mina Gualcamayo, San Juan, Argentina",mina-gualcamayo-san-juan,
veladero-san-juan-argentina,"Josemaria proyecto minería, San Juan, Argentina",josemaria,
proyecto-la-ensenada-en-holbox-mexico,"Complejo turístico de Grupo Posadas en Bahía Chemuyil, México",hotel-de-grupo-posadas-destruye-santuarios-de-tortugas-marinas-en-bahia-chemuyil-mexico,
diamer-bhasha-dam-pakistan," River Indus Delta, Pakistan",river-indus-delta-pakistan,
coal-fired-power-plants-in-chicago-usa,"Hilco distribution facility replaces coal-fired generating station, Little Village, Chicago, US",hilco-distribution-facility-replaces-coal-fired-generating-station-little-village-chicago-us,
la-colosa-colombia,"Consulta Popular en Piedras, Tolima, Colombia",consulta-popular-en-piedras-tolima,
la-colosa-colombia,"Tolda Fría gold mining, Colombia",tolda-fria,
construction-of-the-baltic-nuclear-power-plant,"Nuclear power plant  at Astravyets, Belarus",belarusia-nuclear-power-plant,
iamgold-in-quimsacocha-ecuador,"Rio Blanco, Molleturo, Azuay, Ecuador",rio-blanco-molleturo-azuay-ecuador,
hidro-santa-rita-monte-olivo-guatemala,"Hidroeléctricas Renace y Oxec , empresa de Florentino Pérez, Guatemala",hidroelectrica-renace-embresa-de-florentino-perez-guatemala,
contaminacion-del-rio-tula,"Planta Tratadora de Aguas Residuales (PTAR) Atotonilco, Hidalgo, México.",planta-tratadora-de-aguas-residuales-ptar-atotonilco-de-tula-hidalgo-mexico,
contaminacion-del-rio-tula,La Fundación  Apaxtle y Prosalud Apaxco-Atotonilco contra planta Ecoltec de Holcim. Mexico.,fundacion-para-el-desarrollo-integral-apaxtle-ac-y-prosalud-apaxco-atotonilco-contra-planta-ecoltec-de-cementera-holcim-2009-apaxco-edomex-y-atotonilco-de-tula-hidalgo,
fessenheim-france,Ageing  Bugey NPP threatens Geneva from France,ageing-bugey-npp-threatens-geneva-france,
coal-mining-operation-without-permit-at-dananhu-hami-led-to-public-interest-litigation-in-xinjiang-china,"Xiegou coal mine, Lvliang, Shanxi, China",xiegou-coal-mine-lvliang-shanxi-china,
iron-ore-mining-in-caetite-ba-brazil,"Ferrovia de Integracão Oeste-Leste (FIOL), Brazil",valec-brazil,
daewoo-maize-and-biofuel-project-madagascar,"Varun land grabbing, Madagascar",varun-land-grabbing-madagascar,
baguazo,"Derrames del oleoducto de Petroperú en la Amazonia, Perú",derrames-del-oleoducto-de-petroperu-en-la-amazonia-peru,
joinkrama-oil-spill-jk-4-nigeria,"Shell oil exploration and extraction, Nigeria",shell-nigeria,
joinkrama-oil-spill-jk-4-nigeria,"Shell Must Fall campaign, The Netherlands",shell-must-fall-campaign,
intexs-mindoro-nickel-project,"Mining and murders on indigenous land in San Teodoro, Mindoro Oriental, Philippines",mining-and-murders-on-indigenous-land-in-san-teodoro-mindoro-oriental-philippines,
comunidad-indigenatres-islas-y-mineria-ilegal-en-madre-de-dios,"Explotación de oro aluvial en el río Madre de  Dios, Bolivia",explotacion-de-oro-aluvial-en-el-rio-madre-de-dios,
gold-and-water-rush-in-burkina-fasos-essakane-mine,"Bissa-Bouly Gold Mine, Burkina Faso",bissa-gold-mine-burkina-faso,
neltume-hydroelectric-project-in-panguipulli-chile,"Yelcho Watershed targeted by Ministry of Energy’s hydro plans, Chile",ministry-of-energys-watershed-mapping-study-yelcho-watershed,
neltume-hydroelectric-project-in-panguipulli-chile,"Valdivia Watershed targeted by Ministry of Energy’s hydro plans, Chile",valdivia-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
neltume-hydroelectric-project-in-panguipulli-chile,"Bueno Watershed targeted by Ministry of Energy’s hydro plans, Chile",bueno-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
neltume-hydroelectric-project-in-panguipulli-chile,"Maule Watershed targeted by Ministry of Energy’s hydro plans, Chile",maule-watershed-targeted-by-ministry-of-energys-hydro-plans-chile,
neltume-hydroelectric-project-in-panguipulli-chile,"Hidroeléctrica Tranguil, Chile",minicentral-tranquil-panguipulli-chile,
neltume-hydroelectric-project-in-panguipulli-chile,"Hidroeléctrica Maqueo, Chile",hidroelectrica-maqueo-chile,
beach-minerals-sand-mining-in-tamil-nadu-india,"Save Alappad, Stop Sand Mining, Kerala, India",save-alappad-stop-mining,
thepa-coal-power-plant,"Coal power plants in Ban Krut and Bo Nok,  Prachuab Khirikhan, Thailand",proposed-coal-power-plant-in-prachuab-khirikhan-thailand,
rampal-thermal-power-plant-rampal-bangladesh,"Banshkhali coal power station, Chittagong, Bangladesh",banshkhali-coal-power-station-chittagong-bangladesh,
fisherwomens-mobilization-against-the-port-city-sri-lanka,"Hambantota Port Development Project, Sri Lanka",hambantota-deep-seaport-and-the-projected-industrial-zone-sri-lanka,
cofco-joycome-pig-farms-in-chifeng-city-china,"CAFO pollution in Lenawee County, Michigan, USA",cafo-pollution-in-lenawee-county-michigan-usa,
cofco-joycome-pig-farms-in-chifeng-city-china,"Macrogranja (CAFO) para la producción lechera en Noviercas, Soria, Spain",granja-de-vacas-de-noviercas-soria-spain,
batang-coal-mining-central-java-indonesia,"Protest against pollution from coal power plant, Cilacap, Central Java, Indonesia",protest-against-pollution-from-coal-power-plant-cilacap-central-java-indonesia,
contaminacion-en-faja-del-orinoco,"PDVSA y escasez de agua en la Faja Petrolífera del Orinoco, Venezuela",pdvsa-y-escasez-de-agua-en-san-diego-de-cabrutica,
megarepresas-sobre-el-maranon-chadin-2-y-rio-grande-1-y-2,"Represa Inambari, Peru",represa-inambari,
adloun-port,"Kfaraabida Beach Privatization, Lebanon",kfaraabida-beach-privatization-lebanon,
rupert-gas-transmission-pipeline-prohibition,"Digby Island proposed Nexen Aurora LNG (fracked gas) export facility, BC, Canada",digby-island-proposed-nexxen-aurora-lng-fracked-gas-export-facility-bc-canada,
water-crisis-in-flint-michigan,"Water Rights and Access in Detroit's Urban Areas, USA",water-rights-and-access-injustice-in-detroits-urban-areas,
water-crisis-in-flint-michigan,"Benton Harbor Michigan Water Crisis, USA",benton-harbor-michigan-water-crisis,
illegal-logging-and-displacement-of-landless-peasants-in-colniza-mato-grosso-brazil,"Pesticide poisoning linked to agribusiness in Mato Grosso, Brazil",soy-expansion-and-pesticide-contamination-in-sorriso-mato-grosso-brazil,
illegal-logging-and-displacement-of-landless-peasants-in-colniza-mato-grosso-brazil,"Peasants of Gleba Tauá resist land grabbing and soy expansion, Tocantins, Brazil",peasant-communities-against-soy-expansion-in-northeastern-tocantins-brazil,
nuclear-waste-storage-near-the-spanish-frontier-of-portugal,"Nuclear power station in Ferrel, Peniche, Portugal",nuclear-power-station-in-ferrel-peniche-portugal,
disaster-of-seveso,"Waste dump in Montchanin, France ",the-waste-dump-in-montchanin-france,
kobe-city-fight-against-coal,"Ube-Nishiokinoyama CFPP, Yamaguchi Prefecture, Japan",ube-nishiokinoyama-coal-fired-power-plant,
kobe-city-fight-against-coal,"Kushiro coal-fired power plant and coal mining,  Hokkaido, Japan ",kushiro-coal-fired-power-plant,
kobe-city-fight-against-coal,"Akita coal-fired power project, Japan",akita-coal-fired-power-project,
matses-indigenous-resistance-to-oil-exploration-in-amazon-peru-brazil,"Derrames del oleoducto de Petroperú en la Amazonia, Perú",derrames-del-oleoducto-de-petroperu-en-la-amazonia-peru,
matses-indigenous-resistance-to-oil-exploration-in-amazon-peru-brazil,"Illegal gold mining and poaching in Vale do Javari Indigenous Territory, Amazonas, Brazil",illegal-gold-mining-and-poaching-in-vale-do-javari-indigenous-territory-amazonas-brazil,
pondoland-wild-coast-xolobeni-mining-threat-south-africa,"Beach sand mining for ilmenite, garnet and other minerals in Tamil Nadu, India",beach-minerals-sand-mining-in-tamil-nadu-india,
karayan-dam-in-chico-river-lucog-kalinga,"Open pit mining in Ucab, La Cordillera, The Philippines",open-pit-mining-in-ucab-la-cordillera-the-philippines3,
karayan-dam-in-chico-river-lucog-kalinga,"Balog-Balog Multipurpose Dam Project, Tarlac, Luzon, The Philippines",balog-balog-dam-tarlac-luzon,
karayan-dam-in-chico-river-lucog-kalinga,Indigenous people's resistance against Cellophil Resource Corporation ,indigenous-peoples-resistance-against-cellophil-resource-corporation,
vale-tailingsdamfailure-brumadinho-minasgerais,"Iron ore mining in Nova Lima, MG, Brazil",capao-xavier-mine-brazil,
vale-tailingsdamfailure-brumadinho-minasgerais,"Twin Metals Minnesota Mining in Superior National Forest, USA",proposed-twin-metals-minnesota-mining-threatens-pristine-public-lands-public-health-treaties,
vale-tailingsdamfailure-brumadinho-minasgerais,"Installation of the pipeline of the company Ferrous Resources do Brasil S.A. in the municipality of Viçosa, Minas Gerais, Brazil",installation-of-the-ferrous-resources-pipeline-in-the-municipality-of-vicosa-minas-gerais-brazil,
coal-mining-leading-to-the-killing-of-gloria-capitan,"Quezon coal fired power plant in Atimonan, Philippines",quezon-coal-fired-power-plant-philippines,
coal-mining-leading-to-the-killing-of-gloria-capitan,"Coal-Fired Power Plant in Luna, La Union, Luzon, Philippines",coal-fired-power-plant-cfpp-in-luna-la-union-philippines,
coal-mining-leading-to-the-killing-of-gloria-capitan,"Cancellation of Korean 2nd coal plant in Sual, Pangasinan, Luzon, Philippines",2nd-coal-plant-in-sual,
pantanos-de-villa,"Malecón Tajamar-Cancún destruye Manglar en Quintana Roo, Mexico ",malecon-tajamar-cancun-destruye-manglar-en-quintana-roo-mexico,
lliquimuni,"Oil exploration in Pilón Lajas, Bolivia",pilon-lajas-bolivia,
vulnerabilidad-hidrologica-por-cambios-del-uso-del-suelo-en-pena-colorada,"Área natural protegida amenazada por la depredación inmobiliaria en Jurica Poniente, México",depredacion-inmobiliaria-en-jurica-poniente,
battery-metals-from-nornickel-ar," Monchetundra nickel and palladium mining, Kola peninsula, Russia",moche-tundra-litium-ming-kola-peninsula-russia,
enbridge-pipelines-inc-line-9b-reversal-and-line-9-capacity-expansion-project,Ojibwe Nations Struggle to Protect Wild Rice from Oil Extraction Activities in the US and Canada,ojibwe-nations-struggle-to-protect-wild-rice-from-oil-extraction-activities-in-the-us-and-canada,
richards-bay-minerals-dune-mining-south-africa,"Pondoland Wild Coast Xolobeni mining threat, South Africa",pondoland-wild-coast-xolobeni-mining-threat-south-africa,
richards-bay-minerals-dune-mining-south-africa,"Beach sand mining for ilmenite, garnet and other minerals in Tamil Nadu, India",beach-minerals-sand-mining-in-tamil-nadu-india,
marmato-mines-colombia,"Tolda Fría gold mining, Colombia",tolda-fria,
panyu-waste-incineration-project-guanzhou-china,"Langtang  incinerator stopped in Luoding, Guangdong, China",luoding-incinerator-guangzhou-china,
uranium-mining-in-the-southwest-navajo-nation-usa,"Struggles against in situ leach uranium mining, Black Hills, South Dakota, USA",struggles-against-in-situ-leach-uranium-mining-black-hills-south-dakota-usa,
isla-riesco-coal-extraction-chile,"Minas de Carbón en Isla Guafo, Chile",minas-de-carbon-en-isla-guafo-chile,
nuclear-storage-facilities-in-gorleben-germany,"Asse II, Germany",asse-ii,
indigenas-wayuu-del-socuy-defienden-sus-territorios-ante-el-avance-de-proyectos-vinculados-a-la-extraccion-de-carbon-carbozulia,"Indígenas yukpa de los ríos Yaza y Tukuko luchan contra la expansión de Carbozulia en la Sierra de Perijá, Venezuela",indigenas-yukpa-de-los-rios-yaza-y-tukuko-luchan-por-frenar-la-expansion-de-carbozulia-en-la-sierra-de-perija,
cauldhall-open-cast-coal-mine-in-midlothian-scotland-uk,"Opencast coal mine in Douglas Valley, Scotland, UK",opencast-coal-mine-in-douglas-valley-scotland-uk,
coal-power-plant-tirreno-power-in-vado-ligure-quiliano-italy,Ferriera: Trieste's ILVA,ferriera-triestes-ilva,
gorilla-poaching-in-virunga-mountains-rwanda,"Illegal Logging and Other Types of Resource Extraction in Virunga National Park, DR Congo",illegal-logging-and-other-types-of-resource-extraction-in-virunga-national-park,
local-populations-from-niafourang-opposing-zircon-mining-senegal,"Governmental corruption in sand mining for metals in Kartung, The Gambia",carnegie-zircon-mining-the-gambia,
los-impactos-socioambientales-del-complejo-refinador-paraguana,"Complejo Petroquímico El Tablazo y las luchas de El Hornito contra PDVSA, Venezuela",el-complejo-petroquimico-el-tablazo-y-las-luchas-de-la-comunidad-de-el-hornito-contra-pdvsa,
steppe-golds-ato-mine-in-tsagaan-ovoo-soum-dornod-mongolia,"Onggi River movement, Mongolia",ongi-river-movement-mongolia,
la-jagua-de-ibirico-cesar-vs-drummond-colombia,"Desviacion rio Calenturitas, Cesar, Colombia",desviacion-rio-calenturitas-cesar-colombia,
la-jagua-de-ibirico-cesar-vs-drummond-colombia,"Glencore and Prodeco coal mining, Colombia",glencore-prodeco-colombia,
mineria-ilegal-y-la-contaminacion-por-mercurio-en-el-callao,"Disputas de los indígenas del Alto Paragua en torno a la minería ilegal en sus territorios, Venezuela  ",disputas-de-los-indigenas-del-alto-paragua-en-torno-a-la-mineria-ilegal-en-sus-territorios,
mineria-ilegal-y-la-contaminacion-por-mercurio-en-el-callao,"Las luchas contra el mega-proyecto del Arco Minero del Orinoco, Venezuela",las-luchas-contra-el-mega-proyecto-del-arco-minero-del-orinoco,
diamond-extraction-in-the-central-kalahari-game-reserve-botswana,"Eviction of Kalahari Bushmen for Conservation and Mining Interests, Botswana",abuse-of-kalahari-bushmen-by-world-wildlife-fund-eco-guards-botswana,
diamond-extraction-in-the-central-kalahari-game-reserve-botswana,Gas Exploration Threatens Indigenous San Peoples and Endangered Wildlife in Botswana and Namibia,gas-exploration-threatens-kalahari-bushmen-and-endangered-wildlife-in-botswana,
coal-mining-in-barangay-ned-south-cotabato-philippines,"Cancellation of Korean 2nd coal plant in Sual, Pangasinan, Luzon, Philippines",2nd-coal-plant-in-sual,
coal-mining-in-barangay-ned-south-cotabato-philippines,"Andap Valley Complex coal mining, Surigao del Sur, Philippines",militarization-of-lumad-lands-for-coal-mining,
the-case-of-huaraz-saul-a-peruvian-farmer-versus-rwe,"The People versus Arctic Oil litigation, Norway",the-people-versus-arctic-oil,
lt-farm-land-of-guinea-soy-and-corn-development-in-faranah-region-guinea,"Small scale land-grabbing by political and economical elites in the Central Kalahari Game Reserve, Gaborone, Botswana ",small-scale-land-grabbing-by-political-and-economical-elites-in-greater-gaborone-botswana,
lignite-mining-jaenschwalde-nord-kerkwitz-grabko-atterwasch-germany,"Lignite mining and the Ende Gelände movement, Germany",linginte-mining-and-the-ende-gelande-movement,
lignite-mining-jaenschwalde-nord-kerkwitz-grabko-atterwasch-germany,"Gubin Brody lignite mine, Poland",the-gubin-brody-lignite-mine-poland,
proyecto-minero-cerro-del-gallo-guanajuato-mexico,"Great Panther Silver mining and water contamination, México",contaminacion-del-agua-de-guanajuato-por-las-actividades-mineras-el-caso-de-great-panther-silve,
coal-power-plant-sostanj-tes-6-slovenia,"Plomin Power Station Unit C, Croatia",plomin-power-station-unit-c-croatia,
kavango-oil-botswana-namibia,Gas Exploration Threatens Indigenous San Peoples and Endangered Wildlife in Botswana and Namibia,gas-exploration-threatens-kalahari-bushmen-and-endangered-wildlife-in-botswana,
mont-saint-michel,"Off-shore wind mills project next to the island of Oleron, France",ile-doleron-off-shore-wind-mills-france,
kumtor-gold-mine-krygyzstan,"Toktogul dam, Kyrgyzistan",toktogul-dam-kyrgyzistan,
kumtor-gold-mine-krygyzstan,"Taldy-Bulak Levoberezhny gold deposit, Altynken LLC, Kyrgyz Republic",taldy-bulak-levoberezhny-gold-deposit-altynken-llc,
kumtor-gold-mine-krygyzstan,"Maidan gold mine, Batken district, Kyrgyzstan",maidan-gold-mine-kyrgyzstan,
kumtor-gold-mine-krygyzstan,"Zhetim-Too mine in Naryn region, Kyrgystan",zhetim-too-mine-in-naryn-region-kyrgystan,
ooi-nuclear-plants-fukui-prefecture-japan,"Fukushima Daiichi nuclear disaster, Japan",fukushima,
ooi-nuclear-plants-fukui-prefecture-japan,"Takahama Nuclear Plants 3 and 4 reopen for commercial use, Japan",reopening-of-takahama-nuclear-plants-3-and-4,
belinga-iron-ore-mine-and-belinga-dam-gabon,"Pollution of the Obangué River (also Dubanga River), Gabon",pollution-of-the-obangue-river-also-dubanga-river,
suzano-biomass-plantations-brazil,"Quebradeiras de coco babaçu against agribusiness and the enclosure of their lands, Maranhão, Brazil",quebradeiras-de-coco-babacu-against-agribusiness-and-the-enclosure-of-their-lands-maranhao-brazil,
suzano-biomass-plantations-brazil,"Traditional and indigenous groups against agribusiness expansion in the Matopiba region, Brazil",communities-against-soy-expansion-and-matopiba-agricultural-development-plan-brazil,
testet-dam-france,"Center Parcs in the Chambaran forest, Roybon, Isère, France",center-parcs-de-roybon,
ageing-bugey-npp-threatens-geneva-france,"Erdeven Nuclear Power Plant, France",erdeven-nuclear-power-plant,
dbcp-and-male-infertility-in-lathrop-california,"DBCP Poisoned Water Wells in Hawaii, US",pineapples-lasting-legacy-the-poisoned-wells-by-dbcp-in-hawaii,
shrimp-farming-in-muisne-ecuador,"Manglares de Tumbes y langostineras, Peru",manglares-de-tumbes-y-langostineras,
deforestacion-en-selva-peruana-por-cultivo-de-palma-de-aceite-peru,"Santa Clara de Uchunya against palm oil plantation, Peru",santa-clara-de-uchunya,
strateco-resources-uranium-mine-the-matoush-project,"A blockade on uranium exploration, Athabasca Basin, Saskatchewan, Canada",birch-narrows-dene-nation-erects-blockade-after-uranium-exploration-company-enters-territory-without-consent,
hidroaysen-hydroelectric-project-chile,"Rio Cuervo Hydroelectric Project, Aysen, Chile",rio-cervo-hydroelectric-project-chile,
hidroaysen-hydroelectric-project-chile,"Yelcho Watershed targeted by Ministry of Energy’s hydro plans, Chile",ministry-of-energys-watershed-mapping-study-yelcho-watershed,
atlantic-coast-natural-gas-pipeline,"Southern terminus of Atlantic Coast Pipeline and industrial hub, USA",atlantic-coast-pipeline,
atlantic-coast-natural-gas-pipeline,"Mountain Valley Pipeline, Virginia, USA",mountain-valley-pipeline-compressor-station,
atlantic-coast-natural-gas-pipeline,"Union Hill, Virginia",union-hill-virginia,
land-grabbing-and-disputed-cattle-ranch-in-pau-darco-para-brazil,"Peasants of Gleba Tauá resist land grabbing and soy expansion, Tocantins, Brazil",peasant-communities-against-soy-expansion-in-northeastern-tocantins-brazil,
river-ganga-natures-rights,"Road widening at Vilcabamba River and recognition of rights of nature, Ecuador",first-successful-case-of-rights-of-nature-ruling-vilcabamba-river-ecuador,
rio-tinto-qmm-ilmenite-mine-madagascar,"Toliara sand mining  for metals, Ranobe, Madagascar",wtr-ranobe-forest-mining-madagascar,
rio-tinto-qmm-ilmenite-mine-madagascar,"Beach sand mining for ilmenite, garnet and other minerals in Tamil Nadu, India",beach-minerals-sand-mining-in-tamil-nadu-india,
campana-mahuida-argentina,"Mining in Las Coloradas (Las Nenas y La Voluntad), Neuquén, Argentina",las-coloradas,
campana-mahuida-argentina,"Mina Sierra Grande, Río Negro, Argentina",mina-sierra-grande-rio-negro-argentina,
campana-mahuida-argentina,"Proyecto Caycayén  (Grupo Mexico) paralizado, Chos Malal, Neuquén, Argentina",proyecto-caycayen-neuquen-argentina,
soga-coal-poer-chiba-japan,"Ube-Nishiokinoyama CFPP, Yamaguchi Prefecture, Japan",ube-nishiokinoyama-coal-fired-power-plant,
soga-coal-poer-chiba-japan,"Yokosuka Coal Power Plant , Kanagawa Prefecture, Japan",yokosuka-coal-power-plant,
soga-coal-poer-chiba-japan,"Akita coal-fired power project, Japan",akita-coal-fired-power-project,
soga-coal-poer-chiba-japan,"Soma Kyodo CFPP in the Soma Core Industrial Park, Fukushima, Japan",soma-kyodo-power-plant-in-the-soma-core-industrial-park-fukushima-japan,
corredor-eolico-en-el-istmo-de-tehuantepec-oaxaca,"Corredor Interoceánico del Istmo de Tehuantepec, México",corredor-interoceanico-del-istmo-de-tehuantepec-mexico,
huelva-industrial-chemical-complex-spain,"Vertedero de residuos tóxicos y peligrosos en Nerva, Andalusia, España",landfill-for-toxic-and-hazardous-waste-in-nerva-andalusia-spain,
monsanto-and-soy-monocultures-argentina,"Pesticide acute poisoning in tomatoes plantations  in Corrientes, Argentina ",pesticide-acute-poisoning-in-tomatoes-plantations-in-corrientes-argentina,
monsanto-and-soy-monocultures-argentina,"Fumigaciones Barrio Ituzaingó Anexo, Cordoba, Argentina",fumigaciones-barrio-ituzaingo-anexo,
monsanto-and-soy-monocultures-argentina,"Contaminación con agrotóxicos en Bandera, Dpto. Belgrano, Santiago del Estero",contaminacion-con-agrotoxicos-en-bandera-dpto-belgrano-santiago-del-estero,
proyecto-nueva-union-huasco-chile,"Minera El Morro en Valles del Huasco, Chile",el-morro-chile,
wtr-ranobe-forest-mining-madagascar,"Maniry graphite project in Ambohitsy Haut, Madagascar",graphite-mining-in-ambohitsy-haut-madagascar,
pasivos-ambientales-en-hualgayoc,"Gold Fields' Cerro Corona gold mine, Peru",gold-fields-cerro-corona,
protests-against-kuznetsky-yuzhny-coal-mine-cheremza-russia,"Coal Power Plant Karlsruhe, Germany",coal-power-plant-karlsruhe-germany,
permanent-repository-for-lilw-nuclear-waste-slovenia,"Nuclear Waste Disposal at Trgovska gora, Croatia ",nuclear-waste-disposal-at-trgovska-gora-croatia,
an-naka,"Itai-Itai disease,  Toyama prefecture, Japan",itai-itai,
shell-oil-spill-at-nembe-creeks-nigeria,"Shell oil exploration and extraction, Nigeria",shell-nigeria,
shell-oil-spill-at-nembe-creeks-nigeria,"Shell Must Fall campaign, The Netherlands",shell-must-fall-campaign,
lead-smelter-in-zajaca-serbia,"Rio Tinto proposed lithium mine in Jadar Valley, Serbia",lithium-project-in-jadar-and-radjevina,
portoalegres-driver-runs-over-cyclists-protesting-in-the-critical-mass,"San Francisco first Critical Mass as a challenge to pro-automobile urban planning, USA ",first-critical-mass-san-francisco-history-of-an-organized-coincidence-a-celebration-and-protest,
portoalegres-driver-runs-over-cyclists-protesting-in-the-critical-mass,"“La Criticona”, cyclists yearly “critical masses”, Spain",la-criticona-masas-criticas-espanolas-destruyendo-la-percepcion-de-una-civilizacion-centrada-en-los-coches,
